"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Cash-BLKU-0000794","Cash","2026-03-05","AlQurashi-KSA","72015","55007","5755.0","SAR","CashAJAWEED","2026-03-05"
"Cash-BLKU-0000795","Cash","2026-03-06","AlQurashi-KSA","72015","55007","3896.0","SAR","CashAJAWEED","2026-03-06"
"Cash-BLKU-0000796","Cash","2026-03-07","AlQurashi-KSA","72015","55007","4617.0","SAR","CashAJAWEED","2026-03-07"
"Cash-BLKU-0000798","Cash","2026-03-08","AlQurashi-KSA","72015","55007","6752.0","SAR","CashAJAWEED","2026-03-08"
"Cash-BLKU-0000799","Cash","2026-03-09","AlQurashi-KSA","72015","55007","5575.0","SAR","CashAJAWEED","2026-03-09"
"Cash-BLKU-0000801","Cash","2026-03-10","AlQurashi-KSA","72015","55007","9158.0","SAR","CashAJAWEED","2026-03-10"
"Cash-BLKU-0000802","Cash","2026-03-11","AlQurashi-KSA","72015","55007","8840.0","SAR","CashAJAWEED","2026-03-11"
"Cash-BLKU-0000803","Cash","2026-03-12","AlQurashi-KSA","72015","55007","8891.0","SAR","CashAJAWEED","2026-03-12"
"Cash-BLKU-0000804","Cash","2026-03-13","AlQurashi-KSA","72015","55007","14573.0","SAR","CashAJAWEED","2026-03-13"
"Cash-BLKU-0000805","Cash","2026-03-14","AlQurashi-KSA","72015","55007","11538.0","SAR","CashAJAWEED","2026-03-14"
"Cash-BLKU-0000806","Cash","2026-03-15","AlQurashi-KSA","72015","55007","9535.0","SAR","CashAJAWEED","2026-03-15"
"Cash-BLKU-0000807","Cash","2026-03-16","AlQurashi-KSA","72015","55007","8165.0","SAR","CashAJAWEED","2026-03-16"
"Cash-BLKU-0000809","Cash","2026-03-17","AlQurashi-KSA","72015","55007","7335.0","SAR","CashAJAWEED","2026-03-17"
"Cash-BLKU-0000810","Cash","2026-03-18","AlQurashi-KSA","72015","55007","15889.0","SAR","CashAJAWEED","2026-03-18"
"Cash-BLKU-0000811","Cash","2026-03-19","AlQurashi-KSA","72015","55007","13467.0","SAR","CashAJAWEED","2026-03-19"
"Cash-BLKU-0000812","Cash","2026-03-20","AlQurashi-KSA","72015","55007","7484.01","SAR","CashAJAWEED","2026-03-20"
"Cash-BLKU-0000813","Cash","2026-03-21","AlQurashi-KSA","72015","55007","3886.0","SAR","CashAJAWEED","2026-03-21"
"Cash-BLKU-0000815","Cash","2026-03-22","AlQurashi-KSA","72015","55007","3637.0","SAR","CashAJAWEED","2026-03-22"
"Cash-BLKU-0000816","Cash","2026-03-23","AlQurashi-KSA","72015","55007","2601.0","SAR","CashAJAWEED","2026-03-23"
"Cash-BLKU-0000818","Cash","2026-03-24","AlQurashi-KSA","72015","55007","2158.0","SAR","CashAJAWEED","2026-03-24"
"Cash-BLKU-0000819","Cash","2026-03-25","AlQurashi-KSA","72015","55007","1838.0","SAR","CashAJAWEED","2026-03-25"
"Cash-BLKU-0000820","Cash","2026-03-26","AlQurashi-KSA","72015","55007","4020.0","SAR","CashAJAWEED","2026-03-26"
"Cash-BLKU-0000821","Cash","2026-03-27","AlQurashi-KSA","72015","55007","895.0","SAR","CashAJAWEED","2026-03-27"
"Cash-BLKU-0000822","Cash","2026-03-28","AlQurashi-KSA","72015","55007","1660.0","SAR","CashAJAWEED","2026-03-28"
"Cash-BLKU-0000823","Cash","2026-03-29","AlQurashi-KSA","72015","55007","2034.0","SAR","CashAJAWEED","2026-03-29"
"Cash-BLKU-0000824","Cash","2026-03-30","AlQurashi-KSA","72015","55007","2408.0","SAR","CashAJAWEED","2026-03-30"
"Cash-BLKU-0000825","Cash","2026-03-31","AlQurashi-KSA","72015","55007","398.0","SAR","CashAJAWEED","2026-03-31"
"Cash-PAYMENT-ANDLUS/55591 REFUND","Cash","2026-03-16","AlQurashi-KSA","10","10","-85.0","SAR","CashMEDANDLUSH","2026-03-16"
"Cash-PAYMENT-JEDKHUMRAH/5575 REFUND","Cash","2026-03-09","AlQurashi-KSA","158012","139044","-399.0","SAR","Cash JEDKHUMRAH","2026-03-09"
"Cash-PAYMENT-JEDNUJOD/2119 REFUND","Cash","2026-03-21","AlQurashi-KSA","168020","152010","-170.0","SAR","Cash JEDNUJOD","2026-03-21"
"Cash-PAYMENT-TOWNSQJED/33592 REFUND","Cash","2026-03-23","AlQurashi-KSA","104012","90003","-399.0","SAR","CashOth Mall Hail","2026-03-23"
"Cash-PAYMENT-UWALKJED/26691 REFUND","Cash","2026-03-07","AlQurashi-KSA","116016","100009","-199.0","SAR","Cash UWALKJED","2026-03-07"
