"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"AMEX-BLKU-0000882","AMEX","2026-03-06","AlQurashi-KSA","2001","1001","1197.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-06"
"AMEX-BLKU-0000883","AMEX","2026-03-07","AlQurashi-KSA","2001","1001","598.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-07"
"AMEX-BLKU-0000884","AMEX","2026-03-08","AlQurashi-KSA","2001","1001","299.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-08"
"AMEX-BLKU-0000885","AMEX","2026-03-09","AlQurashi-KSA","2001","1001","-299.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-09"
"AMEX-BLKU-0000887","AMEX","2026-03-11","AlQurashi-KSA","2001","1001","285.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-11"
"AMEX-BLKU-0000888","AMEX","2026-03-12","AlQurashi-KSA","2001","1001","-285.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-12"
"AMEX-BLKU-0000892","AMEX","2026-03-14","AlQurashi-KSA","2001","1001","222.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-14"
"AMEX-BLKU-0000893","AMEX","2026-03-15","AlQurashi-KSA","2001","1001","616.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-15"
"AMEX-BLKU-0000903","AMEX","2026-03-23","AlQurashi-KSA","2001","1001","1730.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-23"
"AMEX-BLKU-0000907","AMEX","2026-03-26","AlQurashi-KSA","2001","1001","190.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-26"
