"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Visa-BLKU-0000881","Visa","2026-03-05","AlQurashi-KSA","2001","1001","2999.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-05"
"Visa-BLKU-0000882","Visa","2026-03-06","AlQurashi-KSA","2001","1001","7016.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-06"
"Visa-BLKU-0000883","Visa","2026-03-07","AlQurashi-KSA","2001","1001","5613.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-07"
"Visa-BLKU-0000884","Visa","2026-03-08","AlQurashi-KSA","2001","1001","6533.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-08"
"Visa-BLKU-0000885","Visa","2026-03-09","AlQurashi-KSA","2001","1001","5639.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-09"
"Visa-BLKU-0000886","Visa","2026-03-10","AlQurashi-KSA","2001","1001","7351.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-10"
"Visa-BLKU-0000887","Visa","2026-03-11","AlQurashi-KSA","2001","1001","4620.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-11"
"Visa-BLKU-0000888","Visa","2026-03-12","AlQurashi-KSA","2001","1001","5832.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-12"
"Visa-BLKU-0000890","Visa","2026-03-13","AlQurashi-KSA","2001","1001","5187.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-13"
"Visa-BLKU-0000892","Visa","2026-03-14","AlQurashi-KSA","2001","1001","4663.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-14"
"Visa-BLKU-0000893","Visa","2026-03-15","AlQurashi-KSA","2001","1001","5339.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-15"
"Visa-BLKU-0000894","Visa","2026-03-16","AlQurashi-KSA","2001","1001","5926.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-16"
"Visa-BLKU-0000895","Visa","2026-03-17","AlQurashi-KSA","2001","1001","9361.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-17"
"Visa-BLKU-0000896","Visa","2026-03-18","AlQurashi-KSA","2001","1001","5515.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-18"
"Visa-BLKU-0000897","Visa","2026-03-19","AlQurashi-KSA","2001","1001","13189.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-19"
"Visa-BLKU-0000899","Visa","2026-03-20","AlQurashi-KSA","2001","1001","2941.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-20"
"Visa-BLKU-0000900","Visa","2026-03-21","AlQurashi-KSA","2001","1001","3446.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-21"
"Visa-BLKU-0000901","Visa","2026-03-22","AlQurashi-KSA","2001","1001","2265.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-22"
"Visa-BLKU-0000903","Visa","2026-03-23","AlQurashi-KSA","2001","1001","2073.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-23"
"Visa-BLKU-0000904","Visa","2026-03-24","AlQurashi-KSA","2001","1001","1883.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-24"
"Visa-BLKU-0000905","Visa","2026-03-25","AlQurashi-KSA","2001","1001","2794.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-25"
"Visa-BLKU-0000907","Visa","2026-03-26","AlQurashi-KSA","2001","1001","6445.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-26"
"Visa-BLKU-0000908","Visa","2026-03-27","AlQurashi-KSA","2001","1001","2020.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-27"
"Visa-BLKU-0000909","Visa","2026-03-28","AlQurashi-KSA","2001","1001","3925.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-28"
"Visa-BLKU-0000910","Visa","2026-03-29","AlQurashi-KSA","2001","1001","437.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-29"
"Visa-BLKU-0000911","Visa","2026-03-30","AlQurashi-KSA","2001","1001","79079.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-30"
"Visa-BLKU-0000912","Visa","2026-03-31","AlQurashi-KSA","2001","1001","3516.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-31"
