"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Visa-BLKU-0000966","Visa","2026-03-05","AlQurashi-KSA","13","13","4579.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-05"
"Visa-BLKU-0000967","Visa","2026-03-06","AlQurashi-KSA","13","13","4659.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-06"
"Visa-BLKU-0000968","Visa","2026-03-07","AlQurashi-KSA","13","13","2330.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-07"
"Visa-BLKU-0000970","Visa","2026-03-08","AlQurashi-KSA","13","13","4751.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-08"
"Visa-BLKU-0000972","Visa","2026-03-09","AlQurashi-KSA","13","13","7135.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-09"
"Visa-BLKU-0000973","Visa","2026-03-10","AlQurashi-KSA","13","13","4819.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-10"
"Visa-BLKU-0000975","Visa","2026-03-11","AlQurashi-KSA","13","13","3997.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-11"
"Visa-BLKU-0000978","Visa","2026-03-12","AlQurashi-KSA","13","13","3652.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-12"
"Visa-BLKU-0000979","Visa","2026-03-13","AlQurashi-KSA","13","13","2088.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-13"
"Visa-BLKU-0000981","Visa","2026-03-14","AlQurashi-KSA","13","13","6898.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-14"
"Visa-BLKU-0000982","Visa","2026-03-15","AlQurashi-KSA","13","13","3298.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-15"
"Visa-BLKU-0000984","Visa","2026-03-16","AlQurashi-KSA","13","13","2856.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-16"
"Visa-BLKU-0000985","Visa","2026-03-17","AlQurashi-KSA","13","13","8435.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-17"
"Visa-BLKU-0000986","Visa","2026-03-18","AlQurashi-KSA","13","13","4869.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-18"
"Visa-BLKU-0000988","Visa","2026-03-19","AlQurashi-KSA","13","13","7750.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-19"
"Visa-BLKU-0000992","Visa","2026-03-20","AlQurashi-KSA","13","13","2449.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-20"
"Visa-BLKU-0000994","Visa","2026-03-22","AlQurashi-KSA","13","13","3490.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-22"
"Visa-BLKU-0000995","Visa","2026-03-23","AlQurashi-KSA","13","13","1796.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-23"
"Visa-BLKU-0000996","Visa","2026-03-24","AlQurashi-KSA","13","13","1257.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-24"
"Visa-BLKU-0001452","Visa","2026-03-25","AlQurashi-KSA","13","13","1982.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-25"
"Visa-BLKU-0000998","Visa","2026-03-26","AlQurashi-KSA","13","13","1674.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-26"
"Visa-BLKU-0000999","Visa","2026-03-27","AlQurashi-KSA","13","13","2547.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-27"
"Visa-BLKU-0001000","Visa","2026-03-28","AlQurashi-KSA","13","13","1222.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-28"
"Visa-BLKU-0001001","Visa","2026-03-29","AlQurashi-KSA","13","13","607.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-29"
"Visa-BLKU-0001002","Visa","2026-03-30","AlQurashi-KSA","13","13","583.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-30"
"Visa-BLKU-0001004","Visa","2026-03-31","AlQurashi-KSA","13","13","1989.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-31"
