"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Master-BLKU-0000928","Master","2026-03-07","AlQurashi-KSA","57015","41007","1044.0","SAR","015795017321048","2026-03-07"
"Master-BLKU-0000931","Master","2026-03-10","AlQurashi-KSA","57015","41007","150.0","SAR","015795017321048","2026-03-10"
"Master-BLKU-0000934","Master","2026-03-13","AlQurashi-KSA","57015","41007","299.0","SAR","015795017321048","2026-03-13"
"Master-BLKU-0000937","Master","2026-03-16","AlQurashi-KSA","57015","41007","1311.0","SAR","015795017321048","2026-03-16"
"Master-BLKU-0000939","Master","2026-03-18","AlQurashi-KSA","57015","41007","1123.0","SAR","015795017321048","2026-03-18"
"Master-BLKU-0000941","Master","2026-03-20","AlQurashi-KSA","57015","41007","33415.0","SAR","015795017321048","2026-03-20"
"Master-BLKU-0000942","Master","2026-03-21","AlQurashi-KSA","57015","41007","896.0","SAR","015795017321048","2026-03-21"
"Master-BLKU-0000943","Master","2026-03-22","AlQurashi-KSA","57015","41007","1355.0","SAR","015795017321048","2026-03-22"
"Master-BLKU-0000945","Master","2026-03-24","AlQurashi-KSA","57015","41007","2017.0","SAR","015795017321048","2026-03-24"
"Master-BLKU-0000947","Master","2026-03-26","AlQurashi-KSA","57015","41007","697.0","SAR","015795017321048","2026-03-26"
"Master-BLKU-0000948","Master","2026-03-27","AlQurashi-KSA","57015","41007","449.0","SAR","015795017321048","2026-03-27"
"Master-BLKU-0000949","Master","2026-03-28","AlQurashi-KSA","57015","41007","499.0","SAR","015795017321048","2026-03-28"
"Master-BLKU-0000950","Master","2026-03-29","AlQurashi-KSA","57015","41007","-499.0","SAR","015795017321048","2026-03-29"
"Master-BLKU-0000952","Master","2026-03-31","AlQurashi-KSA","57015","41007","425.0","SAR","015795017321048","2026-03-31"
