"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Mada-BLKU-0000926","Mada","2026-03-05","AlQurashi-KSA","57015","41007","7413.0","SAR","015795017321048","2026-03-05"
"Mada-BLKU-0000927","Mada","2026-03-06","AlQurashi-KSA","57015","41007","5313.0","SAR","015795017321048","2026-03-06"
"Mada-BLKU-0000928","Mada","2026-03-07","AlQurashi-KSA","57015","41007","6059.0","SAR","015795017321048","2026-03-07"
"Mada-BLKU-0000929","Mada","2026-03-08","AlQurashi-KSA","57015","41007","3944.0","SAR","015795017321048","2026-03-08"
"Mada-BLKU-0000930","Mada","2026-03-09","AlQurashi-KSA","57015","41007","7061.0","SAR","015795017321048","2026-03-09"
"Mada-BLKU-0000931","Mada","2026-03-10","AlQurashi-KSA","57015","41007","8019.0","SAR","015795017321048","2026-03-10"
"Mada-BLKU-0000932","Mada","2026-03-11","AlQurashi-KSA","57015","41007","8224.0","SAR","015795017321048","2026-03-11"
"Mada-BLKU-0000933","Mada","2026-03-12","AlQurashi-KSA","57015","41007","4643.0","SAR","015795017321048","2026-03-12"
"Mada-BLKU-0000934","Mada","2026-03-13","AlQurashi-KSA","57015","41007","15799.0","SAR","015795017321048","2026-03-13"
"Mada-BLKU-0000935","Mada","2026-03-14","AlQurashi-KSA","57015","41007","5283.0","SAR","015795017321048","2026-03-14"
"Mada-BLKU-0000936","Mada","2026-03-15","AlQurashi-KSA","57015","41007","7856.0","SAR","015795017321048","2026-03-15"
"Mada-BLKU-0000937","Mada","2026-03-16","AlQurashi-KSA","57015","41007","8560.0","SAR","015795017321048","2026-03-16"
"Mada-BLKU-0000938","Mada","2026-03-17","AlQurashi-KSA","57015","41007","4569.0","SAR","015795017321048","2026-03-17"
"Mada-BLKU-0000939","Mada","2026-03-18","AlQurashi-KSA","57015","41007","7791.0","SAR","015795017321048","2026-03-18"
"Mada-BLKU-0000940","Mada","2026-03-19","AlQurashi-KSA","57015","41007","9882.0","SAR","015795017321048","2026-03-19"
"Mada-BLKU-0000941","Mada","2026-03-20","AlQurashi-KSA","57015","41007","2640.0","SAR","015795017321048","2026-03-20"
"Mada-BLKU-0000942","Mada","2026-03-21","AlQurashi-KSA","57015","41007","281.0","SAR","015795017321048","2026-03-21"
"Mada-BLKU-0000943","Mada","2026-03-22","AlQurashi-KSA","57015","41007","2082.0","SAR","015795017321048","2026-03-22"
"Mada-BLKU-0000944","Mada","2026-03-23","AlQurashi-KSA","57015","41007","1472.0","SAR","015795017321048","2026-03-23"
"Mada-BLKU-0000945","Mada","2026-03-24","AlQurashi-KSA","57015","41007","746.0","SAR","015795017321048","2026-03-24"
"Mada-BLKU-0000946","Mada","2026-03-25","AlQurashi-KSA","57015","41007","2899.0","SAR","015795017321048","2026-03-25"
"Mada-BLKU-0000947","Mada","2026-03-26","AlQurashi-KSA","57015","41007","3974.0","SAR","015795017321048","2026-03-26"
"Mada-BLKU-0000948","Mada","2026-03-27","AlQurashi-KSA","57015","41007","2908.0","SAR","015795017321048","2026-03-27"
"Mada-BLKU-0000949","Mada","2026-03-28","AlQurashi-KSA","57015","41007","2019.0","SAR","015795017321048","2026-03-28"
"Mada-BLKU-0000950","Mada","2026-03-29","AlQurashi-KSA","57015","41007","1656.0","SAR","015795017321048","2026-03-29"
"Mada-BLKU-0000951","Mada","2026-03-30","AlQurashi-KSA","57015","41007","2890.0","SAR","015795017321048","2026-03-30"
"Mada-BLKU-0000952","Mada","2026-03-31","AlQurashi-KSA","57015","41007","1288.0","SAR","015795017321048","2026-03-31"
