"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Mada-BLKU-0001012","Mada","2026-03-05","AlQurashi-KSA","68017","49009","9258.0","SAR","015795017321053","2026-03-05"
"Mada-BLKU-0001013","Mada","2026-03-06","AlQurashi-KSA","68017","49009","10202.0","SAR","015795017321053","2026-03-06"
"Mada-BLKU-0001014","Mada","2026-03-07","AlQurashi-KSA","68017","49009","8216.0","SAR","015795017321053","2026-03-07"
"Mada-BLKU-0001015","Mada","2026-03-08","AlQurashi-KSA","68017","49009","8842.0","SAR","015795017321053","2026-03-08"
"Mada-BLKU-0001016","Mada","2026-03-09","AlQurashi-KSA","68017","49009","10273.0","SAR","015795017321053","2026-03-09"
"Mada-BLKU-0001017","Mada","2026-03-10","AlQurashi-KSA","68017","49009","16379.0","SAR","015795017321053","2026-03-10"
"Mada-BLKU-0001018","Mada","2026-03-11","AlQurashi-KSA","68017","49009","12908.0","SAR","015795017321053","2026-03-11"
"Mada-BLKU-0001019","Mada","2026-03-12","AlQurashi-KSA","68017","49009","5173.0","SAR","015795017321053","2026-03-12"
"Mada-BLKU-0001020","Mada","2026-03-13","AlQurashi-KSA","68017","49009","11641.0","SAR","015795017321053","2026-03-13"
"Mada-BLKU-0001021","Mada","2026-03-14","AlQurashi-KSA","68017","49009","15845.0","SAR","015795017321053","2026-03-14"
"Mada-BLKU-0001022","Mada","2026-03-15","AlQurashi-KSA","68017","49009","16500.0","SAR","015795017321053","2026-03-15"
"Mada-BLKU-0001023","Mada","2026-03-16","AlQurashi-KSA","68017","49009","18842.0","SAR","015795017321053","2026-03-16"
"Mada-BLKU-0001024","Mada","2026-03-17","AlQurashi-KSA","68017","49009","16022.0","SAR","015795017321053","2026-03-17"
"Mada-BLKU-0001025","Mada","2026-03-18","AlQurashi-KSA","68017","49009","13909.0","SAR","015795017321053","2026-03-18"
"Mada-BLKU-0001026","Mada","2026-03-19","AlQurashi-KSA","68017","49009","11789.0","SAR","015795017321053","2026-03-19"
"Mada-BLKU-0001027","Mada","2026-03-20","AlQurashi-KSA","68017","49009","2252.0","SAR","015795017321053","2026-03-20"
"Mada-BLKU-0001028","Mada","2026-03-21","AlQurashi-KSA","68017","49009","697.0","SAR","015795017321053","2026-03-21"
"Mada-BLKU-0001029","Mada","2026-03-22","AlQurashi-KSA","68017","49009","2125.0","SAR","015795017321053","2026-03-22"
"Mada-BLKU-0001030","Mada","2026-03-23","AlQurashi-KSA","68017","49009","1029.0","SAR","015795017321053","2026-03-23"
"Mada-BLKU-0001031","Mada","2026-03-24","AlQurashi-KSA","68017","49009","1246.0","SAR","015795017321053","2026-03-24"
"Mada-BLKU-0001032","Mada","2026-03-25","AlQurashi-KSA","68017","49009","1669.0","SAR","015795017321053","2026-03-25"
"Mada-BLKU-0001033","Mada","2026-03-26","AlQurashi-KSA","68017","49009","1547.0","SAR","015795017321053","2026-03-26"
"Mada-BLKU-0001034","Mada","2026-03-27","AlQurashi-KSA","68017","49009","1887.0","SAR","015795017321053","2026-03-27"
"Mada-BLKU-0001035","Mada","2026-03-28","AlQurashi-KSA","68017","49009","1229.0","SAR","015795017321053","2026-03-28"
"Mada-BLKU-0001036","Mada","2026-03-29","AlQurashi-KSA","68017","49009","1873.0","SAR","015795017321053","2026-03-29"
"Mada-BLKU-0001037","Mada","2026-03-30","AlQurashi-KSA","68017","49009","718.0","SAR","015795017321053","2026-03-30"
"Mada-BLKU-0001038","Mada","2026-03-31","AlQurashi-KSA","68017","49009","2012.0","SAR","015795017321053","2026-03-31"
