"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Cash-BLKU-0001041","Cash","2026-03-05","AlQurashi-KSA","68018","49010","1146.0","SAR","CashDAMMOTHAIM","2026-03-05"
"Cash-BLKU-0001042","Cash","2026-03-06","AlQurashi-KSA","68018","49010","708.0","SAR","CashDAMMOTHAIM","2026-03-06"
"Cash-BLKU-0001044","Cash","2026-03-07","AlQurashi-KSA","68018","49010","1397.0","SAR","CashDAMMOTHAIM","2026-03-07"
"Cash-BLKU-0001045","Cash","2026-03-08","AlQurashi-KSA","68018","49010","1829.0","SAR","CashDAMMOTHAIM","2026-03-08"
"Cash-BLKU-0001046","Cash","2026-03-09","AlQurashi-KSA","68018","49010","635.0","SAR","CashDAMMOTHAIM","2026-03-09"
"Cash-BLKU-0001047","Cash","2026-03-10","AlQurashi-KSA","68018","49010","1059.0","SAR","CashDAMMOTHAIM","2026-03-10"
"Cash-BLKU-0001048","Cash","2026-03-11","AlQurashi-KSA","68018","49010","1601.0","SAR","CashDAMMOTHAIM","2026-03-11"
"Cash-BLKU-0001049","Cash","2026-03-12","AlQurashi-KSA","68018","49010","3119.0","SAR","CashDAMMOTHAIM","2026-03-12"
"Cash-BLKU-0001050","Cash","2026-03-13","AlQurashi-KSA","68018","49010","3168.0","SAR","CashDAMMOTHAIM","2026-03-13"
"Cash-BLKU-0001051","Cash","2026-03-14","AlQurashi-KSA","68018","49010","172.0","SAR","CashDAMMOTHAIM","2026-03-14"
"Cash-BLKU-0001052","Cash","2026-03-15","AlQurashi-KSA","68018","49010","1594.0","SAR","CashDAMMOTHAIM","2026-03-15"
"Cash-BLKU-0001054","Cash","2026-03-16","AlQurashi-KSA","68018","49010","571.0","SAR","CashDAMMOTHAIM","2026-03-16"
"Cash-BLKU-0001056","Cash","2026-03-17","AlQurashi-KSA","68018","49010","2565.0","SAR","CashDAMMOTHAIM","2026-03-17"
"Cash-BLKU-0001057","Cash","2026-03-18","AlQurashi-KSA","68018","49010","365.0","SAR","CashDAMMOTHAIM","2026-03-18"
"Cash-BLKU-0001058","Cash","2026-03-19","AlQurashi-KSA","68018","49010","807.0","SAR","CashDAMMOTHAIM","2026-03-19"
"Cash-BLKU-0001059","Cash","2026-03-20","AlQurashi-KSA","68018","49010","574.0","SAR","CashDAMMOTHAIM","2026-03-20"
"Cash-BLKU-0001060","Cash","2026-03-21","AlQurashi-KSA","68018","49010","446.0","SAR","CashDAMMOTHAIM","2026-03-21"
"Cash-BLKU-0001061","Cash","2026-03-22","AlQurashi-KSA","68018","49010","599.0","SAR","CashDAMMOTHAIM","2026-03-22"
"Cash-BLKU-0001062","Cash","2026-03-23","AlQurashi-KSA","68018","49010","1273.0","SAR","CashDAMMOTHAIM","2026-03-23"
"Cash-BLKU-0001063","Cash","2026-03-24","AlQurashi-KSA","68018","49010","765.0","SAR","CashDAMMOTHAIM","2026-03-24"
"Cash-BLKU-0001064","Cash","2026-03-25","AlQurashi-KSA","68018","49010","577.0","SAR","CashDAMMOTHAIM","2026-03-25"
"Cash-BLKU-0001065","Cash","2026-03-26","AlQurashi-KSA","68018","49010","1389.0","SAR","CashDAMMOTHAIM","2026-03-26"
"Cash-BLKU-0001066","Cash","2026-03-27","AlQurashi-KSA","68018","49010","544.0","SAR","CashDAMMOTHAIM","2026-03-27"
"Cash-BLKU-0001067","Cash","2026-03-28","AlQurashi-KSA","68018","49010","956.0","SAR","CashDAMMOTHAIM","2026-03-28"
"Cash-BLKU-0001068","Cash","2026-03-29","AlQurashi-KSA","68018","49010","1222.0","SAR","CashDAMMOTHAIM","2026-03-29"
"Cash-BLKU-0001069","Cash","2026-03-30","AlQurashi-KSA","68018","49010","13019.0","SAR","CashDAMMOTHAIM","2026-03-30"
"Cash-BLKU-0001070","Cash","2026-03-31","AlQurashi-KSA","68018","49010","14232.0","SAR","CashDAMMOTHAIM","2026-03-31"
"Cash-PAYMENT-DMMMARINA/5044 REFUND","Cash","2026-03-15","AlQurashi-KSA","141023","124054","-116.0","SAR","Cash DMMMARINA","2026-03-15"
"Cash-PAYMENT-NAKHDMM/71052 REFUND","Cash","2026-03-06","AlQurashi-KSA","68021","49013","-203.0","SAR","CashNAKHDMM","2026-03-06"
"Cash-PAYMENT-WESTAVENUE/46229 REFUND","Cash","2026-03-16","AlQurashi-KSA","4004","3004","-299.0","SAR","CashOth Mall Hail","2026-03-16"
