"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Mada-BLKU-0001041","Mada","2026-03-05","AlQurashi-KSA","68018","49010","8554.0","SAR","015795017321054","2026-03-05"
"Mada-BLKU-0001042","Mada","2026-03-06","AlQurashi-KSA","68018","49010","7612.0","SAR","015795017321054","2026-03-06"
"Mada-BLKU-0001044","Mada","2026-03-07","AlQurashi-KSA","68018","49010","7297.0","SAR","015795017321054","2026-03-07"
"Mada-BLKU-0001045","Mada","2026-03-08","AlQurashi-KSA","68018","49010","7031.0","SAR","015795017321054","2026-03-08"
"Mada-BLKU-0001046","Mada","2026-03-09","AlQurashi-KSA","68018","49010","6204.0","SAR","015795017321054","2026-03-09"
"Mada-BLKU-0001047","Mada","2026-03-10","AlQurashi-KSA","68018","49010","9417.0","SAR","015795017321054","2026-03-10"
"Mada-BLKU-0001048","Mada","2026-03-11","AlQurashi-KSA","68018","49010","9662.0","SAR","015795017321054","2026-03-11"
"Mada-BLKU-0001049","Mada","2026-03-12","AlQurashi-KSA","68018","49010","8211.0","SAR","015795017321054","2026-03-12"
"Mada-BLKU-0001050","Mada","2026-03-13","AlQurashi-KSA","68018","49010","10759.0","SAR","015795017321054","2026-03-13"
"Mada-BLKU-0001051","Mada","2026-03-14","AlQurashi-KSA","68018","49010","10778.0","SAR","015795017321054","2026-03-14"
"Mada-BLKU-0001052","Mada","2026-03-15","AlQurashi-KSA","68018","49010","9780.0","SAR","015795017321054","2026-03-15"
"Mada-BLKU-0001054","Mada","2026-03-16","AlQurashi-KSA","68018","49010","9146.0","SAR","015795017321054","2026-03-16"
"Mada-BLKU-0001056","Mada","2026-03-17","AlQurashi-KSA","68018","49010","19430.0","SAR","015795017321054","2026-03-17"
"Mada-BLKU-0001057","Mada","2026-03-18","AlQurashi-KSA","68018","49010","10752.0","SAR","015795017321054","2026-03-18"
"Mada-BLKU-0001058","Mada","2026-03-19","AlQurashi-KSA","68018","49010","12295.0","SAR","015795017321054","2026-03-19"
"Mada-BLKU-0001059","Mada","2026-03-20","AlQurashi-KSA","68018","49010","2582.0","SAR","015795017321054","2026-03-20"
"Mada-BLKU-0001060","Mada","2026-03-21","AlQurashi-KSA","68018","49010","1940.0","SAR","015795017321054","2026-03-21"
"Mada-BLKU-0001061","Mada","2026-03-22","AlQurashi-KSA","68018","49010","4710.0","SAR","015795017321054","2026-03-22"
"Mada-BLKU-0001062","Mada","2026-03-23","AlQurashi-KSA","68018","49010","2129.0","SAR","015795017321054","2026-03-23"
"Mada-BLKU-0001063","Mada","2026-03-24","AlQurashi-KSA","68018","49010","3332.0","SAR","015795017321054","2026-03-24"
"Mada-BLKU-0001064","Mada","2026-03-25","AlQurashi-KSA","68018","49010","3713.0","SAR","015795017321054","2026-03-25"
"Mada-BLKU-0001065","Mada","2026-03-26","AlQurashi-KSA","68018","49010","4199.0","SAR","015795017321054","2026-03-26"
"Mada-BLKU-0001066","Mada","2026-03-27","AlQurashi-KSA","68018","49010","2691.0","SAR","015795017321054","2026-03-27"
"Mada-BLKU-0001067","Mada","2026-03-28","AlQurashi-KSA","68018","49010","3655.0","SAR","015795017321054","2026-03-28"
"Mada-BLKU-0001068","Mada","2026-03-29","AlQurashi-KSA","68018","49010","3033.0","SAR","015795017321054","2026-03-29"
"Mada-BLKU-0001069","Mada","2026-03-30","AlQurashi-KSA","68018","49010","2833.0","SAR","015795017321054","2026-03-30"
"Mada-BLKU-0001070","Mada","2026-03-31","AlQurashi-KSA","68018","49010","1508.0","SAR","015795017321054","2026-03-31"
