"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Visa-BLKU-0001041","Visa","2026-03-05","AlQurashi-KSA","68018","49010","1843.0","SAR","015795017321054","2026-03-05"
"Visa-BLKU-0001042","Visa","2026-03-06","AlQurashi-KSA","68018","49010","1159.0","SAR","015795017321054","2026-03-06"
"Visa-BLKU-0001044","Visa","2026-03-07","AlQurashi-KSA","68018","49010","1445.0","SAR","015795017321054","2026-03-07"
"Visa-BLKU-0001045","Visa","2026-03-08","AlQurashi-KSA","68018","49010","1801.0","SAR","015795017321054","2026-03-08"
"Visa-BLKU-0001046","Visa","2026-03-09","AlQurashi-KSA","68018","49010","1735.0","SAR","015795017321054","2026-03-09"
"Visa-BLKU-0001047","Visa","2026-03-10","AlQurashi-KSA","68018","49010","1960.0","SAR","015795017321054","2026-03-10"
"Visa-BLKU-0001048","Visa","2026-03-11","AlQurashi-KSA","68018","49010","1956.0","SAR","015795017321054","2026-03-11"
"Visa-BLKU-0001049","Visa","2026-03-12","AlQurashi-KSA","68018","49010","2143.0","SAR","015795017321054","2026-03-12"
"Visa-BLKU-0001050","Visa","2026-03-13","AlQurashi-KSA","68018","49010","4266.0","SAR","015795017321054","2026-03-13"
"Visa-BLKU-0001051","Visa","2026-03-14","AlQurashi-KSA","68018","49010","7180.0","SAR","015795017321054","2026-03-14"
"Visa-BLKU-0001052","Visa","2026-03-15","AlQurashi-KSA","68018","49010","4045.0","SAR","015795017321054","2026-03-15"
"Visa-BLKU-0001054","Visa","2026-03-16","AlQurashi-KSA","68018","49010","2480.0","SAR","015795017321054","2026-03-16"
"Visa-BLKU-0001056","Visa","2026-03-17","AlQurashi-KSA","68018","49010","3952.0","SAR","015795017321054","2026-03-17"
"Visa-BLKU-0001057","Visa","2026-03-18","AlQurashi-KSA","68018","49010","3064.0","SAR","015795017321054","2026-03-18"
"Visa-BLKU-0001058","Visa","2026-03-19","AlQurashi-KSA","68018","49010","2467.0","SAR","015795017321054","2026-03-19"
"Visa-BLKU-0001059","Visa","2026-03-20","AlQurashi-KSA","68018","49010","912.0","SAR","015795017321054","2026-03-20"
"Visa-BLKU-0001060","Visa","2026-03-21","AlQurashi-KSA","68018","49010","806.0","SAR","015795017321054","2026-03-21"
"Visa-BLKU-0001061","Visa","2026-03-22","AlQurashi-KSA","68018","49010","261.0","SAR","015795017321054","2026-03-22"
"Visa-BLKU-0001062","Visa","2026-03-23","AlQurashi-KSA","68018","49010","2007.0","SAR","015795017321054","2026-03-23"
"Visa-BLKU-0001063","Visa","2026-03-24","AlQurashi-KSA","68018","49010","1292.0","SAR","015795017321054","2026-03-24"
"Visa-BLKU-0001064","Visa","2026-03-25","AlQurashi-KSA","68018","49010","704.0","SAR","015795017321054","2026-03-25"
"Visa-BLKU-0001065","Visa","2026-03-26","AlQurashi-KSA","68018","49010","2226.0","SAR","015795017321054","2026-03-26"
"Visa-BLKU-0001066","Visa","2026-03-27","AlQurashi-KSA","68018","49010","485.0","SAR","015795017321054","2026-03-27"
"Visa-BLKU-0001067","Visa","2026-03-28","AlQurashi-KSA","68018","49010","1112.0","SAR","015795017321054","2026-03-28"
"Visa-BLKU-0001068","Visa","2026-03-29","AlQurashi-KSA","68018","49010","459.0","SAR","015795017321054","2026-03-29"
"Visa-BLKU-0001069","Visa","2026-03-30","AlQurashi-KSA","68018","49010","763.0","SAR","015795017321054","2026-03-30"
"Visa-BLKU-0001070","Visa","2026-03-31","AlQurashi-KSA","68018","49010","529.0","SAR","015795017321054","2026-03-31"
