"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Visa-BLKU-0001085","Visa","2026-03-05","AlQurashi-KSA","34011","32003","2447.0","SAR","015795017321040","2026-03-05"
"Visa-BLKU-0001086","Visa","2026-03-06","AlQurashi-KSA","34011","32003","4547.0","SAR","015795017321040","2026-03-06"
"Visa-BLKU-0001087","Visa","2026-03-07","AlQurashi-KSA","34011","32003","2532.0","SAR","015795017321040","2026-03-07"
"Visa-BLKU-0001088","Visa","2026-03-08","AlQurashi-KSA","34011","32003","4038.0","SAR","015795017321040","2026-03-08"
"Visa-BLKU-0001089","Visa","2026-03-09","AlQurashi-KSA","34011","32003","2007.0","SAR","015795017321040","2026-03-09"
"Visa-BLKU-0001090","Visa","2026-03-10","AlQurashi-KSA","34011","32003","3826.0","SAR","015795017321040","2026-03-10"
"Visa-BLKU-0001091","Visa","2026-03-11","AlQurashi-KSA","34011","32003","1464.0","SAR","015795017321040","2026-03-11"
"Visa-BLKU-0001092","Visa","2026-03-12","AlQurashi-KSA","34011","32003","941.0","SAR","015795017321040","2026-03-12"
"Visa-BLKU-0001093","Visa","2026-03-13","AlQurashi-KSA","34011","32003","2028.0","SAR","015795017321040","2026-03-13"
"Visa-BLKU-0001094","Visa","2026-03-14","AlQurashi-KSA","34011","32003","1106.0","SAR","015795017321040","2026-03-14"
"Visa-BLKU-0001095","Visa","2026-03-15","AlQurashi-KSA","34011","32003","1077.0","SAR","015795017321040","2026-03-15"
"Visa-BLKU-0001097","Visa","2026-03-16","AlQurashi-KSA","34011","32003","5120.0","SAR","015795017321040","2026-03-16"
"Visa-BLKU-0001098","Visa","2026-03-17","AlQurashi-KSA","34011","32003","3488.0","SAR","015795017321040","2026-03-17"
"Visa-BLKU-0001099","Visa","2026-03-18","AlQurashi-KSA","34011","32003","4096.0","SAR","015795017321040","2026-03-18"
"Visa-BLKU-0001100","Visa","2026-03-19","AlQurashi-KSA","34011","32003","2573.0","SAR","015795017321040","2026-03-19"
"Visa-BLKU-0001101","Visa","2026-03-20","AlQurashi-KSA","34011","32003","334.0","SAR","015795017321040","2026-03-20"
"Visa-BLKU-0001102","Visa","2026-03-21","AlQurashi-KSA","34011","32003","957.0","SAR","015795017321040","2026-03-21"
"Visa-BLKU-0001103","Visa","2026-03-22","AlQurashi-KSA","34011","32003","894.0","SAR","015795017321040","2026-03-22"
"Visa-BLKU-0001104","Visa","2026-03-23","AlQurashi-KSA","34011","32003","440.0","SAR","015795017321040","2026-03-23"
"Visa-BLKU-0001105","Visa","2026-03-24","AlQurashi-KSA","34011","32003","470.0","SAR","015795017321040","2026-03-24"
"Visa-BLKU-0001106","Visa","2026-03-25","AlQurashi-KSA","34011","32003","825.0","SAR","015795017321040","2026-03-25"
"Visa-BLKU-0001107","Visa","2026-03-26","AlQurashi-KSA","34011","32003","505.0","SAR","015795017321040","2026-03-26"
"Visa-BLKU-0001108","Visa","2026-03-27","AlQurashi-KSA","34011","32003","598.0","SAR","015795017321040","2026-03-27"
"Visa-BLKU-0001109","Visa","2026-03-28","AlQurashi-KSA","34011","32003","314.0","SAR","015795017321040","2026-03-28"
"Visa-BLKU-0001110","Visa","2026-03-29","AlQurashi-KSA","34011","32003","207.0","SAR","015795017321040","2026-03-29"
"Visa-BLKU-0001111","Visa","2026-03-30","AlQurashi-KSA","34011","32003","248.0","SAR","015795017321040","2026-03-30"
"Visa-BLKU-0001112","Visa","2026-03-31","AlQurashi-KSA","34011","32003","1411.0","SAR","015795017321040","2026-03-31"
