"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Cash-PAYMENT-AMWAJ/40416 REFUND","Cash","2026-03-12","AlQurashi-KSA","4001","3001","-359.0","SAR","CASH Amwaj Mall Branch","2026-03-12"
"Cash-BLKU-0001122","Cash","2026-03-05","AlQurashi-KSA","4003","3003","2639.0","SAR","Cash DAREEN MALL","2026-03-05"
"Cash-BLKU-0001123","Cash","2026-03-06","AlQurashi-KSA","4003","3003","4537.0","SAR","Cash DAREEN MALL","2026-03-06"
"Cash-BLKU-0001124","Cash","2026-03-07","AlQurashi-KSA","4003","3003","3126.0","SAR","Cash DAREEN MALL","2026-03-07"
"Cash-BLKU-0001125","Cash","2026-03-08","AlQurashi-KSA","4003","3003","4181.0","SAR","Cash DAREEN MALL","2026-03-08"
"Cash-BLKU-0001126","Cash","2026-03-09","AlQurashi-KSA","4003","3003","3292.0","SAR","Cash DAREEN MALL","2026-03-09"
"Cash-BLKU-0001127","Cash","2026-03-10","AlQurashi-KSA","4003","3003","3713.0","SAR","Cash DAREEN MALL","2026-03-10"
"Cash-BLKU-0001128","Cash","2026-03-11","AlQurashi-KSA","4003","3003","2882.0","SAR","Cash DAREEN MALL","2026-03-11"
"Cash-BLKU-0001130","Cash","2026-03-12","AlQurashi-KSA","4003","3003","5078.0","SAR","Cash DAREEN MALL","2026-03-12"
"Cash-BLKU-0001131","Cash","2026-03-13","AlQurashi-KSA","4003","3003","8515.0","SAR","Cash DAREEN MALL","2026-03-13"
"Cash-BLKU-0001132","Cash","2026-03-14","AlQurashi-KSA","4003","3003","3758.0","SAR","Cash DAREEN MALL","2026-03-14"
"Cash-BLKU-0001133","Cash","2026-03-15","AlQurashi-KSA","4003","3003","4254.0","SAR","Cash DAREEN MALL","2026-03-15"
"Cash-BLKU-0001135","Cash","2026-03-16","AlQurashi-KSA","4003","3003","6864.0","SAR","Cash DAREEN MALL","2026-03-16"
"Cash-BLKU-0001137","Cash","2026-03-17","AlQurashi-KSA","4003","3003","5801.0","SAR","Cash DAREEN MALL","2026-03-17"
"Cash-BLKU-0001138","Cash","2026-03-18","AlQurashi-KSA","4003","3003","4316.0","SAR","Cash DAREEN MALL","2026-03-18"
"Cash-BLKU-0001139","Cash","2026-03-19","AlQurashi-KSA","4003","3003","4188.0","SAR","Cash DAREEN MALL","2026-03-19"
"Cash-BLKU-0001140","Cash","2026-03-20","AlQurashi-KSA","4003","3003","4413.0","SAR","Cash DAREEN MALL","2026-03-20"
"Cash-BLKU-0001141","Cash","2026-03-21","AlQurashi-KSA","4003","3003","1918.0","SAR","Cash DAREEN MALL","2026-03-21"
"Cash-BLKU-0001142","Cash","2026-03-22","AlQurashi-KSA","4003","3003","3161.0","SAR","Cash DAREEN MALL","2026-03-22"
"Cash-BLKU-0001143","Cash","2026-03-23","AlQurashi-KSA","4003","3003","1347.0","SAR","Cash DAREEN MALL","2026-03-23"
"Cash-BLKU-0001144","Cash","2026-03-24","AlQurashi-KSA","4003","3003","2869.0","SAR","Cash DAREEN MALL","2026-03-24"
"Cash-BLKU-0001145","Cash","2026-03-25","AlQurashi-KSA","4003","3003","3592.0","SAR","Cash DAREEN MALL","2026-03-25"
"Cash-BLKU-0001146","Cash","2026-03-26","AlQurashi-KSA","4003","3003","1985.0","SAR","Cash DAREEN MALL","2026-03-26"
"Cash-BLKU-0001147","Cash","2026-03-27","AlQurashi-KSA","4003","3003","1800.0","SAR","Cash DAREEN MALL","2026-03-27"
"Cash-BLKU-0001148","Cash","2026-03-28","AlQurashi-KSA","4003","3003","1786.0","SAR","Cash DAREEN MALL","2026-03-28"
"Cash-BLKU-0001149","Cash","2026-03-29","AlQurashi-KSA","4003","3003","662.0","SAR","Cash DAREEN MALL","2026-03-29"
"Cash-BLKU-0001150","Cash","2026-03-30","AlQurashi-KSA","4003","3003","2376.0","SAR","Cash DAREEN MALL","2026-03-30"
"Cash-BLKU-0001151","Cash","2026-03-31","AlQurashi-KSA","4003","3003","1480.0","SAR","Cash DAREEN MALL","2026-03-31"
"Cash-PAYMENT-DMMMARINA/5152 REFUND","Cash","2026-03-16","AlQurashi-KSA","141023","124054","-299.0","SAR","Cash DMMMARINA","2026-03-16"
"Cash-PAYMENT-NAKHDMM/73164 REFUND","Cash","2026-03-15","AlQurashi-KSA","68021","49013","-399.0","SAR","CashNAKHDMM","2026-03-15"
