"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Visa-BLKU-0001122","Visa","2026-03-05","AlQurashi-KSA","4003","3003","2807.0","SAR","0022555612029","2026-03-05"
"Visa-BLKU-0001123","Visa","2026-03-06","AlQurashi-KSA","4003","3003","1692.0","SAR","0022555612029","2026-03-06"
"Visa-BLKU-0001124","Visa","2026-03-07","AlQurashi-KSA","4003","3003","2028.0","SAR","0022555612029","2026-03-07"
"Visa-BLKU-0001125","Visa","2026-03-08","AlQurashi-KSA","4003","3003","2590.0","SAR","0022555612029","2026-03-08"
"Visa-BLKU-0001126","Visa","2026-03-09","AlQurashi-KSA","4003","3003","2175.0","SAR","0022555612029","2026-03-09"
"Visa-BLKU-0001127","Visa","2026-03-10","AlQurashi-KSA","4003","3003","1674.0","SAR","0022555612029","2026-03-10"
"Visa-BLKU-0001128","Visa","2026-03-11","AlQurashi-KSA","4003","3003","2620.0","SAR","0022555612029","2026-03-11"
"Visa-BLKU-0001130","Visa","2026-03-12","AlQurashi-KSA","4003","3003","383.0","SAR","0022555612029","2026-03-12"
"Visa-BLKU-0001131","Visa","2026-03-13","AlQurashi-KSA","4003","3003","1794.0","SAR","0022555612029","2026-03-13"
"Visa-BLKU-0001132","Visa","2026-03-14","AlQurashi-KSA","4003","3003","2712.0","SAR","0022555612029","2026-03-14"
"Visa-BLKU-0001133","Visa","2026-03-15","AlQurashi-KSA","4003","3003","1303.0","SAR","0022555612029","2026-03-15"
"Visa-BLKU-0001135","Visa","2026-03-16","AlQurashi-KSA","4003","3003","1997.0","SAR","0022555612029","2026-03-16"
"Visa-BLKU-0001137","Visa","2026-03-17","AlQurashi-KSA","4003","3003","3582.0","SAR","0022555612029","2026-03-17"
"Visa-BLKU-0001138","Visa","2026-03-18","AlQurashi-KSA","4003","3003","2983.0","SAR","0022555612029","2026-03-18"
"Visa-BLKU-0001139","Visa","2026-03-19","AlQurashi-KSA","4003","3003","3146.0","SAR","0022555612029","2026-03-19"
"Visa-BLKU-0001140","Visa","2026-03-20","AlQurashi-KSA","4003","3003","1806.0","SAR","0022555612029","2026-03-20"
"Visa-BLKU-0001141","Visa","2026-03-21","AlQurashi-KSA","4003","3003","1095.0","SAR","0022555612029","2026-03-21"
"Visa-BLKU-0001142","Visa","2026-03-22","AlQurashi-KSA","4003","3003","1120.0","SAR","0022555612029","2026-03-22"
"Visa-BLKU-0001143","Visa","2026-03-23","AlQurashi-KSA","4003","3003","1099.0","SAR","0022555612029","2026-03-23"
"Visa-BLKU-0001144","Visa","2026-03-24","AlQurashi-KSA","4003","3003","797.0","SAR","0022555612029","2026-03-24"
"Visa-BLKU-0001145","Visa","2026-03-25","AlQurashi-KSA","4003","3003","1121.0","SAR","0022555612029","2026-03-25"
"Visa-BLKU-0001146","Visa","2026-03-26","AlQurashi-KSA","4003","3003","647.0","SAR","0022555612029","2026-03-26"
"Visa-BLKU-0001147","Visa","2026-03-27","AlQurashi-KSA","4003","3003","584.0","SAR","0022555612029","2026-03-27"
"Visa-BLKU-0001148","Visa","2026-03-28","AlQurashi-KSA","4003","3003","848.0","SAR","0022555612029","2026-03-28"
"Visa-BLKU-0001149","Visa","2026-03-29","AlQurashi-KSA","4003","3003","1007.0","SAR","0022555612029","2026-03-29"
"Visa-BLKU-0001150","Visa","2026-03-30","AlQurashi-KSA","4003","3003","1044.0","SAR","0022555612029","2026-03-30"
"Visa-BLKU-0001151","Visa","2026-03-31","AlQurashi-KSA","4003","3003","379.0","SAR","0022555612029","2026-03-31"
