"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Cash-BLKU-0000980","Cash","2026-03-13","AlQurashi-KSA","13","13","-333.97","SAR","CashOth Mall Hail","2026-03-13"
"Cash-BLKU-0001003","Cash","2026-03-30","AlQurashi-KSA","13","13","-260.02","SAR","CashOth Mall Hail","2026-03-30"
"Cash-BLKU-0001165","Cash","2026-03-05","AlQurashi-KSA","12","12","14455.0","SAR","CashOth Mall Hail","2026-03-05"
"Cash-BLKU-0001166","Cash","2026-03-06","AlQurashi-KSA","12","12","4645.0","SAR","CashOth Mall Hail","2026-03-06"
"Cash-BLKU-0001167","Cash","2026-03-07","AlQurashi-KSA","12","12","5321.0","SAR","CashOth Mall Hail","2026-03-07"
"Cash-BLKU-0001168","Cash","2026-03-08","AlQurashi-KSA","12","12","6227.0","SAR","CashOth Mall Hail","2026-03-08"
"Cash-BLKU-0001169","Cash","2026-03-09","AlQurashi-KSA","12","12","5266.0","SAR","CashOth Mall Hail","2026-03-09"
"Cash-BLKU-0001170","Cash","2026-03-10","AlQurashi-KSA","12","12","3683.0","SAR","CashOth Mall Hail","2026-03-10"
"Cash-BLKU-0001171","Cash","2026-03-11","AlQurashi-KSA","12","12","8810.0","SAR","CashOth Mall Hail","2026-03-11"
"Cash-BLKU-0001172","Cash","2026-03-12","AlQurashi-KSA","12","12","6895.0","SAR","CashOth Mall Hail","2026-03-12"
"Cash-BLKU-0001173","Cash","2026-03-13","AlQurashi-KSA","12","12","6884.0","SAR","CashOth Mall Hail","2026-03-13"
"Cash-BLKU-0001174","Cash","2026-03-14","AlQurashi-KSA","12","12","7152.0","SAR","CashOth Mall Hail","2026-03-14"
"Cash-BLKU-0001175","Cash","2026-03-15","AlQurashi-KSA","12","12","6707.0","SAR","CashOth Mall Hail","2026-03-15"
"Cash-BLKU-0001176","Cash","2026-03-16","AlQurashi-KSA","12","12","6279.0","SAR","CashOth Mall Hail","2026-03-16"
"Cash-BLKU-0001177","Cash","2026-03-17","AlQurashi-KSA","12","12","6849.0","SAR","CashOth Mall Hail","2026-03-17"
"Cash-BLKU-0001178","Cash","2026-03-18","AlQurashi-KSA","12","12","6414.0","SAR","CashOth Mall Hail","2026-03-18"
"Cash-BLKU-0001179","Cash","2026-03-19","AlQurashi-KSA","12","12","8514.0","SAR","CashOth Mall Hail","2026-03-19"
"Cash-BLKU-0001180","Cash","2026-03-20","AlQurashi-KSA","12","12","7315.0","SAR","CashOth Mall Hail","2026-03-20"
"Cash-BLKU-0001181","Cash","2026-03-21","AlQurashi-KSA","12","12","3055.0","SAR","CashOth Mall Hail","2026-03-21"
"Cash-BLKU-0001182","Cash","2026-03-22","AlQurashi-KSA","12","12","3408.0","SAR","CashOth Mall Hail","2026-03-22"
"Cash-BLKU-0001183","Cash","2026-03-23","AlQurashi-KSA","12","12","3483.0","SAR","CashOth Mall Hail","2026-03-23"
"Cash-BLKU-0001184","Cash","2026-03-24","AlQurashi-KSA","12","12","3999.0","SAR","CashOth Mall Hail","2026-03-24"
"Cash-BLKU-0001185","Cash","2026-03-25","AlQurashi-KSA","12","12","1614.0","SAR","CashOth Mall Hail","2026-03-25"
"Cash-BLKU-0001186","Cash","2026-03-26","AlQurashi-KSA","12","12","1344.0","SAR","CashOth Mall Hail","2026-03-26"
"Cash-BLKU-0001187","Cash","2026-03-27","AlQurashi-KSA","12","12","2427.0","SAR","CashOth Mall Hail","2026-03-27"
"Cash-BLKU-0001188","Cash","2026-03-28","AlQurashi-KSA","12","12","3587.0","SAR","CashOth Mall Hail","2026-03-28"
"Cash-BLKU-0001189","Cash","2026-03-29","AlQurashi-KSA","12","12","4236.0","SAR","CashOth Mall Hail","2026-03-29"
"Cash-BLKU-0001190","Cash","2026-03-30","AlQurashi-KSA","12","12","1057.0","SAR","CashOth Mall Hail","2026-03-30"
"Cash-BLKU-0001191","Cash","2026-03-31","AlQurashi-KSA","12","12","3137.0","SAR","CashOth Mall Hail","2026-03-31"
