"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Mada-BLKU-0001165","Mada","2026-03-05","AlQurashi-KSA","12","12","6529.0","SAR","015795017321014","2026-03-05"
"Mada-BLKU-0001166","Mada","2026-03-06","AlQurashi-KSA","12","12","6117.0","SAR","015795017321014","2026-03-06"
"Mada-BLKU-0001167","Mada","2026-03-07","AlQurashi-KSA","12","12","6182.0","SAR","015795017321014","2026-03-07"
"Mada-BLKU-0001168","Mada","2026-03-08","AlQurashi-KSA","12","12","6764.0","SAR","015795017321014","2026-03-08"
"Mada-BLKU-0001169","Mada","2026-03-09","AlQurashi-KSA","12","12","6088.0","SAR","015795017321014","2026-03-09"
"Mada-BLKU-0001170","Mada","2026-03-10","AlQurashi-KSA","12","12","7946.0","SAR","015795017321014","2026-03-10"
"Mada-BLKU-0001171","Mada","2026-03-11","AlQurashi-KSA","12","12","8891.0","SAR","015795017321014","2026-03-11"
"Mada-BLKU-0001172","Mada","2026-03-12","AlQurashi-KSA","12","12","4913.0","SAR","015795017321014","2026-03-12"
"Mada-BLKU-0001173","Mada","2026-03-13","AlQurashi-KSA","12","12","4207.0","SAR","015795017321014","2026-03-13"
"Mada-BLKU-0001174","Mada","2026-03-14","AlQurashi-KSA","12","12","9918.0","SAR","015795017321014","2026-03-14"
"Mada-BLKU-0001175","Mada","2026-03-15","AlQurashi-KSA","12","12","5993.0","SAR","015795017321014","2026-03-15"
"Mada-BLKU-0001176","Mada","2026-03-16","AlQurashi-KSA","12","12","7766.0","SAR","015795017321014","2026-03-16"
"Mada-BLKU-0001177","Mada","2026-03-17","AlQurashi-KSA","12","12","7216.0","SAR","015795017321014","2026-03-17"
"Mada-BLKU-0001178","Mada","2026-03-18","AlQurashi-KSA","12","12","6313.0","SAR","015795017321014","2026-03-18"
"Mada-BLKU-0001179","Mada","2026-03-19","AlQurashi-KSA","12","12","9569.0","SAR","015795017321014","2026-03-19"
"Mada-BLKU-0001180","Mada","2026-03-20","AlQurashi-KSA","12","12","4961.0","SAR","015795017321014","2026-03-20"
"Mada-BLKU-0001181","Mada","2026-03-21","AlQurashi-KSA","12","12","1910.0","SAR","015795017321014","2026-03-21"
"Mada-BLKU-0001182","Mada","2026-03-22","AlQurashi-KSA","12","12","1469.0","SAR","015795017321014","2026-03-22"
"Mada-BLKU-0001183","Mada","2026-03-23","AlQurashi-KSA","12","12","737.0","SAR","015795017321014","2026-03-23"
"Mada-BLKU-0001184","Mada","2026-03-24","AlQurashi-KSA","12","12","2480.0","SAR","015795017321014","2026-03-24"
"Mada-BLKU-0001185","Mada","2026-03-25","AlQurashi-KSA","12","12","1748.0","SAR","015795017321014","2026-03-25"
"Mada-BLKU-0001186","Mada","2026-03-26","AlQurashi-KSA","12","12","1572.0","SAR","015795017321014","2026-03-26"
"Mada-BLKU-0001187","Mada","2026-03-27","AlQurashi-KSA","12","12","1806.0","SAR","015795017321014","2026-03-27"
"Mada-BLKU-0001188","Mada","2026-03-28","AlQurashi-KSA","12","12","3249.0","SAR","015795017321014","2026-03-28"
"Mada-BLKU-0001189","Mada","2026-03-29","AlQurashi-KSA","12","12","751.0","SAR","015795017321014","2026-03-29"
"Mada-BLKU-0001190","Mada","2026-03-30","AlQurashi-KSA","12","12","701.0","SAR","015795017321014","2026-03-30"
"Mada-BLKU-0001191","Mada","2026-03-31","AlQurashi-KSA","12","12","2131.0","SAR","015795017321014","2026-03-31"
