"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Master-BLKU-0001166","Master","2026-03-06","AlQurashi-KSA","12","12","150.0","SAR","015795017321014","2026-03-06"
"Master-BLKU-0001167","Master","2026-03-07","AlQurashi-KSA","12","12","421.0","SAR","015795017321014","2026-03-07"
"Master-BLKU-0001168","Master","2026-03-08","AlQurashi-KSA","12","12","273.0","SAR","015795017321014","2026-03-08"
"Master-BLKU-0001169","Master","2026-03-09","AlQurashi-KSA","12","12","1662.0","SAR","015795017321014","2026-03-09"
"Master-BLKU-0001170","Master","2026-03-10","AlQurashi-KSA","12","12","348.0","SAR","015795017321014","2026-03-10"
"Master-BLKU-0001171","Master","2026-03-11","AlQurashi-KSA","12","12","2123.0","SAR","015795017321014","2026-03-11"
"Master-BLKU-0001172","Master","2026-03-12","AlQurashi-KSA","12","12","757.0","SAR","015795017321014","2026-03-12"
"Master-BLKU-0001173","Master","2026-03-13","AlQurashi-KSA","12","12","825.0","SAR","015795017321014","2026-03-13"
"Master-BLKU-0001174","Master","2026-03-14","AlQurashi-KSA","12","12","587.0","SAR","015795017321014","2026-03-14"
"Master-BLKU-0001175","Master","2026-03-15","AlQurashi-KSA","12","12","436.0","SAR","015795017321014","2026-03-15"
"Master-BLKU-0001176","Master","2026-03-16","AlQurashi-KSA","12","12","895.0","SAR","015795017321014","2026-03-16"
"Master-BLKU-0001177","Master","2026-03-17","AlQurashi-KSA","12","12","1053.0","SAR","015795017321014","2026-03-17"
"Master-BLKU-0001179","Master","2026-03-19","AlQurashi-KSA","12","12","1023.0","SAR","015795017321014","2026-03-19"
"Master-BLKU-0001180","Master","2026-03-20","AlQurashi-KSA","12","12","75.0","SAR","015795017321014","2026-03-20"
"Master-BLKU-0001181","Master","2026-03-21","AlQurashi-KSA","12","12","299.0","SAR","015795017321014","2026-03-21"
"Master-BLKU-0001183","Master","2026-03-23","AlQurashi-KSA","12","12","589.0","SAR","015795017321014","2026-03-23"
"Master-BLKU-0001184","Master","2026-03-24","AlQurashi-KSA","12","12","497.0","SAR","015795017321014","2026-03-24"
"Master-BLKU-0001185","Master","2026-03-25","AlQurashi-KSA","12","12","742.0","SAR","015795017321014","2026-03-25"
"Master-BLKU-0001186","Master","2026-03-26","AlQurashi-KSA","12","12","1169.0","SAR","015795017321014","2026-03-26"
"Master-BLKU-0001187","Master","2026-03-27","AlQurashi-KSA","12","12","357.0","SAR","015795017321014","2026-03-27"
"Master-BLKU-0001188","Master","2026-03-28","AlQurashi-KSA","12","12","397.0","SAR","015795017321014","2026-03-28"
