"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Cash-BLKU-0001210","Cash","2026-03-05","AlQurashi-KSA","30011","23004","21.0","SAR","Cash Granada Mall","2026-03-05"
"Cash-BLKU-0001212","Cash","2026-03-07","AlQurashi-KSA","30011","23004","1226.0","SAR","Cash Granada Mall","2026-03-07"
"Cash-BLKU-0001213","Cash","2026-03-08","AlQurashi-KSA","30011","23004","8668.0","SAR","Cash Granada Mall","2026-03-08"
"Cash-BLKU-0001214","Cash","2026-03-09","AlQurashi-KSA","30011","23004","402.0","SAR","Cash Granada Mall","2026-03-09"
"Cash-BLKU-0001215","Cash","2026-03-10","AlQurashi-KSA","30011","23004","720.0","SAR","Cash Granada Mall","2026-03-10"
"Cash-BLKU-0001216","Cash","2026-03-11","AlQurashi-KSA","30011","23004","199.0","SAR","Cash Granada Mall","2026-03-11"
"Cash-BLKU-0001217","Cash","2026-03-12","AlQurashi-KSA","30011","23004","135.0","SAR","Cash Granada Mall","2026-03-12"
"Cash-BLKU-0001218","Cash","2026-03-13","AlQurashi-KSA","30011","23004","1712.0","SAR","Cash Granada Mall","2026-03-13"
"Cash-BLKU-0001219","Cash","2026-03-14","AlQurashi-KSA","30011","23004","505.0","SAR","Cash Granada Mall","2026-03-14"
"Cash-BLKU-0001220","Cash","2026-03-15","AlQurashi-KSA","30011","23004","662.0","SAR","Cash Granada Mall","2026-03-15"
"Cash-BLKU-0001221","Cash","2026-03-16","AlQurashi-KSA","30011","23004","732.0","SAR","Cash Granada Mall","2026-03-16"
"Cash-BLKU-0001222","Cash","2026-03-17","AlQurashi-KSA","30011","23004","897.0","SAR","Cash Granada Mall","2026-03-17"
"Cash-BLKU-0001223","Cash","2026-03-18","AlQurashi-KSA","30011","23004","1001.0","SAR","Cash Granada Mall","2026-03-18"
"Cash-BLKU-0001224","Cash","2026-03-19","AlQurashi-KSA","30011","23004","1187.0","SAR","Cash Granada Mall","2026-03-19"
"Cash-BLKU-0001226","Cash","2026-03-21","AlQurashi-KSA","30011","23004","498.0","SAR","Cash Granada Mall","2026-03-21"
"Cash-BLKU-0001227","Cash","2026-03-22","AlQurashi-KSA","30011","23004","108.0","SAR","Cash Granada Mall","2026-03-22"
"Cash-BLKU-0001228","Cash","2026-03-23","AlQurashi-KSA","30011","23004","700.0","SAR","Cash Granada Mall","2026-03-23"
"Cash-BLKU-0001229","Cash","2026-03-24","AlQurashi-KSA","30011","23004","112.0","SAR","Cash Granada Mall","2026-03-24"
"Cash-BLKU-0001230","Cash","2026-03-25","AlQurashi-KSA","30011","23004","878.0","SAR","Cash Granada Mall","2026-03-25"
"Cash-BLKU-0001231","Cash","2026-03-26","AlQurashi-KSA","30011","23004","307.0","SAR","Cash Granada Mall","2026-03-26"
"Cash-BLKU-0001232","Cash","2026-03-27","AlQurashi-KSA","30011","23004","230.0","SAR","Cash Granada Mall","2026-03-27"
"Cash-BLKU-0001234","Cash","2026-03-29","AlQurashi-KSA","30011","23004","68.0","SAR","Cash Granada Mall","2026-03-29"
"Cash-BLKU-0001235","Cash","2026-03-30","AlQurashi-KSA","30011","23004","534.0","SAR","Cash Granada Mall","2026-03-30"
