"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"AMEX-BLKU-0001224","AMEX","2026-03-19","AlQurashi-KSA","30011","23004","180.0","SAR","Riyadh Bank - Granada Mall","2026-03-19"
"Cash-BLKU-0001210","Cash","2026-03-05","AlQurashi-KSA","30011","23004","21.0","SAR","Cash Granada Mall","2026-03-05"
"Cash-BLKU-0001212","Cash","2026-03-07","AlQurashi-KSA","30011","23004","1226.0","SAR","Cash Granada Mall","2026-03-07"
"Cash-BLKU-0001213","Cash","2026-03-08","AlQurashi-KSA","30011","23004","8668.0","SAR","Cash Granada Mall","2026-03-08"
"Cash-BLKU-0001214","Cash","2026-03-09","AlQurashi-KSA","30011","23004","402.0","SAR","Cash Granada Mall","2026-03-09"
"Cash-BLKU-0001215","Cash","2026-03-10","AlQurashi-KSA","30011","23004","720.0","SAR","Cash Granada Mall","2026-03-10"
"Cash-BLKU-0001216","Cash","2026-03-11","AlQurashi-KSA","30011","23004","199.0","SAR","Cash Granada Mall","2026-03-11"
"Cash-BLKU-0001217","Cash","2026-03-12","AlQurashi-KSA","30011","23004","135.0","SAR","Cash Granada Mall","2026-03-12"
"Cash-BLKU-0001218","Cash","2026-03-13","AlQurashi-KSA","30011","23004","1712.0","SAR","Cash Granada Mall","2026-03-13"
"Cash-BLKU-0001219","Cash","2026-03-14","AlQurashi-KSA","30011","23004","505.0","SAR","Cash Granada Mall","2026-03-14"
"Cash-BLKU-0001220","Cash","2026-03-15","AlQurashi-KSA","30011","23004","662.0","SAR","Cash Granada Mall","2026-03-15"
"Cash-BLKU-0001221","Cash","2026-03-16","AlQurashi-KSA","30011","23004","732.0","SAR","Cash Granada Mall","2026-03-16"
"Cash-BLKU-0001222","Cash","2026-03-17","AlQurashi-KSA","30011","23004","897.0","SAR","Cash Granada Mall","2026-03-17"
"Cash-BLKU-0001223","Cash","2026-03-18","AlQurashi-KSA","30011","23004","1001.0","SAR","Cash Granada Mall","2026-03-18"
"Cash-BLKU-0001224","Cash","2026-03-19","AlQurashi-KSA","30011","23004","1187.0","SAR","Cash Granada Mall","2026-03-19"
"Cash-BLKU-0001226","Cash","2026-03-21","AlQurashi-KSA","30011","23004","498.0","SAR","Cash Granada Mall","2026-03-21"
"Cash-BLKU-0001227","Cash","2026-03-22","AlQurashi-KSA","30011","23004","108.0","SAR","Cash Granada Mall","2026-03-22"
"Cash-BLKU-0001228","Cash","2026-03-23","AlQurashi-KSA","30011","23004","700.0","SAR","Cash Granada Mall","2026-03-23"
"Cash-BLKU-0001229","Cash","2026-03-24","AlQurashi-KSA","30011","23004","112.0","SAR","Cash Granada Mall","2026-03-24"
"Cash-BLKU-0001230","Cash","2026-03-25","AlQurashi-KSA","30011","23004","878.0","SAR","Cash Granada Mall","2026-03-25"
"Cash-BLKU-0001231","Cash","2026-03-26","AlQurashi-KSA","30011","23004","307.0","SAR","Cash Granada Mall","2026-03-26"
"Cash-BLKU-0001232","Cash","2026-03-27","AlQurashi-KSA","30011","23004","230.0","SAR","Cash Granada Mall","2026-03-27"
"Cash-BLKU-0001234","Cash","2026-03-29","AlQurashi-KSA","30011","23004","68.0","SAR","Cash Granada Mall","2026-03-29"
"Cash-BLKU-0001235","Cash","2026-03-30","AlQurashi-KSA","30011","23004","534.0","SAR","Cash Granada Mall","2026-03-30"
"Mada-BLKU-0001210","Mada","2026-03-05","AlQurashi-KSA","30011","23004","6666.0","SAR","Riyadh Bank - Granada Mall","2026-03-05"
"Mada-BLKU-0001211","Mada","2026-03-06","AlQurashi-KSA","30011","23004","4606.0","SAR","Riyadh Bank - Granada Mall","2026-03-06"
"Mada-BLKU-0001212","Mada","2026-03-07","AlQurashi-KSA","30011","23004","5232.0","SAR","Riyadh Bank - Granada Mall","2026-03-07"
"Mada-BLKU-0001213","Mada","2026-03-08","AlQurashi-KSA","30011","23004","4772.0","SAR","Riyadh Bank - Granada Mall","2026-03-08"
"Mada-BLKU-0001214","Mada","2026-03-09","AlQurashi-KSA","30011","23004","2531.0","SAR","Riyadh Bank - Granada Mall","2026-03-09"
"Mada-BLKU-0001215","Mada","2026-03-10","AlQurashi-KSA","30011","23004","8015.0","SAR","Riyadh Bank - Granada Mall","2026-03-10"
"Mada-BLKU-0001216","Mada","2026-03-11","AlQurashi-KSA","30011","23004","2764.0","SAR","Riyadh Bank - Granada Mall","2026-03-11"
"Mada-BLKU-0001217","Mada","2026-03-12","AlQurashi-KSA","30011","23004","5965.0","SAR","Riyadh Bank - Granada Mall","2026-03-12"
"Mada-BLKU-0001218","Mada","2026-03-13","AlQurashi-KSA","30011","23004","5382.0","SAR","Riyadh Bank - Granada Mall","2026-03-13"
"Mada-BLKU-0001219","Mada","2026-03-14","AlQurashi-KSA","30011","23004","2913.0","SAR","Riyadh Bank - Granada Mall","2026-03-14"
"Mada-BLKU-0001220","Mada","2026-03-15","AlQurashi-KSA","30011","23004","11863.0","SAR","Riyadh Bank - Granada Mall","2026-03-15"
"Mada-BLKU-0001221","Mada","2026-03-16","AlQurashi-KSA","30011","23004","3806.0","SAR","Riyadh Bank - Granada Mall","2026-03-16"
"Mada-BLKU-0001222","Mada","2026-03-17","AlQurashi-KSA","30011","23004","2086.0","SAR","Riyadh Bank - Granada Mall","2026-03-17"
"Mada-BLKU-0001223","Mada","2026-03-18","AlQurashi-KSA","30011","23004","6472.0","SAR","Riyadh Bank - Granada Mall","2026-03-18"
"Mada-BLKU-0001224","Mada","2026-03-19","AlQurashi-KSA","30011","23004","9435.0","SAR","Riyadh Bank - Granada Mall","2026-03-19"
"Mada-BLKU-0001225","Mada","2026-03-20","AlQurashi-KSA","30011","23004","1380.0","SAR","Riyadh Bank - Granada Mall","2026-03-20"
"Mada-BLKU-0001227","Mada","2026-03-22","AlQurashi-KSA","30011","23004","1984.0","SAR","Riyadh Bank - Granada Mall","2026-03-22"
"Mada-BLKU-0001228","Mada","2026-03-23","AlQurashi-KSA","30011","23004","345.0","SAR","Riyadh Bank - Granada Mall","2026-03-23"
"Mada-BLKU-0001229","Mada","2026-03-24","AlQurashi-KSA","30011","23004","1730.0","SAR","Riyadh Bank - Granada Mall","2026-03-24"
"Mada-BLKU-0001230","Mada","2026-03-25","AlQurashi-KSA","30011","23004","1060.0","SAR","Riyadh Bank - Granada Mall","2026-03-25"
"Mada-BLKU-0001231","Mada","2026-03-26","AlQurashi-KSA","30011","23004","1173.0","SAR","Riyadh Bank - Granada Mall","2026-03-26"
"Mada-BLKU-0001232","Mada","2026-03-27","AlQurashi-KSA","30011","23004","2168.0","SAR","Riyadh Bank - Granada Mall","2026-03-27"
"Mada-BLKU-0001233","Mada","2026-03-28","AlQurashi-KSA","30011","23004","993.0","SAR","Riyadh Bank - Granada Mall","2026-03-28"
"Mada-BLKU-0001234","Mada","2026-03-29","AlQurashi-KSA","30011","23004","1226.0","SAR","Riyadh Bank - Granada Mall","2026-03-29"
"Mada-BLKU-0001235","Mada","2026-03-30","AlQurashi-KSA","30011","23004","1168.0","SAR","Riyadh Bank - Granada Mall","2026-03-30"
"Mada-BLKU-0001236","Mada","2026-03-31","AlQurashi-KSA","30011","23004","1315.0","SAR","Riyadh Bank - Granada Mall","2026-03-31"
"Master-BLKU-0001210","Master","2026-03-05","AlQurashi-KSA","30011","23004","531.0","SAR","Riyadh Bank - Granada Mall","2026-03-05"
"Master-BLKU-0001211","Master","2026-03-06","AlQurashi-KSA","30011","23004","149.0","SAR","Riyadh Bank - Granada Mall","2026-03-06"
"Master-BLKU-0001212","Master","2026-03-07","AlQurashi-KSA","30011","23004","448.0","SAR","Riyadh Bank - Granada Mall","2026-03-07"
"Master-BLKU-0001213","Master","2026-03-08","AlQurashi-KSA","30011","23004","1110.0","SAR","Riyadh Bank - Granada Mall","2026-03-08"
"Master-BLKU-0001214","Master","2026-03-09","AlQurashi-KSA","30011","23004","363.0","SAR","Riyadh Bank - Granada Mall","2026-03-09"
"Master-BLKU-0001215","Master","2026-03-10","AlQurashi-KSA","30011","23004","2568.0","SAR","Riyadh Bank - Granada Mall","2026-03-10"
"Master-BLKU-0001216","Master","2026-03-11","AlQurashi-KSA","30011","23004","160.0","SAR","Riyadh Bank - Granada Mall","2026-03-11"
"Master-BLKU-0001217","Master","2026-03-12","AlQurashi-KSA","30011","23004","241.0","SAR","Riyadh Bank - Granada Mall","2026-03-12"
"Master-BLKU-0001218","Master","2026-03-13","AlQurashi-KSA","30011","23004","150.0","SAR","Riyadh Bank - Granada Mall","2026-03-13"
"Master-BLKU-0001219","Master","2026-03-14","AlQurashi-KSA","30011","23004","160.0","SAR","Riyadh Bank - Granada Mall","2026-03-14"
"Master-BLKU-0001220","Master","2026-03-15","AlQurashi-KSA","30011","23004","852.0","SAR","Riyadh Bank - Granada Mall","2026-03-15"
"Master-BLKU-0001223","Master","2026-03-18","AlQurashi-KSA","30011","23004","299.0","SAR","Riyadh Bank - Granada Mall","2026-03-18"
