"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Visa-BLKU-0001210","Visa","2026-03-05","AlQurashi-KSA","30011","23004","1708.0","SAR","Riyadh Bank - Granada Mall","2026-03-05"
"Visa-BLKU-0001211","Visa","2026-03-06","AlQurashi-KSA","30011","23004","2382.0","SAR","Riyadh Bank - Granada Mall","2026-03-06"
"Visa-BLKU-0001212","Visa","2026-03-07","AlQurashi-KSA","30011","23004","504.0","SAR","Riyadh Bank - Granada Mall","2026-03-07"
"Visa-BLKU-0001213","Visa","2026-03-08","AlQurashi-KSA","30011","23004","1657.0","SAR","Riyadh Bank - Granada Mall","2026-03-08"
"Visa-BLKU-0001214","Visa","2026-03-09","AlQurashi-KSA","30011","23004","1024.0","SAR","Riyadh Bank - Granada Mall","2026-03-09"
"Visa-BLKU-0001215","Visa","2026-03-10","AlQurashi-KSA","30011","23004","3684.0","SAR","Riyadh Bank - Granada Mall","2026-03-10"
"Visa-BLKU-0001216","Visa","2026-03-11","AlQurashi-KSA","30011","23004","1145.0","SAR","Riyadh Bank - Granada Mall","2026-03-11"
"Visa-BLKU-0001217","Visa","2026-03-12","AlQurashi-KSA","30011","23004","1095.0","SAR","Riyadh Bank - Granada Mall","2026-03-12"
"Visa-BLKU-0001218","Visa","2026-03-13","AlQurashi-KSA","30011","23004","2693.0","SAR","Riyadh Bank - Granada Mall","2026-03-13"
"Visa-BLKU-0001219","Visa","2026-03-14","AlQurashi-KSA","30011","23004","1592.0","SAR","Riyadh Bank - Granada Mall","2026-03-14"
"Visa-BLKU-0001220","Visa","2026-03-15","AlQurashi-KSA","30011","23004","1297.0","SAR","Riyadh Bank - Granada Mall","2026-03-15"
"Visa-BLKU-0001221","Visa","2026-03-16","AlQurashi-KSA","30011","23004","1423.0","SAR","Riyadh Bank - Granada Mall","2026-03-16"
"Visa-BLKU-0001222","Visa","2026-03-17","AlQurashi-KSA","30011","23004","723.0","SAR","Riyadh Bank - Granada Mall","2026-03-17"
"Visa-BLKU-0001223","Visa","2026-03-18","AlQurashi-KSA","30011","23004","669.0","SAR","Riyadh Bank - Granada Mall","2026-03-18"
"Visa-BLKU-0001224","Visa","2026-03-19","AlQurashi-KSA","30011","23004","1903.0","SAR","Riyadh Bank - Granada Mall","2026-03-19"
"Visa-BLKU-0001228","Visa","2026-03-23","AlQurashi-KSA","30011","23004","386.0","SAR","Riyadh Bank - Granada Mall","2026-03-23"
"Visa-BLKU-0001229","Visa","2026-03-24","AlQurashi-KSA","30011","23004","115.0","SAR","Riyadh Bank - Granada Mall","2026-03-24"
"Visa-BLKU-0001230","Visa","2026-03-25","AlQurashi-KSA","30011","23004","398.0","SAR","Riyadh Bank - Granada Mall","2026-03-25"
"Visa-BLKU-0001231","Visa","2026-03-26","AlQurashi-KSA","30011","23004","1835.0","SAR","Riyadh Bank - Granada Mall","2026-03-26"
"Visa-BLKU-0001233","Visa","2026-03-28","AlQurashi-KSA","30011","23004","725.0","SAR","Riyadh Bank - Granada Mall","2026-03-28"
"Visa-BLKU-0001234","Visa","2026-03-29","AlQurashi-KSA","30011","23004","390.0","SAR","Riyadh Bank - Granada Mall","2026-03-29"
"Visa-BLKU-0001235","Visa","2026-03-30","AlQurashi-KSA","30011","23004","670.0","SAR","Riyadh Bank - Granada Mall","2026-03-30"
