"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Mada-BLKU-0004033","Mada","2026-03-05","AlQurashi-KSA","68016","49008","4678.0","SAR","015795017321055","2026-03-05"
"Mada-BLKU-0004034","Mada","2026-03-06","AlQurashi-KSA","68016","49008","3848.0","SAR","015795017321055","2026-03-06"
"Mada-BLKU-0004035","Mada","2026-03-07","AlQurashi-KSA","68016","49008","4258.0","SAR","015795017321055","2026-03-07"
"Mada-BLKU-0004036","Mada","2026-03-08","AlQurashi-KSA","68016","49008","3778.0","SAR","015795017321055","2026-03-08"
"Mada-BLKU-0004037","Mada","2026-03-09","AlQurashi-KSA","68016","49008","2823.0","SAR","015795017321055","2026-03-09"
"Mada-BLKU-0004038","Mada","2026-03-10","AlQurashi-KSA","68016","49008","3878.0","SAR","015795017321055","2026-03-10"
"Mada-BLKU-0004039","Mada","2026-03-11","AlQurashi-KSA","68016","49008","4003.0","SAR","015795017321055","2026-03-11"
"Mada-BLKU-0004040","Mada","2026-03-12","AlQurashi-KSA","68016","49008","3414.0","SAR","015795017321055","2026-03-12"
"Mada-BLKU-0004041","Mada","2026-03-13","AlQurashi-KSA","68016","49008","3349.0","SAR","015795017321055","2026-03-13"
"Mada-BLKU-0004042","Mada","2026-03-14","AlQurashi-KSA","68016","49008","3590.0","SAR","015795017321055","2026-03-14"
"Mada-BLKU-0004043","Mada","2026-03-15","AlQurashi-KSA","68016","49008","3565.0","SAR","015795017321055","2026-03-15"
"Mada-BLKU-0004044","Mada","2026-03-16","AlQurashi-KSA","68016","49008","4098.0","SAR","015795017321055","2026-03-16"
"Mada-BLKU-0004045","Mada","2026-03-17","AlQurashi-KSA","68016","49008","5346.0","SAR","015795017321055","2026-03-17"
"Mada-BLKU-0004046","Mada","2026-03-18","AlQurashi-KSA","68016","49008","4588.0","SAR","015795017321055","2026-03-18"
"Mada-BLKU-0004047","Mada","2026-03-19","AlQurashi-KSA","68016","49008","7433.0","SAR","015795017321055","2026-03-19"
"Mada-BLKU-0004048","Mada","2026-03-20","AlQurashi-KSA","68016","49008","506.0","SAR","015795017321055","2026-03-20"
"Mada-BLKU-0004049","Mada","2026-03-21","AlQurashi-KSA","68016","49008","666.0","SAR","015795017321055","2026-03-21"
"Mada-BLKU-0004050","Mada","2026-03-22","AlQurashi-KSA","68016","49008","1541.0","SAR","015795017321055","2026-03-22"
"Mada-BLKU-0004051","Mada","2026-03-23","AlQurashi-KSA","68016","49008","547.0","SAR","015795017321055","2026-03-23"
"Mada-BLKU-0004052","Mada","2026-03-24","AlQurashi-KSA","68016","49008","369.0","SAR","015795017321055","2026-03-24"
"Mada-BLKU-0004053","Mada","2026-03-25","AlQurashi-KSA","68016","49008","830.0","SAR","015795017321055","2026-03-25"
"Mada-BLKU-0004054","Mada","2026-03-26","AlQurashi-KSA","68016","49008","2488.0","SAR","015795017321055","2026-03-26"
"Mada-BLKU-0004055","Mada","2026-03-27","AlQurashi-KSA","68016","49008","3013.0","SAR","015795017321055","2026-03-27"
"Mada-BLKU-0004056","Mada","2026-03-28","AlQurashi-KSA","68016","49008","1507.0","SAR","015795017321055","2026-03-28"
"Mada-BLKU-0004057","Mada","2026-03-29","AlQurashi-KSA","68016","49008","1206.0","SAR","015795017321055","2026-03-29"
"Mada-BLKU-0004058","Mada","2026-03-30","AlQurashi-KSA","68016","49008","584.0","SAR","015795017321055","2026-03-30"
"Mada-BLKU-0004059","Mada","2026-03-31","AlQurashi-KSA","68016","49008","1427.0","SAR","015795017321055","2026-03-31"
