"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Master-BLKU-0004033","Master","2026-03-05","AlQurashi-KSA","68016","49008","199.0","SAR","015795017321055","2026-03-05"
"Master-BLKU-0004035","Master","2026-03-07","AlQurashi-KSA","68016","49008","6061.0","SAR","015795017321055","2026-03-07"
"Master-BLKU-0004037","Master","2026-03-09","AlQurashi-KSA","68016","49008","596.0","SAR","015795017321055","2026-03-09"
"Master-BLKU-0004041","Master","2026-03-13","AlQurashi-KSA","68016","49008","4707.0","SAR","015795017321055","2026-03-13"
"Master-BLKU-0004042","Master","2026-03-14","AlQurashi-KSA","68016","49008","598.0","SAR","015795017321055","2026-03-14"
"Master-BLKU-0004043","Master","2026-03-15","AlQurashi-KSA","68016","49008","895.0","SAR","015795017321055","2026-03-15"
"Master-BLKU-0004046","Master","2026-03-18","AlQurashi-KSA","68016","49008","3113.0","SAR","015795017321055","2026-03-18"
"Master-BLKU-0004047","Master","2026-03-19","AlQurashi-KSA","68016","49008","399.0","SAR","015795017321055","2026-03-19"
"Master-BLKU-0004048","Master","2026-03-20","AlQurashi-KSA","68016","49008","316.0","SAR","015795017321055","2026-03-20"
"Master-BLKU-0004051","Master","2026-03-23","AlQurashi-KSA","68016","49008","494.0","SAR","015795017321055","2026-03-23"
"Master-BLKU-0004052","Master","2026-03-24","AlQurashi-KSA","68016","49008","199.0","SAR","015795017321055","2026-03-24"
"Master-BLKU-0004053","Master","2026-03-25","AlQurashi-KSA","68016","49008","550.0","SAR","015795017321055","2026-03-25"
"Master-BLKU-0004054","Master","2026-03-26","AlQurashi-KSA","68016","49008","1621.0","SAR","015795017321055","2026-03-26"
"Master-BLKU-0004055","Master","2026-03-27","AlQurashi-KSA","68016","49008","798.0","SAR","015795017321055","2026-03-27"
"Master-BLKU-0004056","Master","2026-03-28","AlQurashi-KSA","68016","49008","487.0","SAR","015795017321055","2026-03-28"
"Master-BLKU-0004057","Master","2026-03-29","AlQurashi-KSA","68016","49008","1396.0","SAR","015795017321055","2026-03-29"
"Master-BLKU-0004059","Master","2026-03-31","AlQurashi-KSA","68016","49008","399.0","SAR","015795017321055","2026-03-31"
