"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Cash-BLKU-0004033","Cash","2026-03-05","AlQurashi-KSA","68016","49008","25.0","SAR","CashHAFRBATIN","2026-03-05"
"Cash-BLKU-0004034","Cash","2026-03-06","AlQurashi-KSA","68016","49008","993.0","SAR","CashHAFRBATIN","2026-03-06"
"Cash-BLKU-0004035","Cash","2026-03-07","AlQurashi-KSA","68016","49008","974.0","SAR","CashHAFRBATIN","2026-03-07"
"Cash-BLKU-0004036","Cash","2026-03-08","AlQurashi-KSA","68016","49008","1046.0","SAR","CashHAFRBATIN","2026-03-08"
"Cash-BLKU-0004037","Cash","2026-03-09","AlQurashi-KSA","68016","49008","2310.0","SAR","CashHAFRBATIN","2026-03-09"
"Cash-BLKU-0004038","Cash","2026-03-10","AlQurashi-KSA","68016","49008","949.0","SAR","CashHAFRBATIN","2026-03-10"
"Cash-BLKU-0004039","Cash","2026-03-11","AlQurashi-KSA","68016","49008","1291.0","SAR","CashHAFRBATIN","2026-03-11"
"Cash-BLKU-0004040","Cash","2026-03-12","AlQurashi-KSA","68016","49008","1503.0","SAR","CashHAFRBATIN","2026-03-12"
"Cash-BLKU-0004041","Cash","2026-03-13","AlQurashi-KSA","68016","49008","1452.0","SAR","CashHAFRBATIN","2026-03-13"
"Cash-BLKU-0004042","Cash","2026-03-14","AlQurashi-KSA","68016","49008","1216.0","SAR","CashHAFRBATIN","2026-03-14"
"Cash-BLKU-0004043","Cash","2026-03-15","AlQurashi-KSA","68016","49008","1528.0","SAR","CashHAFRBATIN","2026-03-15"
"Cash-BLKU-0004044","Cash","2026-03-16","AlQurashi-KSA","68016","49008","797.0","SAR","CashHAFRBATIN","2026-03-16"
"Cash-BLKU-0004045","Cash","2026-03-17","AlQurashi-KSA","68016","49008","2061.0","SAR","CashHAFRBATIN","2026-03-17"
"Cash-BLKU-0004046","Cash","2026-03-18","AlQurashi-KSA","68016","49008","773.0","SAR","CashHAFRBATIN","2026-03-18"
"Cash-BLKU-0004047","Cash","2026-03-19","AlQurashi-KSA","68016","49008","1135.0","SAR","CashHAFRBATIN","2026-03-19"
"Cash-BLKU-0004048","Cash","2026-03-20","AlQurashi-KSA","68016","49008","995.0","SAR","CashHAFRBATIN","2026-03-20"
