"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Master-BLKU-0001303","Master","2026-03-05","AlQurashi-KSA","16","16","1251.0","SAR","0022555612015","2026-03-05"
"Master-BLKU-0001304","Master","2026-03-06","AlQurashi-KSA","16","16","527.0","SAR","0022555612015","2026-03-06"
"Master-BLKU-0001305","Master","2026-03-07","AlQurashi-KSA","16","16","763.0","SAR","0022555612015","2026-03-07"
"Master-BLKU-0001306","Master","2026-03-08","AlQurashi-KSA","16","16","698.0","SAR","0022555612015","2026-03-08"
"Master-BLKU-0001307","Master","2026-03-09","AlQurashi-KSA","16","16","1559.0","SAR","0022555612015","2026-03-09"
"Master-BLKU-0001308","Master","2026-03-10","AlQurashi-KSA","16","16","408.0","SAR","0022555612015","2026-03-10"
"Master-BLKU-0001309","Master","2026-03-11","AlQurashi-KSA","16","16","1433.0","SAR","0022555612015","2026-03-11"
"Master-BLKU-0001311","Master","2026-03-12","AlQurashi-KSA","16","16","299.0","SAR","0022555612015","2026-03-12"
"Master-BLKU-0001312","Master","2026-03-13","AlQurashi-KSA","16","16","747.0","SAR","0022555612015","2026-03-13"
"Master-BLKU-0001313","Master","2026-03-14","AlQurashi-KSA","16","16","1300.0","SAR","0022555612015","2026-03-14"
"Master-BLKU-0001314","Master","2026-03-15","AlQurashi-KSA","16","16","2548.0","SAR","0022555612015","2026-03-15"
"Master-BLKU-0001315","Master","2026-03-16","AlQurashi-KSA","16","16","2318.0","SAR","0022555612015","2026-03-16"
"Master-BLKU-0001316","Master","2026-03-17","AlQurashi-KSA","16","16","813.0","SAR","0022555612015","2026-03-17"
"Master-BLKU-0001317","Master","2026-03-18","AlQurashi-KSA","16","16","394.0","SAR","0022555612015","2026-03-18"
"Master-BLKU-0001318","Master","2026-03-19","AlQurashi-KSA","16","16","1567.0","SAR","0022555612015","2026-03-19"
"Master-BLKU-0001319","Master","2026-03-20","AlQurashi-KSA","16","16","3042.0","SAR","0022555612015","2026-03-20"
"Master-BLKU-0001320","Master","2026-03-21","AlQurashi-KSA","16","16","499.0","SAR","0022555612015","2026-03-21"
"Master-BLKU-0001321","Master","2026-03-22","AlQurashi-KSA","16","16","286.0","SAR","0022555612015","2026-03-22"
"Master-BLKU-0001322","Master","2026-03-23","AlQurashi-KSA","16","16","497.0","SAR","0022555612015","2026-03-23"
"Master-BLKU-0001323","Master","2026-03-24","AlQurashi-KSA","16","16","1929.0","SAR","0022555612015","2026-03-24"
"Master-BLKU-0001324","Master","2026-03-25","AlQurashi-KSA","16","16","2985.0","SAR","0022555612015","2026-03-25"
"Master-BLKU-0001325","Master","2026-03-26","AlQurashi-KSA","16","16","2834.0","SAR","0022555612015","2026-03-26"
"Master-BLKU-0001326","Master","2026-03-27","AlQurashi-KSA","16","16","2184.0","SAR","0022555612015","2026-03-27"
"Master-BLKU-0001327","Master","2026-03-28","AlQurashi-KSA","16","16","1679.0","SAR","0022555612015","2026-03-28"
"Master-BLKU-0001328","Master","2026-03-29","AlQurashi-KSA","16","16","1116.0","SAR","0022555612015","2026-03-29"
"Master-BLKU-0001329","Master","2026-03-30","AlQurashi-KSA","16","16","115.0","SAR","0022555612015","2026-03-30"
"Master-BLKU-0001330","Master","2026-03-31","AlQurashi-KSA","16","16","184.0","SAR","0022555612015","2026-03-31"
