"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Cash-PAYMENT-AZIZMALL/91776 REFUND","Cash","2026-03-08","AlQurashi-KSA","13","13","-299.0","SAR","CashOth Mall Hail","2026-03-08"
"Cash-PAYMENT-HAIFAA/58620 REFUND","Cash","2026-03-14","AlQurashi-KSA","16","16","-399.0","SAR","CASH Haifaa Mall Branch","2026-03-14"
"Cash-BLKU-0001331","Cash","2026-03-05","AlQurashi-KSA","72019","55011","4166.0","SAR","CashHAMDANIIYA","2026-03-05"
"Cash-BLKU-0001332","Cash","2026-03-06","AlQurashi-KSA","72019","55011","4931.0","SAR","CashHAMDANIIYA","2026-03-06"
"Cash-BLKU-0001333","Cash","2026-03-07","AlQurashi-KSA","72019","55011","3182.0","SAR","CashHAMDANIIYA","2026-03-07"
"Cash-BLKU-0001335","Cash","2026-03-08","AlQurashi-KSA","72019","55011","4079.0","SAR","CashHAMDANIIYA","2026-03-08"
"Cash-BLKU-0001336","Cash","2026-03-09","AlQurashi-KSA","72019","55011","3081.0","SAR","CashHAMDANIIYA","2026-03-09"
"Cash-BLKU-0001337","Cash","2026-03-10","AlQurashi-KSA","72019","55011","3378.0","SAR","CashHAMDANIIYA","2026-03-10"
"Cash-BLKU-0001339","Cash","2026-03-11","AlQurashi-KSA","72019","55011","2198.0","SAR","CashHAMDANIIYA","2026-03-11"
"Cash-BLKU-0001340","Cash","2026-03-12","AlQurashi-KSA","72019","55011","4573.0","SAR","CashHAMDANIIYA","2026-03-12"
"Cash-BLKU-0001341","Cash","2026-03-13","AlQurashi-KSA","72019","55011","5922.0","SAR","CashHAMDANIIYA","2026-03-13"
"Cash-BLKU-0001344","Cash","2026-03-14","AlQurashi-KSA","72019","55011","3808.0","SAR","CashHAMDANIIYA","2026-03-14"
"Cash-BLKU-0001345","Cash","2026-03-15","AlQurashi-KSA","72019","55011","4227.0","SAR","CashHAMDANIIYA","2026-03-15"
"Cash-BLKU-0001439","Cash","2026-03-16","AlQurashi-KSA","72019","55011","6596.48","SAR","CashHAMDANIIYA","2026-03-16"
"Cash-BLKU-0001348","Cash","2026-03-17","AlQurashi-KSA","72019","55011","4209.0","SAR","CashHAMDANIIYA","2026-03-17"
"Cash-BLKU-0001349","Cash","2026-03-18","AlQurashi-KSA","72019","55011","7525.0","SAR","CashHAMDANIIYA","2026-03-18"
"Cash-BLKU-0001351","Cash","2026-03-19","AlQurashi-KSA","72019","55011","9049.0","SAR","CashHAMDANIIYA","2026-03-19"
"Cash-BLKU-0001353","Cash","2026-03-20","AlQurashi-KSA","72019","55011","5251.0","SAR","CashHAMDANIIYA","2026-03-20"
"Cash-BLKU-0001354","Cash","2026-03-21","AlQurashi-KSA","72019","55011","2586.0","SAR","CashHAMDANIIYA","2026-03-21"
"Cash-BLKU-0001355","Cash","2026-03-22","AlQurashi-KSA","72019","55011","3117.0","SAR","CashHAMDANIIYA","2026-03-22"
"Cash-BLKU-0001356","Cash","2026-03-23","AlQurashi-KSA","72019","55011","2006.0","SAR","CashHAMDANIIYA","2026-03-23"
"Cash-BLKU-0001357","Cash","2026-03-24","AlQurashi-KSA","72019","55011","1709.0","SAR","CashHAMDANIIYA","2026-03-24"
"Cash-BLKU-0001358","Cash","2026-03-25","AlQurashi-KSA","72019","55011","1673.0","SAR","CashHAMDANIIYA","2026-03-25"
"Cash-BLKU-0001359","Cash","2026-03-26","AlQurashi-KSA","72019","55011","1039.0","SAR","CashHAMDANIIYA","2026-03-26"
"Cash-BLKU-0001360","Cash","2026-03-27","AlQurashi-KSA","72019","55011","1065.0","SAR","CashHAMDANIIYA","2026-03-27"
"Cash-BLKU-0001361","Cash","2026-03-28","AlQurashi-KSA","72019","55011","1815.0","SAR","CashHAMDANIIYA","2026-03-28"
"Cash-BLKU-0001363","Cash","2026-03-29","AlQurashi-KSA","72019","55011","1153.0","SAR","CashHAMDANIIYA","2026-03-29"
"Cash-BLKU-0001365","Cash","2026-03-30","AlQurashi-KSA","72019","55011","693.0","SAR","CashHAMDANIIYA","2026-03-30"
"Cash-BLKU-0001366","Cash","2026-03-31","AlQurashi-KSA","72019","55011","9061.0","SAR","CashHAMDANIIYA","2026-03-31"
"Cash-PAYMENT-HAMDANYA2/16339 REFUND","Cash","2026-03-10","AlQurashi-KSA","88016","74005","-299.0","SAR","Cash HAMDANYA2","2026-03-10"
"Cash-PAYMENT-JEDNUJOD/2707 REFUND","Cash","2026-03-29","AlQurashi-KSA","168020","152010","-299.0","SAR","Cash JEDNUJOD","2026-03-29"
"Cash-PAYMENT-OBHURMALL/45930 REFUND","Cash","2026-03-18","AlQurashi-KSA","72018","55010","-499.0","SAR","CashOBHURMALL","2026-03-18"
"Cash-PAYMENT-VILLAGEHMT/48656 REFUND","Cash","2026-03-13","AlQurashi-KSA","68019","49011","-199.0","SAR","CashVILLAGEHMT","2026-03-13"
"Cash-PAYMENT-VILLAGEHMT/48990 REFUND","Cash","2026-03-15","AlQurashi-KSA","68019","49011","-87.0","SAR","CashVILLAGEHMT","2026-03-15"
"Cash-PAYMENT-VILLAGEHMT/49422 REFUND","Cash","2026-03-19","AlQurashi-KSA","68019","49011","-160.0","SAR","CashVILLAGEHMT","2026-03-19"
"Cash-PAYMENT-VILLAGEHMT/49948 REFUND","Cash","2026-03-28","AlQurashi-KSA","68019","49011","-174.0","SAR","CashVILLAGEHMT","2026-03-28"
