"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Master-BLKU-0001332","Master","2026-03-06","AlQurashi-KSA","72019","55011","809.0","SAR","AL Jazeerah BankHAMDANIIYA","2026-03-06"
"Master-BLKU-0001333","Master","2026-03-07","AlQurashi-KSA","72019","55011","498.0","SAR","AL Jazeerah BankHAMDANIIYA","2026-03-07"
"Master-BLKU-0001335","Master","2026-03-08","AlQurashi-KSA","72019","55011","692.0","SAR","AL Jazeerah BankHAMDANIIYA","2026-03-08"
"Master-BLKU-0001336","Master","2026-03-09","AlQurashi-KSA","72019","55011","1225.0","SAR","AL Jazeerah BankHAMDANIIYA","2026-03-09"
"Master-BLKU-0001337","Master","2026-03-10","AlQurashi-KSA","72019","55011","946.0","SAR","AL Jazeerah BankHAMDANIIYA","2026-03-10"
"Master-BLKU-0001339","Master","2026-03-11","AlQurashi-KSA","72019","55011","344.0","SAR","AL Jazeerah BankHAMDANIIYA","2026-03-11"
"Master-BLKU-0001340","Master","2026-03-12","AlQurashi-KSA","72019","55011","1001.0","SAR","AL Jazeerah BankHAMDANIIYA","2026-03-12"
"Master-BLKU-0001344","Master","2026-03-14","AlQurashi-KSA","72019","55011","804.0","SAR","AL Jazeerah BankHAMDANIIYA","2026-03-14"
"Master-BLKU-0001345","Master","2026-03-15","AlQurashi-KSA","72019","55011","743.0","SAR","AL Jazeerah BankHAMDANIIYA","2026-03-15"
"Master-BLKU-0001439","Master","2026-03-16","AlQurashi-KSA","72019","55011","2291.0","SAR","AL Jazeerah BankHAMDANIIYA","2026-03-16"
"Master-BLKU-0001348","Master","2026-03-17","AlQurashi-KSA","72019","55011","1183.0","SAR","AL Jazeerah BankHAMDANIIYA","2026-03-17"
"Master-BLKU-0001349","Master","2026-03-18","AlQurashi-KSA","72019","55011","1583.0","SAR","AL Jazeerah BankHAMDANIIYA","2026-03-18"
"Master-BLKU-0001351","Master","2026-03-19","AlQurashi-KSA","72019","55011","1941.0","SAR","AL Jazeerah BankHAMDANIIYA","2026-03-19"
"Master-BLKU-0001353","Master","2026-03-20","AlQurashi-KSA","72019","55011","598.0","SAR","AL Jazeerah BankHAMDANIIYA","2026-03-20"
"Master-BLKU-0001354","Master","2026-03-21","AlQurashi-KSA","72019","55011","250.0","SAR","AL Jazeerah BankHAMDANIIYA","2026-03-21"
"Master-BLKU-0001355","Master","2026-03-22","AlQurashi-KSA","72019","55011","125.0","SAR","AL Jazeerah BankHAMDANIIYA","2026-03-22"
"Master-BLKU-0001357","Master","2026-03-24","AlQurashi-KSA","72019","55011","398.0","SAR","AL Jazeerah BankHAMDANIIYA","2026-03-24"
"Master-BLKU-0001360","Master","2026-03-27","AlQurashi-KSA","72019","55011","126.0","SAR","AL Jazeerah BankHAMDANIIYA","2026-03-27"
"Master-BLKU-0001363","Master","2026-03-29","AlQurashi-KSA","72019","55011","3.0","SAR","AL Jazeerah BankHAMDANIIYA","2026-03-29"
"Master-BLKU-0001365","Master","2026-03-30","AlQurashi-KSA","72019","55011","471.0","SAR","AL Jazeerah BankHAMDANIIYA","2026-03-30"
