"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Master-BLKU-0008302","Master","2026-03-05","AlQurashi-KSA","141025","124064","274.0","SAR","0157-95017321-JEDMNDARIN","2026-03-05"
"Master-BLKU-0008303","Master","2026-03-06","AlQurashi-KSA","141025","124064","603.0","SAR","0157-95017321-JEDMNDARIN","2026-03-06"
"Master-BLKU-0008304","Master","2026-03-07","AlQurashi-KSA","141025","124064","199.0","SAR","0157-95017321-JEDMNDARIN","2026-03-07"
"Master-BLKU-0008305","Master","2026-03-08","AlQurashi-KSA","141025","124064","299.0","SAR","0157-95017321-JEDMNDARIN","2026-03-08"
"Master-BLKU-0008307","Master","2026-03-09","AlQurashi-KSA","141025","124064","299.0","SAR","0157-95017321-JEDMNDARIN","2026-03-09"
"Master-BLKU-0008309","Master","2026-03-11","AlQurashi-KSA","141025","124064","421.0","SAR","0157-95017321-JEDMNDARIN","2026-03-11"
"Master-BLKU-0008311","Master","2026-03-13","AlQurashi-KSA","141025","124064","449.0","SAR","0157-95017321-JEDMNDARIN","2026-03-13"
"Master-BLKU-0008313","Master","2026-03-14","AlQurashi-KSA","141025","124064","2045.0","SAR","0157-95017321-JEDMNDARIN","2026-03-14"
"Master-BLKU-0008315","Master","2026-03-15","AlQurashi-KSA","141025","124064","2033.0","SAR","0157-95017321-JEDMNDARIN","2026-03-15"
"Master-BLKU-0008317","Master","2026-03-16","AlQurashi-KSA","141025","124064","876.0","SAR","0157-95017321-JEDMNDARIN","2026-03-16"
"Master-BLKU-0008319","Master","2026-03-17","AlQurashi-KSA","141025","124064","1461.0","SAR","0157-95017321-JEDMNDARIN","2026-03-17"
"Master-BLKU-0008321","Master","2026-03-18","AlQurashi-KSA","141025","124064","1270.0","SAR","0157-95017321-JEDMNDARIN","2026-03-18"
"Master-BLKU-0008322","Master","2026-03-19","AlQurashi-KSA","141025","124064","1620.0","SAR","0157-95017321-JEDMNDARIN","2026-03-19"
"Master-BLKU-0008323","Master","2026-03-20","AlQurashi-KSA","141025","124064","1246.0","SAR","0157-95017321-JEDMNDARIN","2026-03-20"
"Master-BLKU-0008324","Master","2026-03-21","AlQurashi-KSA","141025","124064","883.0","SAR","0157-95017321-JEDMNDARIN","2026-03-21"
"Master-BLKU-0008325","Master","2026-03-22","AlQurashi-KSA","141025","124064","1397.0","SAR","0157-95017321-JEDMNDARIN","2026-03-22"
"Master-BLKU-0008327","Master","2026-03-23","AlQurashi-KSA","141025","124064","808.0","SAR","0157-95017321-JEDMNDARIN","2026-03-23"
"Master-BLKU-0008328","Master","2026-03-24","AlQurashi-KSA","141025","124064","239.0","SAR","0157-95017321-JEDMNDARIN","2026-03-24"
"Master-BLKU-0008332","Master","2026-03-28","AlQurashi-KSA","141025","124064","66.0","SAR","0157-95017321-JEDMNDARIN","2026-03-28"
"Master-BLKU-0008333","Master","2026-03-29","AlQurashi-KSA","141025","124064","1675.0","SAR","0157-95017321-JEDMNDARIN","2026-03-29"
