"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Mada-BLKU-0008302","Mada","2026-03-05","AlQurashi-KSA","141025","124064","7040.0","SAR","0157-95017321-JEDMNDARIN","2026-03-05"
"Mada-BLKU-0008303","Mada","2026-03-06","AlQurashi-KSA","141025","124064","6143.0","SAR","0157-95017321-JEDMNDARIN","2026-03-06"
"Mada-BLKU-0008304","Mada","2026-03-07","AlQurashi-KSA","141025","124064","7482.0","SAR","0157-95017321-JEDMNDARIN","2026-03-07"
"Mada-BLKU-0008305","Mada","2026-03-08","AlQurashi-KSA","141025","124064","8866.0","SAR","0157-95017321-JEDMNDARIN","2026-03-08"
"Mada-BLKU-0008307","Mada","2026-03-09","AlQurashi-KSA","141025","124064","9967.0","SAR","0157-95017321-JEDMNDARIN","2026-03-09"
"Mada-BLKU-0008308","Mada","2026-03-10","AlQurashi-KSA","141025","124064","9294.0","SAR","0157-95017321-JEDMNDARIN","2026-03-10"
"Mada-BLKU-0008309","Mada","2026-03-11","AlQurashi-KSA","141025","124064","10427.0","SAR","0157-95017321-JEDMNDARIN","2026-03-11"
"Mada-BLKU-0008310","Mada","2026-03-12","AlQurashi-KSA","141025","124064","5497.0","SAR","0157-95017321-JEDMNDARIN","2026-03-12"
"Mada-BLKU-0008311","Mada","2026-03-13","AlQurashi-KSA","141025","124064","12733.0","SAR","0157-95017321-JEDMNDARIN","2026-03-13"
"Mada-BLKU-0008313","Mada","2026-03-14","AlQurashi-KSA","141025","124064","11009.0","SAR","0157-95017321-JEDMNDARIN","2026-03-14"
"Mada-BLKU-0008315","Mada","2026-03-15","AlQurashi-KSA","141025","124064","8561.0","SAR","0157-95017321-JEDMNDARIN","2026-03-15"
"Mada-BLKU-0008317","Mada","2026-03-16","AlQurashi-KSA","141025","124064","9142.0","SAR","0157-95017321-JEDMNDARIN","2026-03-16"
"Mada-BLKU-0008319","Mada","2026-03-17","AlQurashi-KSA","141025","124064","16628.0","SAR","0157-95017321-JEDMNDARIN","2026-03-17"
"Mada-BLKU-0008321","Mada","2026-03-18","AlQurashi-KSA","141025","124064","25651.0","SAR","0157-95017321-JEDMNDARIN","2026-03-18"
"Mada-BLKU-0008322","Mada","2026-03-19","AlQurashi-KSA","141025","124064","25515.0","SAR","0157-95017321-JEDMNDARIN","2026-03-19"
"Mada-BLKU-0008323","Mada","2026-03-20","AlQurashi-KSA","141025","124064","10357.0","SAR","0157-95017321-JEDMNDARIN","2026-03-20"
"Mada-BLKU-0008324","Mada","2026-03-21","AlQurashi-KSA","141025","124064","6542.0","SAR","0157-95017321-JEDMNDARIN","2026-03-21"
"Mada-BLKU-0008325","Mada","2026-03-22","AlQurashi-KSA","141025","124064","8597.0","SAR","0157-95017321-JEDMNDARIN","2026-03-22"
"Mada-BLKU-0008327","Mada","2026-03-23","AlQurashi-KSA","141025","124064","4334.0","SAR","0157-95017321-JEDMNDARIN","2026-03-23"
"Mada-BLKU-0008328","Mada","2026-03-24","AlQurashi-KSA","141025","124064","3555.0","SAR","0157-95017321-JEDMNDARIN","2026-03-24"
"Mada-BLKU-0008329","Mada","2026-03-25","AlQurashi-KSA","141025","124064","1560.0","SAR","0157-95017321-JEDMNDARIN","2026-03-25"
"Mada-BLKU-0008330","Mada","2026-03-26","AlQurashi-KSA","141025","124064","4240.0","SAR","0157-95017321-JEDMNDARIN","2026-03-26"
"Mada-BLKU-0008331","Mada","2026-03-27","AlQurashi-KSA","141025","124064","3288.0","SAR","0157-95017321-JEDMNDARIN","2026-03-27"
"Mada-BLKU-0008332","Mada","2026-03-28","AlQurashi-KSA","141025","124064","3257.0","SAR","0157-95017321-JEDMNDARIN","2026-03-28"
"Mada-BLKU-0008333","Mada","2026-03-29","AlQurashi-KSA","141025","124064","2584.0","SAR","0157-95017321-JEDMNDARIN","2026-03-29"
"Mada-BLKU-0008334","Mada","2026-03-30","AlQurashi-KSA","141025","124064","2055.0","SAR","0157-95017321-JEDMNDARIN","2026-03-30"
"Mada-BLKU-0008335","Mada","2026-03-31","AlQurashi-KSA","141025","124064","3975.0","SAR","0157-95017321-JEDMNDARIN","2026-03-31"
