"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Visa-BLKU-0008302","Visa","2026-03-05","AlQurashi-KSA","141025","124064","1295.0","SAR","0157-95017321-JEDMNDARIN","2026-03-05"
"Visa-BLKU-0008303","Visa","2026-03-06","AlQurashi-KSA","141025","124064","1326.0","SAR","0157-95017321-JEDMNDARIN","2026-03-06"
"Visa-BLKU-0008304","Visa","2026-03-07","AlQurashi-KSA","141025","124064","2014.0","SAR","0157-95017321-JEDMNDARIN","2026-03-07"
"Visa-BLKU-0008305","Visa","2026-03-08","AlQurashi-KSA","141025","124064","3106.0","SAR","0157-95017321-JEDMNDARIN","2026-03-08"
"Visa-BLKU-0008307","Visa","2026-03-09","AlQurashi-KSA","141025","124064","961.0","SAR","0157-95017321-JEDMNDARIN","2026-03-09"
"Visa-BLKU-0008308","Visa","2026-03-10","AlQurashi-KSA","141025","124064","3335.0","SAR","0157-95017321-JEDMNDARIN","2026-03-10"
"Visa-BLKU-0008309","Visa","2026-03-11","AlQurashi-KSA","141025","124064","2752.0","SAR","0157-95017321-JEDMNDARIN","2026-03-11"
"Visa-BLKU-0008310","Visa","2026-03-12","AlQurashi-KSA","141025","124064","1991.0","SAR","0157-95017321-JEDMNDARIN","2026-03-12"
"Visa-BLKU-0008311","Visa","2026-03-13","AlQurashi-KSA","141025","124064","2448.0","SAR","0157-95017321-JEDMNDARIN","2026-03-13"
"Visa-BLKU-0008313","Visa","2026-03-14","AlQurashi-KSA","141025","124064","2682.0","SAR","0157-95017321-JEDMNDARIN","2026-03-14"
"Visa-BLKU-0008315","Visa","2026-03-15","AlQurashi-KSA","141025","124064","1916.0","SAR","0157-95017321-JEDMNDARIN","2026-03-15"
"Visa-BLKU-0008317","Visa","2026-03-16","AlQurashi-KSA","141025","124064","3349.0","SAR","0157-95017321-JEDMNDARIN","2026-03-16"
"Visa-BLKU-0008319","Visa","2026-03-17","AlQurashi-KSA","141025","124064","2807.0","SAR","0157-95017321-JEDMNDARIN","2026-03-17"
"Visa-BLKU-0008321","Visa","2026-03-18","AlQurashi-KSA","141025","124064","7831.0","SAR","0157-95017321-JEDMNDARIN","2026-03-18"
"Visa-BLKU-0008322","Visa","2026-03-19","AlQurashi-KSA","141025","124064","6064.0","SAR","0157-95017321-JEDMNDARIN","2026-03-19"
"Visa-BLKU-0008323","Visa","2026-03-20","AlQurashi-KSA","141025","124064","1552.0","SAR","0157-95017321-JEDMNDARIN","2026-03-20"
"Visa-BLKU-0008324","Visa","2026-03-21","AlQurashi-KSA","141025","124064","790.0","SAR","0157-95017321-JEDMNDARIN","2026-03-21"
"Visa-BLKU-0008325","Visa","2026-03-22","AlQurashi-KSA","141025","124064","2367.0","SAR","0157-95017321-JEDMNDARIN","2026-03-22"
"Visa-BLKU-0008327","Visa","2026-03-23","AlQurashi-KSA","141025","124064","582.0","SAR","0157-95017321-JEDMNDARIN","2026-03-23"
"Visa-BLKU-0008328","Visa","2026-03-24","AlQurashi-KSA","141025","124064","1945.0","SAR","0157-95017321-JEDMNDARIN","2026-03-24"
"Visa-BLKU-0008329","Visa","2026-03-25","AlQurashi-KSA","141025","124064","506.0","SAR","0157-95017321-JEDMNDARIN","2026-03-25"
"Visa-BLKU-0008330","Visa","2026-03-26","AlQurashi-KSA","141025","124064","985.0","SAR","0157-95017321-JEDMNDARIN","2026-03-26"
"Visa-BLKU-0008331","Visa","2026-03-27","AlQurashi-KSA","141025","124064","683.0","SAR","0157-95017321-JEDMNDARIN","2026-03-27"
"Visa-BLKU-0008332","Visa","2026-03-28","AlQurashi-KSA","141025","124064","1543.0","SAR","0157-95017321-JEDMNDARIN","2026-03-28"
"Visa-BLKU-0008334","Visa","2026-03-30","AlQurashi-KSA","141025","124064","749.0","SAR","0157-95017321-JEDMNDARIN","2026-03-30"
"Visa-BLKU-0008335","Visa","2026-03-31","AlQurashi-KSA","141025","124064","1928.0","SAR","0157-95017321-JEDMNDARIN","2026-03-31"
