"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Cash-BLKU-0008003","Cash","2026-03-05","AlQurashi-KSA","4002","3002","3575.0","SAR","CashOth Mall Hail","2026-03-05"
"Cash-BLKU-0008004","Cash","2026-03-06","AlQurashi-KSA","4002","3002","3483.0","SAR","CashOth Mall Hail","2026-03-06"
"Cash-BLKU-0008005","Cash","2026-03-07","AlQurashi-KSA","4002","3002","7581.0","SAR","CashOth Mall Hail","2026-03-07"
"Cash-BLKU-0008006","Cash","2026-03-08","AlQurashi-KSA","4002","3002","7253.0","SAR","CashOth Mall Hail","2026-03-08"
"Cash-BLKU-0008007","Cash","2026-03-09","AlQurashi-KSA","4002","3002","7944.0","SAR","CashOth Mall Hail","2026-03-09"
"Cash-BLKU-0008008","Cash","2026-03-10","AlQurashi-KSA","4002","3002","6090.0","SAR","CashOth Mall Hail","2026-03-10"
"Cash-BLKU-0008009","Cash","2026-03-11","AlQurashi-KSA","4002","3002","9290.0","SAR","CashOth Mall Hail","2026-03-11"
"Cash-PAYMENT-JURIMALL/73747","Cash","2026-03-12","AlQurashi-KSA","4002","3002","9874.0","SAR","CashOth Mall Hail","2026-03-12"
"Cash-PAYMENT-JURIMALL/73920","Cash","2026-03-13","AlQurashi-KSA","4002","3002","7503.0","SAR","CashOth Mall Hail","2026-03-13"
"Cash-PAYMENT-JURIMALL/74145","Cash","2026-03-14","AlQurashi-KSA","4002","3002","7388.0","SAR","CashOth Mall Hail","2026-03-14"
"Cash-PAYMENT-JURIMALL/74328","Cash","2026-03-15","AlQurashi-KSA","4002","3002","7649.0","SAR","CashOth Mall Hail","2026-03-15"
"Cash-PAYMENT-JURIMALL/74524","Cash","2026-03-16","AlQurashi-KSA","4002","3002","9805.0","SAR","CashOth Mall Hail","2026-03-16"
"Cash-PAYMENT-JURIMALL/74753","Cash","2026-03-17","AlQurashi-KSA","4002","3002","11843.0","SAR","CashOth Mall Hail","2026-03-17"
"Cash-PAYMENT-JURIMALL/74870","Cash","2026-03-18","AlQurashi-KSA","4002","3002","4408.0","SAR","CashOth Mall Hail","2026-03-18"
"Cash-PAYMENT-JURIMALL/75076","Cash","2026-03-19","AlQurashi-KSA","4002","3002","11297.0","SAR","CashOth Mall Hail","2026-03-19"
"Cash-PAYMENT-JURIMALL/75142","Cash","2026-03-20","AlQurashi-KSA","4002","3002","1686.0","SAR","CashOth Mall Hail","2026-03-20"
"Cash-PAYMENT-JURIMALL/75179","Cash","2026-03-21","AlQurashi-KSA","4002","3002","1382.0","SAR","CashOth Mall Hail","2026-03-21"
"Cash-PAYMENT-JURIMALL/75228","Cash","2026-03-22","AlQurashi-KSA","4002","3002","4375.0","SAR","CashOth Mall Hail","2026-03-22"
"Cash-PAYMENT-JURIMALL/75269","Cash","2026-03-23","AlQurashi-KSA","4002","3002","3002.0","SAR","CashOth Mall Hail","2026-03-23"
"Cash-PAYMENT-JURIMALL/75316","Cash","2026-03-24","AlQurashi-KSA","4002","3002","2341.0","SAR","CashOth Mall Hail","2026-03-24"
"Cash-PAYMENT-JURIMALL/75358","Cash","2026-03-25","AlQurashi-KSA","4002","3002","2036.0","SAR","CashOth Mall Hail","2026-03-25"
"Cash-PAYMENT-JURIMALL/75406","Cash","2026-03-26","AlQurashi-KSA","4002","3002","542.0","SAR","CashOth Mall Hail","2026-03-26"
"Cash-PAYMENT-JURIMALL/75467","Cash","2026-03-27","AlQurashi-KSA","4002","3002","654.0","SAR","CashOth Mall Hail","2026-03-27"
"Cash-PAYMENT-JURIMALL/75523","Cash","2026-03-28","AlQurashi-KSA","4002","3002","2680.0","SAR","CashOth Mall Hail","2026-03-28"
"Cash-PAYMENT-JURIMALL/75558","Cash","2026-03-29","AlQurashi-KSA","4002","3002","2413.0","SAR","CashOth Mall Hail","2026-03-29"
"Cash-PAYMENT-JURIMALL/73302 REFUND","Cash","2026-03-30","AlQurashi-KSA","4002","3002","913.0","SAR","CashOth Mall Hail","2026-03-30"
"Cash-PAYMENT-JURIMALL/75618","Cash","2026-03-31","AlQurashi-KSA","4002","3002","1206.0","SAR","CashOth Mall Hail","2026-03-31"
