"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Master-BLKU-0008003","Master","2026-03-05","AlQurashi-KSA","4002","3002","958.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-05"
"Master-BLKU-0008004","Master","2026-03-06","AlQurashi-KSA","4002","3002","1822.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-06"
"Master-BLKU-0008005","Master","2026-03-07","AlQurashi-KSA","4002","3002","264.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-07"
"Master-BLKU-0008006","Master","2026-03-08","AlQurashi-KSA","4002","3002","669.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-08"
"Master-BLKU-0008007","Master","2026-03-09","AlQurashi-KSA","4002","3002","222.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-09"
"Master-PAYMENT-JURIMALL/73747","Master","2026-03-12","AlQurashi-KSA","4002","3002","425.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-12"
"Master-PAYMENT-JURIMALL/73920","Master","2026-03-13","AlQurashi-KSA","4002","3002","345.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-13"
"Master-PAYMENT-JURIMALL/74145","Master","2026-03-14","AlQurashi-KSA","4002","3002","1037.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-14"
"Master-PAYMENT-JURIMALL/74328","Master","2026-03-15","AlQurashi-KSA","4002","3002","735.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-15"
"Master-PAYMENT-JURIMALL/74524","Master","2026-03-16","AlQurashi-KSA","4002","3002","432.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-16"
"Master-PAYMENT-JURIMALL/74753","Master","2026-03-17","AlQurashi-KSA","4002","3002","604.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-17"
"Master-PAYMENT-JURIMALL/74870","Master","2026-03-18","AlQurashi-KSA","4002","3002","523.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-18"
"Master-PAYMENT-JURIMALL/75076","Master","2026-03-19","AlQurashi-KSA","4002","3002","1259.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-19"
"Master-PAYMENT-JURIMALL/75142","Master","2026-03-20","AlQurashi-KSA","4002","3002","788.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-20"
"Master-PAYMENT-JURIMALL/75228","Master","2026-03-22","AlQurashi-KSA","4002","3002","798.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-22"
"Master-PAYMENT-JURIMALL/75269","Master","2026-03-23","AlQurashi-KSA","4002","3002","741.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-23"
"Master-PAYMENT-JURIMALL/75316","Master","2026-03-24","AlQurashi-KSA","4002","3002","861.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-24"
"Master-PAYMENT-JURIMALL/75406","Master","2026-03-26","AlQurashi-KSA","4002","3002","299.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-26"
"Master-PAYMENT-JURIMALL/75558","Master","2026-03-29","AlQurashi-KSA","4002","3002","299.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-29"
