"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"AMEX-BLKU-0000701","AMEX","2026-03-07","AlQurashi-KSA","2002","1002","499.0","SAR","0022555612014","2026-03-07"
"AMEX-BLKU-0000705","AMEX","2026-03-10","AlQurashi-KSA","2002","1002","369.0","SAR","0022555612014","2026-03-10"
"AMEX-BLKU-0000706","AMEX","2026-03-11","AlQurashi-KSA","2002","1002","199.0","SAR","0022555612014","2026-03-11"
"AMEX-BLKU-0000708","AMEX","2026-03-13","AlQurashi-KSA","2002","1002","1002.0","SAR","0022555612014","2026-03-13"
"AMEX-BLKU-0000710","AMEX","2026-03-15","AlQurashi-KSA","2002","1002","1395.0","SAR","0022555612014","2026-03-15"
"AMEX-BLKU-0000713","AMEX","2026-03-17","AlQurashi-KSA","2002","1002","719.0","SAR","0022555612014","2026-03-17"
"AMEX-BLKU-0000714","AMEX","2026-03-18","AlQurashi-KSA","2002","1002","2009.0","SAR","0022555612014","2026-03-18"
"AMEX-BLKU-0000715","AMEX","2026-03-19","AlQurashi-KSA","2002","1002","474.0","SAR","0022555612014","2026-03-19"
"AMEX-BLKU-0000716","AMEX","2026-03-20","AlQurashi-KSA","2002","1002","299.0","SAR","0022555612014","2026-03-20"
"AMEX-BLKU-0000718","AMEX","2026-03-22","AlQurashi-KSA","2002","1002","789.0","SAR","0022555612014","2026-03-22"
"AMEX-BLKU-0000723","AMEX","2026-03-27","AlQurashi-KSA","2002","1002","338.0","SAR","0022555612014","2026-03-27"
