"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Master-BLKU-0000698","Master","2026-03-05","AlQurashi-KSA","2002","1002","933.0","SAR","0022555612014","2026-03-05"
"Master-BLKU-0000700","Master","2026-03-06","AlQurashi-KSA","2002","1002","2081.0","SAR","0022555612014","2026-03-06"
"Master-BLKU-0000701","Master","2026-03-07","AlQurashi-KSA","2002","1002","6922.0","SAR","0022555612014","2026-03-07"
"Master-BLKU-0000702","Master","2026-03-08","AlQurashi-KSA","2002","1002","2014.0","SAR","0022555612014","2026-03-08"
"Master-BLKU-0000704","Master","2026-03-09","AlQurashi-KSA","2002","1002","5396.0","SAR","0022555612014","2026-03-09"
"Master-BLKU-0000705","Master","2026-03-10","AlQurashi-KSA","2002","1002","10609.0","SAR","0022555612014","2026-03-10"
"Master-BLKU-0000706","Master","2026-03-11","AlQurashi-KSA","2002","1002","7552.0","SAR","0022555612014","2026-03-11"
"Master-BLKU-0000707","Master","2026-03-12","AlQurashi-KSA","2002","1002","6980.0","SAR","0022555612014","2026-03-12"
"Master-BLKU-0000708","Master","2026-03-13","AlQurashi-KSA","2002","1002","9139.0","SAR","0022555612014","2026-03-13"
"Master-BLKU-0000709","Master","2026-03-14","AlQurashi-KSA","2002","1002","8967.0","SAR","0022555612014","2026-03-14"
"Master-BLKU-0000710","Master","2026-03-15","AlQurashi-KSA","2002","1002","13216.0","SAR","0022555612014","2026-03-15"
"Master-BLKU-0000712","Master","2026-03-16","AlQurashi-KSA","2002","1002","16616.0","SAR","0022555612014","2026-03-16"
"Master-BLKU-0000713","Master","2026-03-17","AlQurashi-KSA","2002","1002","25550.0","SAR","0022555612014","2026-03-17"
"Master-BLKU-0000714","Master","2026-03-18","AlQurashi-KSA","2002","1002","26084.0","SAR","0022555612014","2026-03-18"
"Master-BLKU-0000715","Master","2026-03-19","AlQurashi-KSA","2002","1002","32202.0","SAR","0022555612014","2026-03-19"
"Master-BLKU-0000716","Master","2026-03-20","AlQurashi-KSA","2002","1002","14735.0","SAR","0022555612014","2026-03-20"
"Master-BLKU-0000717","Master","2026-03-21","AlQurashi-KSA","2002","1002","7289.0","SAR","0022555612014","2026-03-21"
"Master-BLKU-0000718","Master","2026-03-22","AlQurashi-KSA","2002","1002","4375.0","SAR","0022555612014","2026-03-22"
"Master-BLKU-0000719","Master","2026-03-23","AlQurashi-KSA","2002","1002","4485.0","SAR","0022555612014","2026-03-23"
"Master-BLKU-0000720","Master","2026-03-24","AlQurashi-KSA","2002","1002","4408.0","SAR","0022555612014","2026-03-24"
"Master-BLKU-0000721","Master","2026-03-25","AlQurashi-KSA","2002","1002","2681.0","SAR","0022555612014","2026-03-25"
"Master-BLKU-0000722","Master","2026-03-26","AlQurashi-KSA","2002","1002","2987.0","SAR","0022555612014","2026-03-26"
"Master-BLKU-0000723","Master","2026-03-27","AlQurashi-KSA","2002","1002","808.0","SAR","0022555612014","2026-03-27"
"Master-BLKU-0000724","Master","2026-03-28","AlQurashi-KSA","2002","1002","3096.0","SAR","0022555612014","2026-03-28"
"Master-BLKU-0000725","Master","2026-03-29","AlQurashi-KSA","2002","1002","1857.0","SAR","0022555612014","2026-03-29"
"Master-BLKU-0000726","Master","2026-03-30","AlQurashi-KSA","2002","1002","1303.0","SAR","0022555612014","2026-03-30"
"Master-BLKU-0000727","Master","2026-03-31","AlQurashi-KSA","2002","1002","679.0","SAR","0022555612014","2026-03-31"
