"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Cash-PAYMENT-MAKABRAJ1/144517 REFUND","Cash","2026-03-06","AlQurashi-KSA","87036","73030","-299.0","SAR","Cash MAKABRAJ1","2026-03-06"
"Cash-PAYMENT-MAKAHMALL2/6876 REFUND","Cash","2026-03-16","AlQurashi-KSA","147023","132026","-149.0","SAR","Cash MAKAHMALL2","2026-03-16"
"Cash-PAYMENT-MAKAHMEJAZ/32545 REFUND","Cash","2026-03-05","AlQurashi-KSA","95014","82004","-199.0","SAR","Cash MAKAHMEJAZ","2026-03-05"
"Cash-PAYMENT-MAKAHMEJAZ/32733 REFUND","Cash","2026-03-09","AlQurashi-KSA","95014","82004","-399.0","SAR","Cash MAKAHMEJAZ","2026-03-09"
"Cash-BLKU-0000698","Cash","2026-03-05","AlQurashi-KSA","2002","1002","11599.0","SAR","CASH Makkah Mall Branch","2026-03-05"
"Cash-BLKU-0000700","Cash","2026-03-06","AlQurashi-KSA","2002","1002","8853.0","SAR","CASH Makkah Mall Branch","2026-03-06"
"Cash-BLKU-0000701","Cash","2026-03-07","AlQurashi-KSA","2002","1002","15270.0","SAR","CASH Makkah Mall Branch","2026-03-07"
"Cash-BLKU-0000702","Cash","2026-03-08","AlQurashi-KSA","2002","1002","15416.0","SAR","CASH Makkah Mall Branch","2026-03-08"
"Cash-BLKU-0000704","Cash","2026-03-09","AlQurashi-KSA","2002","1002","15450.0","SAR","CASH Makkah Mall Branch","2026-03-09"
"Cash-BLKU-0000705","Cash","2026-03-10","AlQurashi-KSA","2002","1002","24624.0","SAR","CASH Makkah Mall Branch","2026-03-10"
"Cash-BLKU-0000706","Cash","2026-03-11","AlQurashi-KSA","2002","1002","19852.0","SAR","CASH Makkah Mall Branch","2026-03-11"
"Cash-BLKU-0000707","Cash","2026-03-12","AlQurashi-KSA","2002","1002","30232.0","SAR","CASH Makkah Mall Branch","2026-03-12"
"Cash-BLKU-0000708","Cash","2026-03-13","AlQurashi-KSA","2002","1002","48882.0","SAR","CASH Makkah Mall Branch","2026-03-13"
"Cash-BLKU-0000709","Cash","2026-03-14","AlQurashi-KSA","2002","1002","31388.0","SAR","CASH Makkah Mall Branch","2026-03-14"
"Cash-BLKU-0000710","Cash","2026-03-15","AlQurashi-KSA","2002","1002","37386.0","SAR","CASH Makkah Mall Branch","2026-03-15"
"Cash-BLKU-0000712","Cash","2026-03-16","AlQurashi-KSA","2002","1002","39205.0","SAR","CASH Makkah Mall Branch","2026-03-16"
"Cash-BLKU-0000713","Cash","2026-03-17","AlQurashi-KSA","2002","1002","29995.0","SAR","CASH Makkah Mall Branch","2026-03-17"
"Cash-BLKU-0000714","Cash","2026-03-18","AlQurashi-KSA","2002","1002","40315.0","SAR","CASH Makkah Mall Branch","2026-03-18"
"Cash-BLKU-0000715","Cash","2026-03-19","AlQurashi-KSA","2002","1002","38606.0","SAR","CASH Makkah Mall Branch","2026-03-19"
"Cash-BLKU-0000716","Cash","2026-03-20","AlQurashi-KSA","2002","1002","26663.0","SAR","CASH Makkah Mall Branch","2026-03-20"
"Cash-BLKU-0000717","Cash","2026-03-21","AlQurashi-KSA","2002","1002","16093.0","SAR","CASH Makkah Mall Branch","2026-03-21"
"Cash-BLKU-0000718","Cash","2026-03-22","AlQurashi-KSA","2002","1002","15878.0","SAR","CASH Makkah Mall Branch","2026-03-22"
"Cash-BLKU-0000719","Cash","2026-03-23","AlQurashi-KSA","2002","1002","13874.0","SAR","CASH Makkah Mall Branch","2026-03-23"
"Cash-BLKU-0000720","Cash","2026-03-24","AlQurashi-KSA","2002","1002","23612.0","SAR","CASH Makkah Mall Branch","2026-03-24"
"Cash-BLKU-0000721","Cash","2026-03-25","AlQurashi-KSA","2002","1002","10147.0","SAR","CASH Makkah Mall Branch","2026-03-25"
"Cash-BLKU-0000722","Cash","2026-03-26","AlQurashi-KSA","2002","1002","27675.0","SAR","CASH Makkah Mall Branch","2026-03-26"
"Cash-BLKU-0000723","Cash","2026-03-27","AlQurashi-KSA","2002","1002","5883.0","SAR","CASH Makkah Mall Branch","2026-03-27"
"Cash-BLKU-0000724","Cash","2026-03-28","AlQurashi-KSA","2002","1002","21337.0","SAR","CASH Makkah Mall Branch","2026-03-28"
"Cash-BLKU-0000725","Cash","2026-03-29","AlQurashi-KSA","2002","1002","5090.0","SAR","CASH Makkah Mall Branch","2026-03-29"
"Cash-BLKU-0000726","Cash","2026-03-30","AlQurashi-KSA","2002","1002","15968.0","SAR","CASH Makkah Mall Branch","2026-03-30"
"Cash-BLKU-0000727","Cash","2026-03-31","AlQurashi-KSA","2002","1002","33107.0","SAR","CASH Makkah Mall Branch","2026-03-31"
