"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Mada-BLKU-0000698","Mada","2026-03-05","AlQurashi-KSA","2002","1002","18361.0","SAR","0022555612014","2026-03-05"
"Mada-BLKU-0000700","Mada","2026-03-06","AlQurashi-KSA","2002","1002","17123.0","SAR","0022555612014","2026-03-06"
"Mada-BLKU-0000701","Mada","2026-03-07","AlQurashi-KSA","2002","1002","17008.0","SAR","0022555612014","2026-03-07"
"Mada-BLKU-0000702","Mada","2026-03-08","AlQurashi-KSA","2002","1002","18093.0","SAR","0022555612014","2026-03-08"
"Mada-BLKU-0000704","Mada","2026-03-09","AlQurashi-KSA","2002","1002","16572.0","SAR","0022555612014","2026-03-09"
"Mada-BLKU-0000705","Mada","2026-03-10","AlQurashi-KSA","2002","1002","20971.0","SAR","0022555612014","2026-03-10"
"Mada-BLKU-0000706","Mada","2026-03-11","AlQurashi-KSA","2002","1002","18515.0","SAR","0022555612014","2026-03-11"
"Mada-BLKU-0000707","Mada","2026-03-12","AlQurashi-KSA","2002","1002","17442.0","SAR","0022555612014","2026-03-12"
"Mada-BLKU-0000708","Mada","2026-03-13","AlQurashi-KSA","2002","1002","12942.0","SAR","0022555612014","2026-03-13"
"Mada-BLKU-0000709","Mada","2026-03-14","AlQurashi-KSA","2002","1002","18165.0","SAR","0022555612014","2026-03-14"
"Mada-BLKU-0000710","Mada","2026-03-15","AlQurashi-KSA","2002","1002","22866.0","SAR","0022555612014","2026-03-15"
"Mada-BLKU-0000712","Mada","2026-03-16","AlQurashi-KSA","2002","1002","17603.0","SAR","0022555612014","2026-03-16"
"Mada-BLKU-0000713","Mada","2026-03-17","AlQurashi-KSA","2002","1002","22289.0","SAR","0022555612014","2026-03-17"
"Mada-BLKU-0000714","Mada","2026-03-18","AlQurashi-KSA","2002","1002","15780.0","SAR","0022555612014","2026-03-18"
"Mada-BLKU-0000715","Mada","2026-03-19","AlQurashi-KSA","2002","1002","21291.0","SAR","0022555612014","2026-03-19"
"Mada-BLKU-0000716","Mada","2026-03-20","AlQurashi-KSA","2002","1002","6427.0","SAR","0022555612014","2026-03-20"
"Mada-BLKU-0000717","Mada","2026-03-21","AlQurashi-KSA","2002","1002","3662.0","SAR","0022555612014","2026-03-21"
"Mada-BLKU-0000718","Mada","2026-03-22","AlQurashi-KSA","2002","1002","5803.0","SAR","0022555612014","2026-03-22"
"Mada-BLKU-0000719","Mada","2026-03-23","AlQurashi-KSA","2002","1002","3919.0","SAR","0022555612014","2026-03-23"
"Mada-BLKU-0000720","Mada","2026-03-24","AlQurashi-KSA","2002","1002","5056.0","SAR","0022555612014","2026-03-24"
"Mada-BLKU-0000721","Mada","2026-03-25","AlQurashi-KSA","2002","1002","9610.0","SAR","0022555612014","2026-03-25"
"Mada-BLKU-0000722","Mada","2026-03-26","AlQurashi-KSA","2002","1002","11733.0","SAR","0022555612014","2026-03-26"
"Mada-BLKU-0000723","Mada","2026-03-27","AlQurashi-KSA","2002","1002","3183.0","SAR","0022555612014","2026-03-27"
"Mada-BLKU-0000724","Mada","2026-03-28","AlQurashi-KSA","2002","1002","6953.0","SAR","0022555612014","2026-03-28"
"Mada-BLKU-0000725","Mada","2026-03-29","AlQurashi-KSA","2002","1002","3347.0","SAR","0022555612014","2026-03-29"
"Mada-BLKU-0000726","Mada","2026-03-30","AlQurashi-KSA","2002","1002","5552.0","SAR","0022555612014","2026-03-30"
"Mada-BLKU-0000727","Mada","2026-03-31","AlQurashi-KSA","2002","1002","3858.0","SAR","0022555612014","2026-03-31"
