"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Master-PAYMENT-MAKABRAJ1/158331 REFUND","Master","2026-03-26","AlQurashi-KSA","87036","73030","-160.0","SAR","157-95017321-MAKABRAJ1","2026-03-26"
"Master-BLKU-0006371","Master","2026-03-05","AlQurashi-KSA","123012","107003","5793.0","SAR","015795017321119","2026-03-05"
"Master-BLKU-0006372","Master","2026-03-06","AlQurashi-KSA","123012","107003","4219.0","SAR","015795017321119","2026-03-06"
"Master-BLKU-0006373","Master","2026-03-07","AlQurashi-KSA","123012","107003","11251.0","SAR","015795017321119","2026-03-07"
"Master-BLKU-0006374","Master","2026-03-08","AlQurashi-KSA","123012","107003","2909.0","SAR","015795017321119","2026-03-08"
"Master-BLKU-0006375","Master","2026-03-09","AlQurashi-KSA","123012","107003","6095.0","SAR","015795017321119","2026-03-09"
"Master-BLKU-0006376","Master","2026-03-10","AlQurashi-KSA","123012","107003","5765.0","SAR","015795017321119","2026-03-10"
"Master-BLKU-0006377","Master","2026-03-11","AlQurashi-KSA","123012","107003","8338.0","SAR","015795017321119","2026-03-11"
"Master-BLKU-0006378","Master","2026-03-12","AlQurashi-KSA","123012","107003","5087.0","SAR","015795017321119","2026-03-12"
"Master-BLKU-0006379","Master","2026-03-13","AlQurashi-KSA","123012","107003","2841.0","SAR","015795017321119","2026-03-13"
"Master-BLKU-0006380","Master","2026-03-14","AlQurashi-KSA","123012","107003","2611.0","SAR","015795017321119","2026-03-14"
"Master-BLKU-0006381","Master","2026-03-15","AlQurashi-KSA","123012","107003","4155.0","SAR","015795017321119","2026-03-15"
"Master-BLKU-0006382","Master","2026-03-16","AlQurashi-KSA","123012","107003","3250.0","SAR","015795017321119","2026-03-16"
"Master-BLKU-0006383","Master","2026-03-17","AlQurashi-KSA","123012","107003","6533.0","SAR","015795017321119","2026-03-17"
"Master-BLKU-0006384","Master","2026-03-18","AlQurashi-KSA","123012","107003","7060.0","SAR","015795017321119","2026-03-18"
"Master-BLKU-0006385","Master","2026-03-19","AlQurashi-KSA","123012","107003","8907.0","SAR","015795017321119","2026-03-19"
"Master-BLKU-0006386","Master","2026-03-20","AlQurashi-KSA","123012","107003","4320.0","SAR","015795017321119","2026-03-20"
"Master-BLKU-0006387","Master","2026-03-21","AlQurashi-KSA","123012","107003","10377.0","SAR","015795017321119","2026-03-21"
"Master-BLKU-0006388","Master","2026-03-22","AlQurashi-KSA","123012","107003","4565.0","SAR","015795017321119","2026-03-22"
"Master-BLKU-0006389","Master","2026-03-23","AlQurashi-KSA","123012","107003","3736.0","SAR","015795017321119","2026-03-23"
"Master-BLKU-0006390","Master","2026-03-24","AlQurashi-KSA","123012","107003","2420.0","SAR","015795017321119","2026-03-24"
"Master-BLKU-0006391","Master","2026-03-25","AlQurashi-KSA","123012","107003","3232.0","SAR","015795017321119","2026-03-25"
"Master-BLKU-0006393","Master","2026-03-26","AlQurashi-KSA","123012","107003","2084.0","SAR","015795017321119","2026-03-26"
"Master-BLKU-0006394","Master","2026-03-27","AlQurashi-KSA","123012","107003","2195.0","SAR","015795017321119","2026-03-27"
"Master-BLKU-0006395","Master","2026-03-28","AlQurashi-KSA","123012","107003","2166.0","SAR","015795017321119","2026-03-28"
"Master-BLKU-0006396","Master","2026-03-29","AlQurashi-KSA","123012","107003","8487.0","SAR","015795017321119","2026-03-29"
"Master-BLKU-0006397","Master","2026-03-30","AlQurashi-KSA","123012","107003","1393.0","SAR","015795017321119","2026-03-30"
"Master-BLKU-0006399","Master","2026-03-31","AlQurashi-KSA","123012","107003","2438.0","SAR","015795017321119","2026-03-31"
