"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Mada-BLKU-0006371","Mada","2026-03-05","AlQurashi-KSA","123012","107003","1270.0","SAR","015795017321119","2026-03-05"
"Mada-BLKU-0006372","Mada","2026-03-06","AlQurashi-KSA","123012","107003","3816.0","SAR","015795017321119","2026-03-06"
"Mada-BLKU-0006373","Mada","2026-03-07","AlQurashi-KSA","123012","107003","1021.0","SAR","015795017321119","2026-03-07"
"Mada-BLKU-0006374","Mada","2026-03-08","AlQurashi-KSA","123012","107003","667.0","SAR","015795017321119","2026-03-08"
"Mada-BLKU-0006375","Mada","2026-03-09","AlQurashi-KSA","123012","107003","1527.0","SAR","015795017321119","2026-03-09"
"Mada-BLKU-0006376","Mada","2026-03-10","AlQurashi-KSA","123012","107003","651.0","SAR","015795017321119","2026-03-10"
"Mada-BLKU-0006377","Mada","2026-03-11","AlQurashi-KSA","123012","107003","3359.0","SAR","015795017321119","2026-03-11"
"Mada-BLKU-0006378","Mada","2026-03-12","AlQurashi-KSA","123012","107003","1681.0","SAR","015795017321119","2026-03-12"
"Mada-BLKU-0006379","Mada","2026-03-13","AlQurashi-KSA","123012","107003","3134.0","SAR","015795017321119","2026-03-13"
"Mada-BLKU-0006380","Mada","2026-03-14","AlQurashi-KSA","123012","107003","4894.0","SAR","015795017321119","2026-03-14"
"Mada-BLKU-0006381","Mada","2026-03-15","AlQurashi-KSA","123012","107003","820.0","SAR","015795017321119","2026-03-15"
"Mada-BLKU-0006382","Mada","2026-03-16","AlQurashi-KSA","123012","107003","3497.0","SAR","015795017321119","2026-03-16"
"Mada-BLKU-0006383","Mada","2026-03-17","AlQurashi-KSA","123012","107003","2792.0","SAR","015795017321119","2026-03-17"
"Mada-BLKU-0006384","Mada","2026-03-18","AlQurashi-KSA","123012","107003","8152.0","SAR","015795017321119","2026-03-18"
"Mada-BLKU-0006385","Mada","2026-03-19","AlQurashi-KSA","123012","107003","3357.0","SAR","015795017321119","2026-03-19"
"Mada-BLKU-0006386","Mada","2026-03-20","AlQurashi-KSA","123012","107003","2830.0","SAR","015795017321119","2026-03-20"
"Mada-BLKU-0006387","Mada","2026-03-21","AlQurashi-KSA","123012","107003","2233.0","SAR","015795017321119","2026-03-21"
"Mada-BLKU-0006388","Mada","2026-03-22","AlQurashi-KSA","123012","107003","2421.0","SAR","015795017321119","2026-03-22"
"Mada-BLKU-0006389","Mada","2026-03-23","AlQurashi-KSA","123012","107003","791.0","SAR","015795017321119","2026-03-23"
"Mada-BLKU-0006390","Mada","2026-03-24","AlQurashi-KSA","123012","107003","1244.0","SAR","015795017321119","2026-03-24"
"Mada-BLKU-0006391","Mada","2026-03-25","AlQurashi-KSA","123012","107003","5642.0","SAR","015795017321119","2026-03-25"
"Mada-BLKU-0006393","Mada","2026-03-26","AlQurashi-KSA","123012","107003","765.0","SAR","015795017321119","2026-03-26"
"Mada-BLKU-0006394","Mada","2026-03-27","AlQurashi-KSA","123012","107003","5884.0","SAR","015795017321119","2026-03-27"
"Mada-BLKU-0006395","Mada","2026-03-28","AlQurashi-KSA","123012","107003","1058.0","SAR","015795017321119","2026-03-28"
"Mada-BLKU-0006396","Mada","2026-03-29","AlQurashi-KSA","123012","107003","1344.0","SAR","015795017321119","2026-03-29"
"Mada-BLKU-0006397","Mada","2026-03-30","AlQurashi-KSA","123012","107003","1647.0","SAR","015795017321119","2026-03-30"
"Mada-BLKU-0006399","Mada","2026-03-31","AlQurashi-KSA","123012","107003","996.0","SAR","015795017321119","2026-03-31"
