"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Visa-BLKU-0006371","Visa","2026-03-05","AlQurashi-KSA","123012","107003","8907.0","SAR","015795017321119","2026-03-05"
"Visa-BLKU-0006372","Visa","2026-03-06","AlQurashi-KSA","123012","107003","2607.0","SAR","015795017321119","2026-03-06"
"Visa-BLKU-0006373","Visa","2026-03-07","AlQurashi-KSA","123012","107003","9433.0","SAR","015795017321119","2026-03-07"
"Visa-BLKU-0006374","Visa","2026-03-08","AlQurashi-KSA","123012","107003","6632.0","SAR","015795017321119","2026-03-08"
"Visa-BLKU-0006375","Visa","2026-03-09","AlQurashi-KSA","123012","107003","7396.0","SAR","015795017321119","2026-03-09"
"Visa-BLKU-0006376","Visa","2026-03-10","AlQurashi-KSA","123012","107003","7161.0","SAR","015795017321119","2026-03-10"
"Visa-BLKU-0006377","Visa","2026-03-11","AlQurashi-KSA","123012","107003","5610.0","SAR","015795017321119","2026-03-11"
"Visa-BLKU-0006378","Visa","2026-03-12","AlQurashi-KSA","123012","107003","3336.0","SAR","015795017321119","2026-03-12"
"Visa-BLKU-0006379","Visa","2026-03-13","AlQurashi-KSA","123012","107003","3061.0","SAR","015795017321119","2026-03-13"
"Visa-BLKU-0006380","Visa","2026-03-14","AlQurashi-KSA","123012","107003","9114.0","SAR","015795017321119","2026-03-14"
"Visa-BLKU-0006381","Visa","2026-03-15","AlQurashi-KSA","123012","107003","4071.0","SAR","015795017321119","2026-03-15"
"Visa-BLKU-0006382","Visa","2026-03-16","AlQurashi-KSA","123012","107003","9428.0","SAR","015795017321119","2026-03-16"
"Visa-BLKU-0006383","Visa","2026-03-17","AlQurashi-KSA","123012","107003","8376.0","SAR","015795017321119","2026-03-17"
"Visa-BLKU-0006384","Visa","2026-03-18","AlQurashi-KSA","123012","107003","11674.0","SAR","015795017321119","2026-03-18"
"Visa-BLKU-0006385","Visa","2026-03-19","AlQurashi-KSA","123012","107003","10806.0","SAR","015795017321119","2026-03-19"
"Visa-BLKU-0006386","Visa","2026-03-20","AlQurashi-KSA","123012","107003","6297.0","SAR","015795017321119","2026-03-20"
"Visa-BLKU-0006387","Visa","2026-03-21","AlQurashi-KSA","123012","107003","4673.0","SAR","015795017321119","2026-03-21"
"Visa-BLKU-0006388","Visa","2026-03-22","AlQurashi-KSA","123012","107003","2725.0","SAR","015795017321119","2026-03-22"
"Visa-BLKU-0006389","Visa","2026-03-23","AlQurashi-KSA","123012","107003","2509.0","SAR","015795017321119","2026-03-23"
"Visa-BLKU-0006390","Visa","2026-03-24","AlQurashi-KSA","123012","107003","1292.0","SAR","015795017321119","2026-03-24"
"Visa-BLKU-0006391","Visa","2026-03-25","AlQurashi-KSA","123012","107003","5348.0","SAR","015795017321119","2026-03-25"
"Visa-BLKU-0006393","Visa","2026-03-26","AlQurashi-KSA","123012","107003","4536.0","SAR","015795017321119","2026-03-26"
"Visa-BLKU-0006394","Visa","2026-03-27","AlQurashi-KSA","123012","107003","3867.0","SAR","015795017321119","2026-03-27"
"Visa-BLKU-0006395","Visa","2026-03-28","AlQurashi-KSA","123012","107003","1935.0","SAR","015795017321119","2026-03-28"
"Visa-BLKU-0006396","Visa","2026-03-29","AlQurashi-KSA","123012","107003","5416.0","SAR","015795017321119","2026-03-29"
"Visa-BLKU-0006397","Visa","2026-03-30","AlQurashi-KSA","123012","107003","3579.0","SAR","015795017321119","2026-03-30"
"Visa-BLKU-0006399","Visa","2026-03-31","AlQurashi-KSA","123012","107003","3880.0","SAR","015795017321119","2026-03-31"
