"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Master-BLKU-0001947","Master","2026-03-05","AlQurashi-KSA","87034","73028","7241.0","SAR","157-95017321-MEDMVNPICK","2026-03-05"
"Master-BLKU-0001948","Master","2026-03-06","AlQurashi-KSA","87034","73028","9787.0","SAR","157-95017321-MEDMVNPICK","2026-03-06"
"Master-BLKU-0001949","Master","2026-03-07","AlQurashi-KSA","87034","73028","9309.0","SAR","157-95017321-MEDMVNPICK","2026-03-07"
"Master-BLKU-0001950","Master","2026-03-08","AlQurashi-KSA","87034","73028","15473.0","SAR","157-95017321-MEDMVNPICK","2026-03-08"
"Master-BLKU-0001951","Master","2026-03-09","AlQurashi-KSA","87034","73028","6639.0","SAR","157-95017321-MEDMVNPICK","2026-03-09"
"Master-BLKU-0001952","Master","2026-03-10","AlQurashi-KSA","87034","73028","9208.0","SAR","157-95017321-MEDMVNPICK","2026-03-10"
"Master-BLKU-0001953","Master","2026-03-11","AlQurashi-KSA","87034","73028","12782.0","SAR","157-95017321-MEDMVNPICK","2026-03-11"
"Master-BLKU-0001954","Master","2026-03-12","AlQurashi-KSA","87034","73028","8388.0","SAR","157-95017321-MEDMVNPICK","2026-03-12"
"Master-BLKU-0001955","Master","2026-03-13","AlQurashi-KSA","87034","73028","9208.0","SAR","157-95017321-MEDMVNPICK","2026-03-13"
"Master-BLKU-0001956","Master","2026-03-14","AlQurashi-KSA","87034","73028","7187.0","SAR","157-95017321-MEDMVNPICK","2026-03-14"
"Master-BLKU-0001957","Master","2026-03-15","AlQurashi-KSA","87034","73028","15347.0","SAR","157-95017321-MEDMVNPICK","2026-03-15"
"Master-BLKU-0001958","Master","2026-03-16","AlQurashi-KSA","87034","73028","12200.0","SAR","157-95017321-MEDMVNPICK","2026-03-16"
"Master-BLKU-0001959","Master","2026-03-17","AlQurashi-KSA","87034","73028","10278.0","SAR","157-95017321-MEDMVNPICK","2026-03-17"
"Master-BLKU-0001961","Master","2026-03-18","AlQurashi-KSA","87034","73028","10829.0","SAR","157-95017321-MEDMVNPICK","2026-03-18"
"Master-BLKU-0001962","Master","2026-03-19","AlQurashi-KSA","87034","73028","7680.0","SAR","157-95017321-MEDMVNPICK","2026-03-19"
"Master-BLKU-0001963","Master","2026-03-20","AlQurashi-KSA","87034","73028","3669.0","SAR","157-95017321-MEDMVNPICK","2026-03-20"
"Master-BLKU-0001964","Master","2026-03-21","AlQurashi-KSA","87034","73028","8268.0","SAR","157-95017321-MEDMVNPICK","2026-03-21"
"Master-BLKU-0001965","Master","2026-03-22","AlQurashi-KSA","87034","73028","5111.0","SAR","157-95017321-MEDMVNPICK","2026-03-22"
"Master-BLKU-0001966","Master","2026-03-23","AlQurashi-KSA","87034","73028","5123.0","SAR","157-95017321-MEDMVNPICK","2026-03-23"
"Master-BLKU-0001967","Master","2026-03-24","AlQurashi-KSA","87034","73028","6232.0","SAR","157-95017321-MEDMVNPICK","2026-03-24"
"Master-BLKU-0001968","Master","2026-03-25","AlQurashi-KSA","87034","73028","4134.0","SAR","157-95017321-MEDMVNPICK","2026-03-25"
"Master-BLKU-0001969","Master","2026-03-26","AlQurashi-KSA","87034","73028","6312.0","SAR","157-95017321-MEDMVNPICK","2026-03-26"
"Master-BLKU-0001970","Master","2026-03-27","AlQurashi-KSA","87034","73028","2829.0","SAR","157-95017321-MEDMVNPICK","2026-03-27"
"Master-BLKU-0001971","Master","2026-03-28","AlQurashi-KSA","87034","73028","4707.0","SAR","157-95017321-MEDMVNPICK","2026-03-28"
"Master-BLKU-0001972","Master","2026-03-29","AlQurashi-KSA","87034","73028","6374.0","SAR","157-95017321-MEDMVNPICK","2026-03-29"
"Master-BLKU-0001973","Master","2026-03-30","AlQurashi-KSA","87034","73028","4717.0","SAR","157-95017321-MEDMVNPICK","2026-03-30"
"Master-BLKU-0001974","Master","2026-03-31","AlQurashi-KSA","87034","73028","5938.0","SAR","157-95017321-MEDMVNPICK","2026-03-31"
