"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Visa-BLKU-0001947","Visa","2026-03-05","AlQurashi-KSA","87034","73028","4020.0","SAR","157-95017321-MEDMVNPICK","2026-03-05"
"Visa-BLKU-0001948","Visa","2026-03-06","AlQurashi-KSA","87034","73028","7580.0","SAR","157-95017321-MEDMVNPICK","2026-03-06"
"Visa-BLKU-0001949","Visa","2026-03-07","AlQurashi-KSA","87034","73028","14214.0","SAR","157-95017321-MEDMVNPICK","2026-03-07"
"Visa-BLKU-0001950","Visa","2026-03-08","AlQurashi-KSA","87034","73028","12343.0","SAR","157-95017321-MEDMVNPICK","2026-03-08"
"Visa-BLKU-0001951","Visa","2026-03-09","AlQurashi-KSA","87034","73028","6339.0","SAR","157-95017321-MEDMVNPICK","2026-03-09"
"Visa-BLKU-0001952","Visa","2026-03-10","AlQurashi-KSA","87034","73028","6176.0","SAR","157-95017321-MEDMVNPICK","2026-03-10"
"Visa-BLKU-0001953","Visa","2026-03-11","AlQurashi-KSA","87034","73028","14401.0","SAR","157-95017321-MEDMVNPICK","2026-03-11"
"Visa-BLKU-0001954","Visa","2026-03-12","AlQurashi-KSA","87034","73028","10674.0","SAR","157-95017321-MEDMVNPICK","2026-03-12"
"Visa-BLKU-0001955","Visa","2026-03-13","AlQurashi-KSA","87034","73028","14298.0","SAR","157-95017321-MEDMVNPICK","2026-03-13"
"Visa-BLKU-0001956","Visa","2026-03-14","AlQurashi-KSA","87034","73028","6905.0","SAR","157-95017321-MEDMVNPICK","2026-03-14"
"Visa-BLKU-0001957","Visa","2026-03-15","AlQurashi-KSA","87034","73028","9258.0","SAR","157-95017321-MEDMVNPICK","2026-03-15"
"Visa-BLKU-0001958","Visa","2026-03-16","AlQurashi-KSA","87034","73028","9677.0","SAR","157-95017321-MEDMVNPICK","2026-03-16"
"Visa-BLKU-0001959","Visa","2026-03-17","AlQurashi-KSA","87034","73028","9733.0","SAR","157-95017321-MEDMVNPICK","2026-03-17"
"Visa-BLKU-0001961","Visa","2026-03-18","AlQurashi-KSA","87034","73028","13490.0","SAR","157-95017321-MEDMVNPICK","2026-03-18"
"Visa-BLKU-0001962","Visa","2026-03-19","AlQurashi-KSA","87034","73028","11761.0","SAR","157-95017321-MEDMVNPICK","2026-03-19"
"Visa-BLKU-0001963","Visa","2026-03-20","AlQurashi-KSA","87034","73028","3840.0","SAR","157-95017321-MEDMVNPICK","2026-03-20"
"Visa-BLKU-0001964","Visa","2026-03-21","AlQurashi-KSA","87034","73028","9383.0","SAR","157-95017321-MEDMVNPICK","2026-03-21"
"Visa-BLKU-0001965","Visa","2026-03-22","AlQurashi-KSA","87034","73028","9390.0","SAR","157-95017321-MEDMVNPICK","2026-03-22"
"Visa-BLKU-0001966","Visa","2026-03-23","AlQurashi-KSA","87034","73028","6693.0","SAR","157-95017321-MEDMVNPICK","2026-03-23"
"Visa-BLKU-0001967","Visa","2026-03-24","AlQurashi-KSA","87034","73028","7104.0","SAR","157-95017321-MEDMVNPICK","2026-03-24"
"Visa-BLKU-0001968","Visa","2026-03-25","AlQurashi-KSA","87034","73028","3096.0","SAR","157-95017321-MEDMVNPICK","2026-03-25"
"Visa-BLKU-0001969","Visa","2026-03-26","AlQurashi-KSA","87034","73028","6188.0","SAR","157-95017321-MEDMVNPICK","2026-03-26"
"Visa-BLKU-0001970","Visa","2026-03-27","AlQurashi-KSA","87034","73028","5286.0","SAR","157-95017321-MEDMVNPICK","2026-03-27"
"Visa-BLKU-0001971","Visa","2026-03-28","AlQurashi-KSA","87034","73028","5273.0","SAR","157-95017321-MEDMVNPICK","2026-03-28"
"Visa-BLKU-0001972","Visa","2026-03-29","AlQurashi-KSA","87034","73028","4366.0","SAR","157-95017321-MEDMVNPICK","2026-03-29"
"Visa-BLKU-0001973","Visa","2026-03-30","AlQurashi-KSA","87034","73028","3835.0","SAR","157-95017321-MEDMVNPICK","2026-03-30"
"Visa-BLKU-0001974","Visa","2026-03-31","AlQurashi-KSA","87034","73028","2804.0","SAR","157-95017321-MEDMVNPICK","2026-03-31"
