"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Master-BLKU-0006400","Master","2026-03-05","AlQurashi-KSA","87024","73018","537.0","SAR","157-95017321-MEDSULTANA","2026-03-05"
"Master-BLKU-0006401","Master","2026-03-06","AlQurashi-KSA","87024","73018","357.0","SAR","157-95017321-MEDSULTANA","2026-03-06"
"Master-BLKU-0006402","Master","2026-03-07","AlQurashi-KSA","87024","73018","650.0","SAR","157-95017321-MEDSULTANA","2026-03-07"
"Master-BLKU-0006403","Master","2026-03-08","AlQurashi-KSA","87024","73018","357.0","SAR","157-95017321-MEDSULTANA","2026-03-08"
"Master-BLKU-0006404","Master","2026-03-09","AlQurashi-KSA","87024","73018","920.0","SAR","157-95017321-MEDSULTANA","2026-03-09"
"Master-BLKU-0006405","Master","2026-03-10","AlQurashi-KSA","87024","73018","1123.0","SAR","157-95017321-MEDSULTANA","2026-03-10"
"Master-BLKU-0006406","Master","2026-03-11","AlQurashi-KSA","87024","73018","869.0","SAR","157-95017321-MEDSULTANA","2026-03-11"
"Master-BLKU-0006407","Master","2026-03-12","AlQurashi-KSA","87024","73018","1916.0","SAR","157-95017321-MEDSULTANA","2026-03-12"
"Master-BLKU-0006408","Master","2026-03-13","AlQurashi-KSA","87024","73018","724.0","SAR","157-95017321-MEDSULTANA","2026-03-13"
"Master-BLKU-0006410","Master","2026-03-15","AlQurashi-KSA","87024","73018","4362.0","SAR","157-95017321-MEDSULTANA","2026-03-15"
"Master-BLKU-0006411","Master","2026-03-16","AlQurashi-KSA","87024","73018","931.0","SAR","157-95017321-MEDSULTANA","2026-03-16"
"Master-BLKU-0006412","Master","2026-03-17","AlQurashi-KSA","87024","73018","348.0","SAR","157-95017321-MEDSULTANA","2026-03-17"
"Master-BLKU-0006413","Master","2026-03-18","AlQurashi-KSA","87024","73018","1061.0","SAR","157-95017321-MEDSULTANA","2026-03-18"
"Master-BLKU-0006414","Master","2026-03-19","AlQurashi-KSA","87024","73018","1794.0","SAR","157-95017321-MEDSULTANA","2026-03-19"
"Master-BLKU-0006415","Master","2026-03-20","AlQurashi-KSA","87024","73018","1094.0","SAR","157-95017321-MEDSULTANA","2026-03-20"
"Master-BLKU-0006416","Master","2026-03-21","AlQurashi-KSA","87024","73018","907.0","SAR","157-95017321-MEDSULTANA","2026-03-21"
"Master-BLKU-0006417","Master","2026-03-22","AlQurashi-KSA","87024","73018","861.0","SAR","157-95017321-MEDSULTANA","2026-03-22"
"Master-BLKU-0006418","Master","2026-03-23","AlQurashi-KSA","87024","73018","299.0","SAR","157-95017321-MEDSULTANA","2026-03-23"
"Master-BLKU-0006419","Master","2026-03-24","AlQurashi-KSA","87024","73018","299.0","SAR","157-95017321-MEDSULTANA","2026-03-24"
"Master-BLKU-0006420","Master","2026-03-25","AlQurashi-KSA","87024","73018","2747.0","SAR","157-95017321-MEDSULTANA","2026-03-25"
"Master-BLKU-0006421","Master","2026-03-26","AlQurashi-KSA","87024","73018","433.0","SAR","157-95017321-MEDSULTANA","2026-03-26"
"Master-BLKU-0006422","Master","2026-03-27","AlQurashi-KSA","87024","73018","5185.0","SAR","157-95017321-MEDSULTANA","2026-03-27"
"Master-BLKU-0006423","Master","2026-03-28","AlQurashi-KSA","87024","73018","1013.0","SAR","157-95017321-MEDSULTANA","2026-03-28"
"Master-BLKU-0006424","Master","2026-03-29","AlQurashi-KSA","87024","73018","777.0","SAR","157-95017321-MEDSULTANA","2026-03-29"
"Master-BLKU-0006425","Master","2026-03-30","AlQurashi-KSA","87024","73018","1261.0","SAR","157-95017321-MEDSULTANA","2026-03-30"
"Master-BLKU-0006426","Master","2026-03-31","AlQurashi-KSA","87024","73018","2773.0","SAR","157-95017321-MEDSULTANA","2026-03-31"
