"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Visa-BLKU-0008225","Visa","2026-03-05","AlQurashi-KSA","131015","114014","1106.0","SAR","0157-95017321-MURJANJED","2026-03-05"
"Visa-BLKU-0008226","Visa","2026-03-06","AlQurashi-KSA","131015","114014","682.0","SAR","0157-95017321-MURJANJED","2026-03-06"
"Visa-BLKU-0008227","Visa","2026-03-07","AlQurashi-KSA","131015","114014","2507.0","SAR","0157-95017321-MURJANJED","2026-03-07"
"Visa-BLKU-0008229","Visa","2026-03-08","AlQurashi-KSA","131015","114014","1664.0","SAR","0157-95017321-MURJANJED","2026-03-08"
"Visa-BLKU-0008230","Visa","2026-03-09","AlQurashi-KSA","131015","114014","1705.0","SAR","0157-95017321-MURJANJED","2026-03-09"
"Visa-BLKU-0008232","Visa","2026-03-10","AlQurashi-KSA","131015","114014","2421.0","SAR","0157-95017321-MURJANJED","2026-03-10"
"Visa-BLKU-0008233","Visa","2026-03-11","AlQurashi-KSA","131015","114014","2240.0","SAR","0157-95017321-MURJANJED","2026-03-11"
"Visa-BLKU-0008234","Visa","2026-03-12","AlQurashi-KSA","131015","114014","2597.0","SAR","0157-95017321-MURJANJED","2026-03-12"
"Visa-BLKU-0008235","Visa","2026-03-13","AlQurashi-KSA","131015","114014","3305.0","SAR","0157-95017321-MURJANJED","2026-03-13"
"Visa-BLKU-0008237","Visa","2026-03-14","AlQurashi-KSA","131015","114014","2001.0","SAR","0157-95017321-MURJANJED","2026-03-14"
"Visa-BLKU-0008239","Visa","2026-03-15","AlQurashi-KSA","131015","114014","1989.0","SAR","0157-95017321-MURJANJED","2026-03-15"
"Visa-BLKU-0008240","Visa","2026-03-16","AlQurashi-KSA","131015","114014","2097.0","SAR","0157-95017321-MURJANJED","2026-03-16"
"Visa-BLKU-0008242","Visa","2026-03-17","AlQurashi-KSA","131015","114014","2371.0","SAR","0157-95017321-MURJANJED","2026-03-17"
"Visa-BLKU-0008243","Visa","2026-03-18","AlQurashi-KSA","131015","114014","4406.0","SAR","0157-95017321-MURJANJED","2026-03-18"
"Visa-BLKU-0008245","Visa","2026-03-19","AlQurashi-KSA","131015","114014","2058.0","SAR","0157-95017321-MURJANJED","2026-03-19"
"Visa-BLKU-0008246","Visa","2026-03-20","AlQurashi-KSA","131015","114014","728.0","SAR","0157-95017321-MURJANJED","2026-03-20"
"Visa-BLKU-0008247","Visa","2026-03-21","AlQurashi-KSA","131015","114014","1421.0","SAR","0157-95017321-MURJANJED","2026-03-21"
"Visa-BLKU-0008248","Visa","2026-03-22","AlQurashi-KSA","131015","114014","473.0","SAR","0157-95017321-MURJANJED","2026-03-22"
"Visa-BLKU-0008249","Visa","2026-03-23","AlQurashi-KSA","131015","114014","199.0","SAR","0157-95017321-MURJANJED","2026-03-23"
"Visa-BLKU-0008250","Visa","2026-03-24","AlQurashi-KSA","131015","114014","1562.0","SAR","0157-95017321-MURJANJED","2026-03-24"
"Visa-BLKU-0008252","Visa","2026-03-25","AlQurashi-KSA","131015","114014","710.0","SAR","0157-95017321-MURJANJED","2026-03-25"
"Visa-BLKU-0008253","Visa","2026-03-26","AlQurashi-KSA","131015","114014","442.0","SAR","0157-95017321-MURJANJED","2026-03-26"
"Visa-BLKU-0008254","Visa","2026-03-27","AlQurashi-KSA","131015","114014","283.0","SAR","0157-95017321-MURJANJED","2026-03-27"
"Visa-BLKU-0008255","Visa","2026-03-28","AlQurashi-KSA","131015","114014","717.0","SAR","0157-95017321-MURJANJED","2026-03-28"
"Visa-BLKU-0008257","Visa","2026-03-30","AlQurashi-KSA","131015","114014","2081.0","SAR","0157-95017321-MURJANJED","2026-03-30"
"Visa-BLKU-0008258","Visa","2026-03-31","AlQurashi-KSA","131015","114014","149.0","SAR","0157-95017321-MURJANJED","2026-03-31"
