"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Cash-BLKU-0006513","Cash","2026-03-05","AlQurashi-KSA","95015","82005","910.0","SAR","Cash NAJKINGROD","2026-03-05"
"Cash-BLKU-0006514","Cash","2026-03-06","AlQurashi-KSA","95015","82005","698.0","SAR","Cash NAJKINGROD","2026-03-06"
"Cash-BLKU-0006515","Cash","2026-03-07","AlQurashi-KSA","95015","82005","1174.0","SAR","Cash NAJKINGROD","2026-03-07"
"Cash-BLKU-0006516","Cash","2026-03-08","AlQurashi-KSA","95015","82005","864.0","SAR","Cash NAJKINGROD","2026-03-08"
"Cash-BLKU-0006517","Cash","2026-03-09","AlQurashi-KSA","95015","82005","1338.0","SAR","Cash NAJKINGROD","2026-03-09"
"Cash-BLKU-0006518","Cash","2026-03-10","AlQurashi-KSA","95015","82005","1239.0","SAR","Cash NAJKINGROD","2026-03-10"
"Cash-BLKU-0006519","Cash","2026-03-11","AlQurashi-KSA","95015","82005","565.0","SAR","Cash NAJKINGROD","2026-03-11"
"Cash-BLKU-0006520","Cash","2026-03-12","AlQurashi-KSA","95015","82005","566.0","SAR","Cash NAJKINGROD","2026-03-12"
"Cash-BLKU-0006521","Cash","2026-03-13","AlQurashi-KSA","95015","82005","2966.0","SAR","Cash NAJKINGROD","2026-03-13"
"Cash-BLKU-0006522","Cash","2026-03-14","AlQurashi-KSA","95015","82005","1584.0","SAR","Cash NAJKINGROD","2026-03-14"
"Cash-BLKU-0006523","Cash","2026-03-15","AlQurashi-KSA","95015","82005","579.0","SAR","Cash NAJKINGROD","2026-03-15"
"Cash-BLKU-0006524","Cash","2026-03-16","AlQurashi-KSA","95015","82005","1845.0","SAR","Cash NAJKINGROD","2026-03-16"
"Cash-BLKU-0006525","Cash","2026-03-17","AlQurashi-KSA","95015","82005","9.0","SAR","Cash NAJKINGROD","2026-03-17"
"Cash-BLKU-0006526","Cash","2026-03-18","AlQurashi-KSA","95015","82005","2720.0","SAR","Cash NAJKINGROD","2026-03-18"
"Cash-BLKU-0006527","Cash","2026-03-19","AlQurashi-KSA","95015","82005","3029.0","SAR","Cash NAJKINGROD","2026-03-19"
"Cash-BLKU-0006528","Cash","2026-03-20","AlQurashi-KSA","95015","82005","2291.0","SAR","Cash NAJKINGROD","2026-03-20"
"Cash-BLKU-0006529","Cash","2026-03-21","AlQurashi-KSA","95015","82005","451.0","SAR","Cash NAJKINGROD","2026-03-21"
"Cash-BLKU-0006530","Cash","2026-03-22","AlQurashi-KSA","95015","82005","399.0","SAR","Cash NAJKINGROD","2026-03-22"
"Cash-BLKU-0006531","Cash","2026-03-23","AlQurashi-KSA","95015","82005","300.0","SAR","Cash NAJKINGROD","2026-03-23"
"Cash-BLKU-0006532","Cash","2026-03-24","AlQurashi-KSA","95015","82005","364.0","SAR","Cash NAJKINGROD","2026-03-24"
"Cash-BLKU-0006533","Cash","2026-03-25","AlQurashi-KSA","95015","82005","366.0","SAR","Cash NAJKINGROD","2026-03-25"
"Cash-BLKU-0006534","Cash","2026-03-26","AlQurashi-KSA","95015","82005","451.0","SAR","Cash NAJKINGROD","2026-03-26"
"Cash-BLKU-0006536","Cash","2026-03-28","AlQurashi-KSA","95015","82005","967.0","SAR","Cash NAJKINGROD","2026-03-28"
"Cash-BLKU-0006537","Cash","2026-03-29","AlQurashi-KSA","95015","82005","630.0","SAR","Cash NAJKINGROD","2026-03-29"
"Cash-BLKU-0006538","Cash","2026-03-30","AlQurashi-KSA","95015","82005","126.0","SAR","Cash NAJKINGROD","2026-03-30"
"Cash-BLKU-0006539","Cash","2026-03-31","AlQurashi-KSA","95015","82005","100.0","SAR","Cash NAJKINGROD","2026-03-31"
