"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Mada-BLKU-0006513","Mada","2026-03-05","AlQurashi-KSA","95015","82005","3692.0","SAR","157-95017321-NAJKINGROD","2026-03-05"
"Mada-BLKU-0006514","Mada","2026-03-06","AlQurashi-KSA","95015","82005","5343.0","SAR","157-95017321-NAJKINGROD","2026-03-06"
"Mada-BLKU-0006515","Mada","2026-03-07","AlQurashi-KSA","95015","82005","2983.0","SAR","157-95017321-NAJKINGROD","2026-03-07"
"Mada-BLKU-0006516","Mada","2026-03-08","AlQurashi-KSA","95015","82005","4412.0","SAR","157-95017321-NAJKINGROD","2026-03-08"
"Mada-BLKU-0006517","Mada","2026-03-09","AlQurashi-KSA","95015","82005","4425.0","SAR","157-95017321-NAJKINGROD","2026-03-09"
"Mada-BLKU-0006518","Mada","2026-03-10","AlQurashi-KSA","95015","82005","1584.0","SAR","157-95017321-NAJKINGROD","2026-03-10"
"Mada-BLKU-0006519","Mada","2026-03-11","AlQurashi-KSA","95015","82005","3748.0","SAR","157-95017321-NAJKINGROD","2026-03-11"
"Mada-BLKU-0006520","Mada","2026-03-12","AlQurashi-KSA","95015","82005","3532.0","SAR","157-95017321-NAJKINGROD","2026-03-12"
"Mada-BLKU-0006521","Mada","2026-03-13","AlQurashi-KSA","95015","82005","4411.0","SAR","157-95017321-NAJKINGROD","2026-03-13"
"Mada-BLKU-0006522","Mada","2026-03-14","AlQurashi-KSA","95015","82005","4287.0","SAR","157-95017321-NAJKINGROD","2026-03-14"
"Mada-BLKU-0006523","Mada","2026-03-15","AlQurashi-KSA","95015","82005","5497.0","SAR","157-95017321-NAJKINGROD","2026-03-15"
"Mada-BLKU-0006524","Mada","2026-03-16","AlQurashi-KSA","95015","82005","3185.0","SAR","157-95017321-NAJKINGROD","2026-03-16"
"Mada-BLKU-0006525","Mada","2026-03-17","AlQurashi-KSA","95015","82005","6714.0","SAR","157-95017321-NAJKINGROD","2026-03-17"
"Mada-BLKU-0006526","Mada","2026-03-18","AlQurashi-KSA","95015","82005","6638.0","SAR","157-95017321-NAJKINGROD","2026-03-18"
"Mada-BLKU-0006527","Mada","2026-03-19","AlQurashi-KSA","95015","82005","8041.0","SAR","157-95017321-NAJKINGROD","2026-03-19"
"Mada-BLKU-0006528","Mada","2026-03-20","AlQurashi-KSA","95015","82005","3021.0","SAR","157-95017321-NAJKINGROD","2026-03-20"
"Mada-BLKU-0006529","Mada","2026-03-21","AlQurashi-KSA","95015","82005","994.0","SAR","157-95017321-NAJKINGROD","2026-03-21"
"Mada-BLKU-0006530","Mada","2026-03-22","AlQurashi-KSA","95015","82005","304.0","SAR","157-95017321-NAJKINGROD","2026-03-22"
"Mada-BLKU-0006531","Mada","2026-03-23","AlQurashi-KSA","95015","82005","321.0","SAR","157-95017321-NAJKINGROD","2026-03-23"
"Mada-BLKU-0006532","Mada","2026-03-24","AlQurashi-KSA","95015","82005","248.0","SAR","157-95017321-NAJKINGROD","2026-03-24"
"Mada-BLKU-0006533","Mada","2026-03-25","AlQurashi-KSA","95015","82005","50.0","SAR","157-95017321-NAJKINGROD","2026-03-25"
"Mada-BLKU-0006534","Mada","2026-03-26","AlQurashi-KSA","95015","82005","1898.0","SAR","157-95017321-NAJKINGROD","2026-03-26"
"Mada-BLKU-0006535","Mada","2026-03-27","AlQurashi-KSA","95015","82005","1047.0","SAR","157-95017321-NAJKINGROD","2026-03-27"
"Mada-BLKU-0006536","Mada","2026-03-28","AlQurashi-KSA","95015","82005","830.0","SAR","157-95017321-NAJKINGROD","2026-03-28"
"Mada-BLKU-0006537","Mada","2026-03-29","AlQurashi-KSA","95015","82005","857.0","SAR","157-95017321-NAJKINGROD","2026-03-29"
"Mada-BLKU-0006538","Mada","2026-03-30","AlQurashi-KSA","95015","82005","199.0","SAR","157-95017321-NAJKINGROD","2026-03-30"
"Mada-BLKU-0006539","Mada","2026-03-31","AlQurashi-KSA","95015","82005","865.0","SAR","157-95017321-NAJKINGROD","2026-03-31"
