"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Master-BLKU-0006514","Master","2026-03-06","AlQurashi-KSA","95015","82005","58.0","SAR","157-95017321-NAJKINGROD","2026-03-06"
"Master-BLKU-0006515","Master","2026-03-07","AlQurashi-KSA","95015","82005","298.0","SAR","157-95017321-NAJKINGROD","2026-03-07"
"Master-BLKU-0006517","Master","2026-03-09","AlQurashi-KSA","95015","82005","770.0","SAR","157-95017321-NAJKINGROD","2026-03-09"
"Master-BLKU-0006518","Master","2026-03-10","AlQurashi-KSA","95015","82005","149.0","SAR","157-95017321-NAJKINGROD","2026-03-10"
"Master-BLKU-0006519","Master","2026-03-11","AlQurashi-KSA","95015","82005","126.0","SAR","157-95017321-NAJKINGROD","2026-03-11"
"Master-BLKU-0006522","Master","2026-03-14","AlQurashi-KSA","95015","82005","486.0","SAR","157-95017321-NAJKINGROD","2026-03-14"
"Master-BLKU-0006524","Master","2026-03-16","AlQurashi-KSA","95015","82005","399.0","SAR","157-95017321-NAJKINGROD","2026-03-16"
"Master-BLKU-0006526","Master","2026-03-18","AlQurashi-KSA","95015","82005","1033.0","SAR","157-95017321-NAJKINGROD","2026-03-18"
"Master-BLKU-0006527","Master","2026-03-19","AlQurashi-KSA","95015","82005","222.0","SAR","157-95017321-NAJKINGROD","2026-03-19"
"Master-BLKU-0006528","Master","2026-03-20","AlQurashi-KSA","95015","82005","222.0","SAR","157-95017321-NAJKINGROD","2026-03-20"
"Master-BLKU-0006529","Master","2026-03-21","AlQurashi-KSA","95015","82005","149.0","SAR","157-95017321-NAJKINGROD","2026-03-21"
"Master-BLKU-0006531","Master","2026-03-23","AlQurashi-KSA","95015","82005","2093.0","SAR","157-95017321-NAJKINGROD","2026-03-23"
"Master-BLKU-0006533","Master","2026-03-25","AlQurashi-KSA","95015","82005","109.0","SAR","157-95017321-NAJKINGROD","2026-03-25"
"Master-BLKU-0006536","Master","2026-03-28","AlQurashi-KSA","95015","82005","195.0","SAR","157-95017321-NAJKINGROD","2026-03-28"
