"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Visa-BLKU-0006513","Visa","2026-03-05","AlQurashi-KSA","95015","82005","2622.0","SAR","157-95017321-NAJKINGROD","2026-03-05"
"Visa-BLKU-0006514","Visa","2026-03-06","AlQurashi-KSA","95015","82005","298.0","SAR","157-95017321-NAJKINGROD","2026-03-06"
"Visa-BLKU-0006515","Visa","2026-03-07","AlQurashi-KSA","95015","82005","393.0","SAR","157-95017321-NAJKINGROD","2026-03-07"
"Visa-BLKU-0006517","Visa","2026-03-09","AlQurashi-KSA","95015","82005","399.0","SAR","157-95017321-NAJKINGROD","2026-03-09"
"Visa-BLKU-0006518","Visa","2026-03-10","AlQurashi-KSA","95015","82005","0.0","SAR","157-95017321-NAJKINGROD","2026-03-10"
"Visa-BLKU-0006519","Visa","2026-03-11","AlQurashi-KSA","95015","82005","1173.0","SAR","157-95017321-NAJKINGROD","2026-03-11"
"Visa-BLKU-0006520","Visa","2026-03-12","AlQurashi-KSA","95015","82005","414.0","SAR","157-95017321-NAJKINGROD","2026-03-12"
"Visa-BLKU-0006521","Visa","2026-03-13","AlQurashi-KSA","95015","82005","250.0","SAR","157-95017321-NAJKINGROD","2026-03-13"
"Visa-BLKU-0006522","Visa","2026-03-14","AlQurashi-KSA","95015","82005","579.0","SAR","157-95017321-NAJKINGROD","2026-03-14"
"Visa-BLKU-0006523","Visa","2026-03-15","AlQurashi-KSA","95015","82005","1032.0","SAR","157-95017321-NAJKINGROD","2026-03-15"
"Visa-BLKU-0006524","Visa","2026-03-16","AlQurashi-KSA","95015","82005","548.0","SAR","157-95017321-NAJKINGROD","2026-03-16"
"Visa-BLKU-0006525","Visa","2026-03-17","AlQurashi-KSA","95015","82005","308.0","SAR","157-95017321-NAJKINGROD","2026-03-17"
"Visa-BLKU-0006526","Visa","2026-03-18","AlQurashi-KSA","95015","82005","886.0","SAR","157-95017321-NAJKINGROD","2026-03-18"
"Visa-BLKU-0006528","Visa","2026-03-20","AlQurashi-KSA","95015","82005","145.0","SAR","157-95017321-NAJKINGROD","2026-03-20"
"Visa-BLKU-0006529","Visa","2026-03-21","AlQurashi-KSA","95015","82005","400.0","SAR","157-95017321-NAJKINGROD","2026-03-21"
"Visa-BLKU-0006531","Visa","2026-03-23","AlQurashi-KSA","95015","82005","65.0","SAR","157-95017321-NAJKINGROD","2026-03-23"
"Visa-BLKU-0006532","Visa","2026-03-24","AlQurashi-KSA","95015","82005","448.0","SAR","157-95017321-NAJKINGROD","2026-03-24"
"Visa-BLKU-0006534","Visa","2026-03-26","AlQurashi-KSA","95015","82005","620.0","SAR","157-95017321-NAJKINGROD","2026-03-26"
"Visa-BLKU-0006536","Visa","2026-03-28","AlQurashi-KSA","95015","82005","666.0","SAR","157-95017321-NAJKINGROD","2026-03-28"
"Visa-BLKU-0006537","Visa","2026-03-29","AlQurashi-KSA","95015","82005","669.0","SAR","157-95017321-NAJKINGROD","2026-03-29"
"Visa-BLKU-0006538","Visa","2026-03-30","AlQurashi-KSA","95015","82005","543.0","SAR","157-95017321-NAJKINGROD","2026-03-30"
"Visa-BLKU-0006539","Visa","2026-03-31","AlQurashi-KSA","95015","82005","13658.0","SAR","157-95017321-NAJKINGROD","2026-03-31"
