"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Visa-BLKU-0001975","Visa","2026-03-05","AlQurashi-KSA","87016","73010","1004.0","SAR","157-95017321-NAJMELAGRO","2026-03-05"
"Visa-BLKU-0001976","Visa","2026-03-06","AlQurashi-KSA","87016","73010","710.0","SAR","157-95017321-NAJMELAGRO","2026-03-06"
"Visa-BLKU-0001977","Visa","2026-03-07","AlQurashi-KSA","87016","73010","-115.0","SAR","157-95017321-NAJMELAGRO","2026-03-07"
"Visa-BLKU-0001978","Visa","2026-03-08","AlQurashi-KSA","87016","73010","598.0","SAR","157-95017321-NAJMELAGRO","2026-03-08"
"Visa-BLKU-0001979","Visa","2026-03-09","AlQurashi-KSA","87016","73010","1141.0","SAR","157-95017321-NAJMELAGRO","2026-03-09"
"Visa-BLKU-0001980","Visa","2026-03-10","AlQurashi-KSA","87016","73010","924.0","SAR","157-95017321-NAJMELAGRO","2026-03-10"
"Visa-BLKU-0001981","Visa","2026-03-11","AlQurashi-KSA","87016","73010","2592.0","SAR","157-95017321-NAJMELAGRO","2026-03-11"
"Visa-BLKU-0001982","Visa","2026-03-12","AlQurashi-KSA","87016","73010","450.0","SAR","157-95017321-NAJMELAGRO","2026-03-12"
"Visa-BLKU-0001983","Visa","2026-03-13","AlQurashi-KSA","87016","73010","548.0","SAR","157-95017321-NAJMELAGRO","2026-03-13"
"Visa-BLKU-0001984","Visa","2026-03-14","AlQurashi-KSA","87016","73010","421.0","SAR","157-95017321-NAJMELAGRO","2026-03-14"
"Visa-BLKU-0001985","Visa","2026-03-15","AlQurashi-KSA","87016","73010","2138.0","SAR","157-95017321-NAJMELAGRO","2026-03-15"
"Visa-BLKU-0001986","Visa","2026-03-16","AlQurashi-KSA","87016","73010","1667.0","SAR","157-95017321-NAJMELAGRO","2026-03-16"
"Visa-BLKU-0001987","Visa","2026-03-17","AlQurashi-KSA","87016","73010","199.0","SAR","157-95017321-NAJMELAGRO","2026-03-17"
"Visa-BLKU-0001988","Visa","2026-03-18","AlQurashi-KSA","87016","73010","1907.0","SAR","157-95017321-NAJMELAGRO","2026-03-18"
"Visa-BLKU-0001989","Visa","2026-03-19","AlQurashi-KSA","87016","73010","802.0","SAR","157-95017321-NAJMELAGRO","2026-03-19"
"Visa-BLKU-0001992","Visa","2026-03-22","AlQurashi-KSA","87016","73010","250.0","SAR","157-95017321-NAJMELAGRO","2026-03-22"
"Visa-BLKU-0001993","Visa","2026-03-23","AlQurashi-KSA","87016","73010","525.0","SAR","157-95017321-NAJMELAGRO","2026-03-23"
"Visa-BLKU-0001997","Visa","2026-03-26","AlQurashi-KSA","87016","73010","199.0","SAR","157-95017321-NAJMELAGRO","2026-03-26"
"Visa-BLKU-0002000","Visa","2026-03-29","AlQurashi-KSA","87016","73010","195.0","SAR","157-95017321-NAJMELAGRO","2026-03-29"
"Visa-BLKU-0002002","Visa","2026-03-31","AlQurashi-KSA","87016","73010","748.0","SAR","157-95017321-NAJMELAGRO","2026-03-31"
