"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Mada-BLKU-0006547","Mada","2026-03-05","AlQurashi-KSA","124014","108009","5335.0","SAR","015795017321-NAJPARK","2026-03-05"
"Mada-BLKU-0006548","Mada","2026-03-06","AlQurashi-KSA","124014","108009","7743.0","SAR","015795017321-NAJPARK","2026-03-06"
"Mada-BLKU-0006549","Mada","2026-03-07","AlQurashi-KSA","124014","108009","8047.0","SAR","015795017321-NAJPARK","2026-03-07"
"Mada-BLKU-0006550","Mada","2026-03-08","AlQurashi-KSA","124014","108009","12434.0","SAR","015795017321-NAJPARK","2026-03-08"
"Mada-BLKU-0006551","Mada","2026-03-09","AlQurashi-KSA","124014","108009","8932.0","SAR","015795017321-NAJPARK","2026-03-09"
"Mada-BLKU-0006552","Mada","2026-03-10","AlQurashi-KSA","124014","108009","9082.0","SAR","015795017321-NAJPARK","2026-03-10"
"Mada-BLKU-0006553","Mada","2026-03-11","AlQurashi-KSA","124014","108009","9440.0","SAR","015795017321-NAJPARK","2026-03-11"
"Mada-BLKU-0006554","Mada","2026-03-12","AlQurashi-KSA","124014","108009","11241.0","SAR","015795017321-NAJPARK","2026-03-12"
"Mada-BLKU-0006555","Mada","2026-03-13","AlQurashi-KSA","124014","108009","11814.0","SAR","015795017321-NAJPARK","2026-03-13"
"Mada-BLKU-0006556","Mada","2026-03-14","AlQurashi-KSA","124014","108009","8858.0","SAR","015795017321-NAJPARK","2026-03-14"
"Mada-BLKU-0006557","Mada","2026-03-15","AlQurashi-KSA","124014","108009","10396.0","SAR","015795017321-NAJPARK","2026-03-15"
"Mada-BLKU-0006558","Mada","2026-03-16","AlQurashi-KSA","124014","108009","11272.0","SAR","015795017321-NAJPARK","2026-03-16"
"Mada-BLKU-0006559","Mada","2026-03-17","AlQurashi-KSA","124014","108009","14320.0","SAR","015795017321-NAJPARK","2026-03-17"
"Mada-BLKU-0006560","Mada","2026-03-18","AlQurashi-KSA","124014","108009","12944.0","SAR","015795017321-NAJPARK","2026-03-18"
"Mada-BLKU-0006561","Mada","2026-03-19","AlQurashi-KSA","124014","108009","10262.0","SAR","015795017321-NAJPARK","2026-03-19"
"Mada-BLKU-0006562","Mada","2026-03-20","AlQurashi-KSA","124014","108009","1678.0","SAR","015795017321-NAJPARK","2026-03-20"
"Mada-BLKU-0006563","Mada","2026-03-21","AlQurashi-KSA","124014","108009","1921.0","SAR","015795017321-NAJPARK","2026-03-21"
"Mada-BLKU-0006564","Mada","2026-03-22","AlQurashi-KSA","124014","108009","2281.0","SAR","015795017321-NAJPARK","2026-03-22"
"Mada-BLKU-0006565","Mada","2026-03-23","AlQurashi-KSA","124014","108009","2071.0","SAR","015795017321-NAJPARK","2026-03-23"
"Mada-BLKU-0006566","Mada","2026-03-24","AlQurashi-KSA","124014","108009","1673.0","SAR","015795017321-NAJPARK","2026-03-24"
"Mada-BLKU-0006567","Mada","2026-03-25","AlQurashi-KSA","124014","108009","1915.0","SAR","015795017321-NAJPARK","2026-03-25"
"Mada-BLKU-0006568","Mada","2026-03-26","AlQurashi-KSA","124014","108009","1918.0","SAR","015795017321-NAJPARK","2026-03-26"
"Mada-BLKU-0006569","Mada","2026-03-27","AlQurashi-KSA","124014","108009","2836.0","SAR","015795017321-NAJPARK","2026-03-27"
"Mada-BLKU-0006570","Mada","2026-03-28","AlQurashi-KSA","124014","108009","2861.0","SAR","015795017321-NAJPARK","2026-03-28"
"Mada-BLKU-0006571","Mada","2026-03-29","AlQurashi-KSA","124014","108009","1674.0","SAR","015795017321-NAJPARK","2026-03-29"
"Mada-BLKU-0006572","Mada","2026-03-30","AlQurashi-KSA","124014","108009","2390.0","SAR","015795017321-NAJPARK","2026-03-30"
"Mada-BLKU-0006573","Mada","2026-03-31","AlQurashi-KSA","124014","108009","1492.0","SAR","015795017321-NAJPARK","2026-03-31"
