"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Visa-BLKU-0004469","Visa","2026-03-05","AlQurashi-KSA","95017","82006","548.0","SAR","157-95017321-NAJRANPLZA","2026-03-05"
"Visa-BLKU-0004470","Visa","2026-03-06","AlQurashi-KSA","95017","82006","595.0","SAR","157-95017321-NAJRANPLZA","2026-03-06"
"Visa-BLKU-0004471","Visa","2026-03-07","AlQurashi-KSA","95017","82006","818.0","SAR","157-95017321-NAJRANPLZA","2026-03-07"
"Visa-BLKU-0004472","Visa","2026-03-08","AlQurashi-KSA","95017","82006","897.0","SAR","157-95017321-NAJRANPLZA","2026-03-08"
"Visa-BLKU-0004473","Visa","2026-03-09","AlQurashi-KSA","95017","82006","556.0","SAR","157-95017321-NAJRANPLZA","2026-03-09"
"Visa-BLKU-0004474","Visa","2026-03-10","AlQurashi-KSA","95017","82006","412.0","SAR","157-95017321-NAJRANPLZA","2026-03-10"
"Visa-BLKU-0004476","Visa","2026-03-12","AlQurashi-KSA","95017","82006","623.0","SAR","157-95017321-NAJRANPLZA","2026-03-12"
"Visa-BLKU-0004477","Visa","2026-03-13","AlQurashi-KSA","95017","82006","349.0","SAR","157-95017321-NAJRANPLZA","2026-03-13"
"Visa-BLKU-0004478","Visa","2026-03-14","AlQurashi-KSA","95017","82006","940.0","SAR","157-95017321-NAJRANPLZA","2026-03-14"
"Visa-BLKU-0004479","Visa","2026-03-15","AlQurashi-KSA","95017","82006","661.0","SAR","157-95017321-NAJRANPLZA","2026-03-15"
"Visa-BLKU-0004480","Visa","2026-03-16","AlQurashi-KSA","95017","82006","722.0","SAR","157-95017321-NAJRANPLZA","2026-03-16"
"Visa-BLKU-0004481","Visa","2026-03-17","AlQurashi-KSA","95017","82006","1402.0","SAR","157-95017321-NAJRANPLZA","2026-03-17"
"Visa-BLKU-0004482","Visa","2026-03-18","AlQurashi-KSA","95017","82006","3756.0","SAR","157-95017321-NAJRANPLZA","2026-03-18"
"Visa-BLKU-0004483","Visa","2026-03-19","AlQurashi-KSA","95017","82006","1822.0","SAR","157-95017321-NAJRANPLZA","2026-03-19"
"Visa-BLKU-0004484","Visa","2026-03-20","AlQurashi-KSA","95017","82006","265.0","SAR","157-95017321-NAJRANPLZA","2026-03-20"
"Visa-BLKU-0004485","Visa","2026-03-21","AlQurashi-KSA","95017","82006","421.0","SAR","157-95017321-NAJRANPLZA","2026-03-21"
"Visa-BLKU-0004486","Visa","2026-03-22","AlQurashi-KSA","95017","82006","394.0","SAR","157-95017321-NAJRANPLZA","2026-03-22"
"Visa-BLKU-0004487","Visa","2026-03-23","AlQurashi-KSA","95017","82006","150.0","SAR","157-95017321-NAJRANPLZA","2026-03-23"
"Visa-BLKU-0004488","Visa","2026-03-24","AlQurashi-KSA","95017","82006","398.0","SAR","157-95017321-NAJRANPLZA","2026-03-24"
"Visa-BLKU-0004490","Visa","2026-03-26","AlQurashi-KSA","95017","82006","126.0","SAR","157-95017321-NAJRANPLZA","2026-03-26"
"Visa-BLKU-0004491","Visa","2026-03-27","AlQurashi-KSA","95017","82006","150.0","SAR","157-95017321-NAJRANPLZA","2026-03-27"
"Visa-BLKU-0004492","Visa","2026-03-28","AlQurashi-KSA","95017","82006","359.0","SAR","157-95017321-NAJRANPLZA","2026-03-28"
