"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Cash-PAYMENT-MAKDARTWHD/25768 REFUND","Cash","2026-03-18","AlQurashi-KSA","155022","136027","-399.0","SAR","Cash MAKDARTWHD#","2026-03-18"
"Cash-BLKU-0002063","Cash","2026-03-05","AlQurashi-KSA","3003","2003","1366.0","SAR","CashOth Mall Hail","2026-03-05"
"Cash-BLKU-0002064","Cash","2026-03-06","AlQurashi-KSA","3003","2003","2304.0","SAR","CashOth Mall Hail","2026-03-06"
"Cash-BLKU-0002065","Cash","2026-03-07","AlQurashi-KSA","3003","2003","3945.0","SAR","CashOth Mall Hail","2026-03-07"
"Cash-BLKU-0002066","Cash","2026-03-08","AlQurashi-KSA","3003","2003","3051.0","SAR","CashOth Mall Hail","2026-03-08"
"Cash-BLKU-0002067","Cash","2026-03-09","AlQurashi-KSA","3003","2003","2599.0","SAR","CashOth Mall Hail","2026-03-09"
"Cash-BLKU-0002068","Cash","2026-03-10","AlQurashi-KSA","3003","2003","2826.0","SAR","CashOth Mall Hail","2026-03-10"
"Cash-BLKU-0002069","Cash","2026-03-11","AlQurashi-KSA","3003","2003","2431.0","SAR","CashOth Mall Hail","2026-03-11"
"Cash-BLKU-0002070","Cash","2026-03-12","AlQurashi-KSA","3003","2003","4229.0","SAR","CashOth Mall Hail","2026-03-12"
"Cash-BLKU-0002071","Cash","2026-03-13","AlQurashi-KSA","3003","2003","24281.0","SAR","CashOth Mall Hail","2026-03-13"
"Cash-BLKU-0002072","Cash","2026-03-14","AlQurashi-KSA","3003","2003","7963.0","SAR","CashOth Mall Hail","2026-03-14"
"Cash-BLKU-0002073","Cash","2026-03-15","AlQurashi-KSA","3003","2003","4576.0","SAR","CashOth Mall Hail","2026-03-15"
"Cash-BLKU-0002074","Cash","2026-03-16","AlQurashi-KSA","3003","2003","2994.0","SAR","CashOth Mall Hail","2026-03-16"
"Cash-BLKU-0002075","Cash","2026-03-17","AlQurashi-KSA","3003","2003","5022.0","SAR","CashOth Mall Hail","2026-03-17"
"Cash-BLKU-0002077","Cash","2026-03-18","AlQurashi-KSA","3003","2003","8737.0","SAR","CashOth Mall Hail","2026-03-18"
"Cash-BLKU-0002078","Cash","2026-03-19","AlQurashi-KSA","3003","2003","5225.0","SAR","CashOth Mall Hail","2026-03-19"
"Cash-BLKU-0002079","Cash","2026-03-20","AlQurashi-KSA","3003","2003","2368.0","SAR","CashOth Mall Hail","2026-03-20"
"Cash-BLKU-0002080","Cash","2026-03-21","AlQurashi-KSA","3003","2003","5798.0","SAR","CashOth Mall Hail","2026-03-21"
"Cash-BLKU-0002081","Cash","2026-03-22","AlQurashi-KSA","3003","2003","2513.0","SAR","CashOth Mall Hail","2026-03-22"
"Cash-BLKU-0002082","Cash","2026-03-23","AlQurashi-KSA","3003","2003","3187.0","SAR","CashOth Mall Hail","2026-03-23"
"Cash-BLKU-0002083","Cash","2026-03-24","AlQurashi-KSA","3003","2003","3257.0","SAR","CashOth Mall Hail","2026-03-24"
"Cash-BLKU-0002084","Cash","2026-03-25","AlQurashi-KSA","3003","2003","3289.0","SAR","CashOth Mall Hail","2026-03-25"
"Cash-BLKU-0002085","Cash","2026-03-26","AlQurashi-KSA","3003","2003","2702.0","SAR","CashOth Mall Hail","2026-03-26"
"Cash-BLKU-0002086","Cash","2026-03-27","AlQurashi-KSA","3003","2003","5000.0","SAR","CashOth Mall Hail","2026-03-27"
"Cash-BLKU-0002087","Cash","2026-03-28","AlQurashi-KSA","3003","2003","1564.0","SAR","CashOth Mall Hail","2026-03-28"
"Cash-BLKU-0002088","Cash","2026-03-29","AlQurashi-KSA","3003","2003","2798.0","SAR","CashOth Mall Hail","2026-03-29"
"Cash-BLKU-0002089","Cash","2026-03-30","AlQurashi-KSA","3003","2003","1654.0","SAR","CashOth Mall Hail","2026-03-30"
"Cash-BLKU-0002090","Cash","2026-03-31","AlQurashi-KSA","3003","2003","1370.0","SAR","CashOth Mall Hail","2026-03-31"
