"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Cash-BLKU-0002107","Cash","2026-03-05","AlQurashi-KSA","3008","2008","8159.0","SAR","CashOth Mall Hail","2026-03-05"
"Cash-BLKU-0002108","Cash","2026-03-06","AlQurashi-KSA","3008","2008","13943.0","SAR","CashOth Mall Hail","2026-03-06"
"Cash-BLKU-0002109","Cash","2026-03-07","AlQurashi-KSA","3008","2008","9946.0","SAR","CashOth Mall Hail","2026-03-07"
"Cash-BLKU-0002110","Cash","2026-03-08","AlQurashi-KSA","3008","2008","14912.0","SAR","CashOth Mall Hail","2026-03-08"
"Cash-BLKU-0002111","Cash","2026-03-09","AlQurashi-KSA","3008","2008","10200.0","SAR","CashOth Mall Hail","2026-03-09"
"Cash-BLKU-0002112","Cash","2026-03-10","AlQurashi-KSA","3008","2008","9130.0","SAR","CashOth Mall Hail","2026-03-10"
"Cash-BLKU-0002113","Cash","2026-03-11","AlQurashi-KSA","3008","2008","12651.0","SAR","CashOth Mall Hail","2026-03-11"
"Cash-BLKU-0002114","Cash","2026-03-12","AlQurashi-KSA","3008","2008","16057.0","SAR","CashOth Mall Hail","2026-03-12"
"Cash-BLKU-0002115","Cash","2026-03-13","AlQurashi-KSA","3008","2008","13007.0","SAR","CashOth Mall Hail","2026-03-13"
"Cash-BLKU-0002116","Cash","2026-03-14","AlQurashi-KSA","3008","2008","18565.0","SAR","CashOth Mall Hail","2026-03-14"
"Cash-BLKU-0002117","Cash","2026-03-15","AlQurashi-KSA","3008","2008","12760.0","SAR","CashOth Mall Hail","2026-03-15"
"Cash-BLKU-0002118","Cash","2026-03-16","AlQurashi-KSA","3008","2008","19037.0","SAR","CashOth Mall Hail","2026-03-16"
"Cash-BLKU-0002119","Cash","2026-03-17","AlQurashi-KSA","3008","2008","18505.0","SAR","CashOth Mall Hail","2026-03-17"
"Cash-BLKU-0002120","Cash","2026-03-18","AlQurashi-KSA","3008","2008","23962.0","SAR","CashOth Mall Hail","2026-03-18"
"Cash-BLKU-0002121","Cash","2026-03-19","AlQurashi-KSA","3008","2008","15056.0","SAR","CashOth Mall Hail","2026-03-19"
"Cash-BLKU-0002122","Cash","2026-03-20","AlQurashi-KSA","3008","2008","8502.0","SAR","CashOth Mall Hail","2026-03-20"
"Cash-BLKU-0002123","Cash","2026-03-21","AlQurashi-KSA","3008","2008","4045.0","SAR","CashOth Mall Hail","2026-03-21"
"Cash-BLKU-0002124","Cash","2026-03-22","AlQurashi-KSA","3008","2008","5713.0","SAR","CashOth Mall Hail","2026-03-22"
"Cash-BLKU-0002125","Cash","2026-03-23","AlQurashi-KSA","3008","2008","4530.0","SAR","CashOth Mall Hail","2026-03-23"
"Cash-BLKU-0002126","Cash","2026-03-24","AlQurashi-KSA","3008","2008","5335.0","SAR","CashOth Mall Hail","2026-03-24"
"Cash-BLKU-0002127","Cash","2026-03-25","AlQurashi-KSA","3008","2008","6069.0","SAR","CashOth Mall Hail","2026-03-25"
"Cash-BLKU-0002128","Cash","2026-03-26","AlQurashi-KSA","3008","2008","7279.0","SAR","CashOth Mall Hail","2026-03-26"
"Cash-BLKU-0002129","Cash","2026-03-27","AlQurashi-KSA","3008","2008","4330.0","SAR","CashOth Mall Hail","2026-03-27"
"Cash-BLKU-0002130","Cash","2026-03-28","AlQurashi-KSA","3008","2008","3293.0","SAR","CashOth Mall Hail","2026-03-28"
"Cash-BLKU-0002131","Cash","2026-03-29","AlQurashi-KSA","3008","2008","4890.0","SAR","CashOth Mall Hail","2026-03-29"
"Cash-BLKU-0002132","Cash","2026-03-30","AlQurashi-KSA","3008","2008","3980.0","SAR","CashOth Mall Hail","2026-03-30"
"Cash-BLKU-0002133","Cash","2026-03-31","AlQurashi-KSA","3008","2008","6709.0","SAR","CashOth Mall Hail","2026-03-31"
