"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Mada-BLKU-0002107","Mada","2026-03-05","AlQurashi-KSA","3008","2008","13299.0","SAR","1831441329940","2026-03-05"
"Mada-BLKU-0002108","Mada","2026-03-06","AlQurashi-KSA","3008","2008","16911.0","SAR","1831441329940","2026-03-06"
"Mada-BLKU-0002109","Mada","2026-03-07","AlQurashi-KSA","3008","2008","11055.0","SAR","1831441329940","2026-03-07"
"Mada-BLKU-0002110","Mada","2026-03-08","AlQurashi-KSA","3008","2008","13796.0","SAR","1831441329940","2026-03-08"
"Mada-BLKU-0002111","Mada","2026-03-09","AlQurashi-KSA","3008","2008","15299.0","SAR","1831441329940","2026-03-09"
"Mada-BLKU-0002112","Mada","2026-03-10","AlQurashi-KSA","3008","2008","18110.0","SAR","1831441329940","2026-03-10"
"Mada-BLKU-0002113","Mada","2026-03-11","AlQurashi-KSA","3008","2008","21242.0","SAR","1831441329940","2026-03-11"
"Mada-BLKU-0002114","Mada","2026-03-12","AlQurashi-KSA","3008","2008","15502.0","SAR","1831441329940","2026-03-12"
"Mada-BLKU-0002115","Mada","2026-03-13","AlQurashi-KSA","3008","2008","11681.0","SAR","1831441329940","2026-03-13"
"Mada-BLKU-0002116","Mada","2026-03-14","AlQurashi-KSA","3008","2008","15177.0","SAR","1831441329940","2026-03-14"
"Mada-BLKU-0002117","Mada","2026-03-15","AlQurashi-KSA","3008","2008","18199.0","SAR","1831441329940","2026-03-15"
"Mada-BLKU-0002118","Mada","2026-03-16","AlQurashi-KSA","3008","2008","19675.0","SAR","1831441329940","2026-03-16"
"Mada-BLKU-0002119","Mada","2026-03-17","AlQurashi-KSA","3008","2008","22086.0","SAR","1831441329940","2026-03-17"
"Mada-BLKU-0002120","Mada","2026-03-18","AlQurashi-KSA","3008","2008","17759.0","SAR","1831441329940","2026-03-18"
"Mada-BLKU-0002121","Mada","2026-03-19","AlQurashi-KSA","3008","2008","26725.0","SAR","1831441329940","2026-03-19"
"Mada-BLKU-0002122","Mada","2026-03-20","AlQurashi-KSA","3008","2008","7356.0","SAR","1831441329940","2026-03-20"
"Mada-BLKU-0002123","Mada","2026-03-21","AlQurashi-KSA","3008","2008","2002.0","SAR","1831441329940","2026-03-21"
"Mada-BLKU-0002124","Mada","2026-03-22","AlQurashi-KSA","3008","2008","3099.0","SAR","1831441329940","2026-03-22"
"Mada-BLKU-0002125","Mada","2026-03-23","AlQurashi-KSA","3008","2008","2814.0","SAR","1831441329940","2026-03-23"
"Mada-BLKU-0002126","Mada","2026-03-24","AlQurashi-KSA","3008","2008","5367.0","SAR","1831441329940","2026-03-24"
"Mada-BLKU-0002127","Mada","2026-03-25","AlQurashi-KSA","3008","2008","1260.0","SAR","1831441329940","2026-03-25"
"Mada-BLKU-0002128","Mada","2026-03-26","AlQurashi-KSA","3008","2008","5129.0","SAR","1831441329940","2026-03-26"
"Mada-BLKU-0002129","Mada","2026-03-27","AlQurashi-KSA","3008","2008","5147.0","SAR","1831441329940","2026-03-27"
"Mada-BLKU-0002130","Mada","2026-03-28","AlQurashi-KSA","3008","2008","4812.0","SAR","1831441329940","2026-03-28"
"Mada-BLKU-0002131","Mada","2026-03-29","AlQurashi-KSA","3008","2008","2868.0","SAR","1831441329940","2026-03-29"
"Mada-BLKU-0002132","Mada","2026-03-30","AlQurashi-KSA","3008","2008","4499.0","SAR","1831441329940","2026-03-30"
"Mada-BLKU-0002133","Mada","2026-03-31","AlQurashi-KSA","3008","2008","4219.0","SAR","1831441329940","2026-03-31"
