"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Master-BLKU-0002295","Master","2026-03-05","AlQurashi-KSA","83015","68005","1393.0","SAR","AL Jazeerah PRNCSLRD","2026-03-05"
"Master-BLKU-0002296","Master","2026-03-06","AlQurashi-KSA","83015","68005","1324.0","SAR","AL Jazeerah PRNCSLRD","2026-03-06"
"Master-BLKU-0002297","Master","2026-03-07","AlQurashi-KSA","83015","68005","6648.0","SAR","AL Jazeerah PRNCSLRD","2026-03-07"
"Master-BLKU-0002298","Master","2026-03-08","AlQurashi-KSA","83015","68005","6051.0","SAR","AL Jazeerah PRNCSLRD","2026-03-08"
"Master-BLKU-0002299","Master","2026-03-09","AlQurashi-KSA","83015","68005","26324.0","SAR","AL Jazeerah PRNCSLRD","2026-03-09"
"Master-BLKU-0002300","Master","2026-03-10","AlQurashi-KSA","83015","68005","25799.0","SAR","AL Jazeerah PRNCSLRD","2026-03-10"
"Master-BLKU-0002301","Master","2026-03-11","AlQurashi-KSA","83015","68005","3731.0","SAR","AL Jazeerah PRNCSLRD","2026-03-11"
"Master-BLKU-0002302","Master","2026-03-12","AlQurashi-KSA","83015","68005","385.0","SAR","AL Jazeerah PRNCSLRD","2026-03-12"
"Master-BLKU-0002303","Master","2026-03-13","AlQurashi-KSA","83015","68005","3457.0","SAR","AL Jazeerah PRNCSLRD","2026-03-13"
"Master-BLKU-0002304","Master","2026-03-14","AlQurashi-KSA","83015","68005","3963.0","SAR","AL Jazeerah PRNCSLRD","2026-03-14"
"Master-BLKU-0002305","Master","2026-03-15","AlQurashi-KSA","83015","68005","2195.0","SAR","AL Jazeerah PRNCSLRD","2026-03-15"
"Master-BLKU-0002307","Master","2026-03-16","AlQurashi-KSA","83015","68005","12511.0","SAR","AL Jazeerah PRNCSLRD","2026-03-16"
"Master-BLKU-0002308","Master","2026-03-17","AlQurashi-KSA","83015","68005","4413.0","SAR","AL Jazeerah PRNCSLRD","2026-03-17"
"Master-BLKU-0002309","Master","2026-03-18","AlQurashi-KSA","83015","68005","7499.0","SAR","AL Jazeerah PRNCSLRD","2026-03-18"
"Master-BLKU-0002311","Master","2026-03-19","AlQurashi-KSA","83015","68005","46709.0","SAR","AL Jazeerah PRNCSLRD","2026-03-19"
"Master-BLKU-0002312","Master","2026-03-20","AlQurashi-KSA","83015","68005","4739.0","SAR","AL Jazeerah PRNCSLRD","2026-03-20"
"Master-BLKU-0002313","Master","2026-03-21","AlQurashi-KSA","83015","68005","1548.0","SAR","AL Jazeerah PRNCSLRD","2026-03-21"
"Master-BLKU-0002314","Master","2026-03-22","AlQurashi-KSA","83015","68005","2507.0","SAR","AL Jazeerah PRNCSLRD","2026-03-22"
"Master-BLKU-0002315","Master","2026-03-23","AlQurashi-KSA","83015","68005","2929.0","SAR","AL Jazeerah PRNCSLRD","2026-03-23"
"Master-BLKU-0002316","Master","2026-03-24","AlQurashi-KSA","83015","68005","2310.0","SAR","AL Jazeerah PRNCSLRD","2026-03-24"
"Master-BLKU-0002317","Master","2026-03-25","AlQurashi-KSA","83015","68005","1258.0","SAR","AL Jazeerah PRNCSLRD","2026-03-25"
"Master-BLKU-0002318","Master","2026-03-26","AlQurashi-KSA","83015","68005","1018.0","SAR","AL Jazeerah PRNCSLRD","2026-03-26"
"Master-BLKU-0002319","Master","2026-03-27","AlQurashi-KSA","83015","68005","946.0","SAR","AL Jazeerah PRNCSLRD","2026-03-27"
"Master-BLKU-0002320","Master","2026-03-28","AlQurashi-KSA","83015","68005","983.0","SAR","AL Jazeerah PRNCSLRD","2026-03-28"
"Master-BLKU-0002322","Master","2026-03-29","AlQurashi-KSA","83015","68005","1941.0","SAR","AL Jazeerah PRNCSLRD","2026-03-29"
"Master-BLKU-0002325","Master","2026-03-30","AlQurashi-KSA","83015","68005","354.0","SAR","AL Jazeerah PRNCSLRD","2026-03-30"
"Master-BLKU-0002327","Master","2026-03-31","AlQurashi-KSA","83015","68005","771.0","SAR","AL Jazeerah PRNCSLRD","2026-03-31"
