"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Mada-BLKU-0002295","Mada","2026-03-05","AlQurashi-KSA","83015","68005","21724.0","SAR","AL Jazeerah PRNCSLRD","2026-03-05"
"Mada-BLKU-0002296","Mada","2026-03-06","AlQurashi-KSA","83015","68005","12774.0","SAR","AL Jazeerah PRNCSLRD","2026-03-06"
"Mada-BLKU-0002297","Mada","2026-03-07","AlQurashi-KSA","83015","68005","14989.0","SAR","AL Jazeerah PRNCSLRD","2026-03-07"
"Mada-BLKU-0002298","Mada","2026-03-08","AlQurashi-KSA","83015","68005","18161.0","SAR","AL Jazeerah PRNCSLRD","2026-03-08"
"Mada-BLKU-0002299","Mada","2026-03-09","AlQurashi-KSA","83015","68005","15773.0","SAR","AL Jazeerah PRNCSLRD","2026-03-09"
"Mada-BLKU-0002300","Mada","2026-03-10","AlQurashi-KSA","83015","68005","15759.0","SAR","AL Jazeerah PRNCSLRD","2026-03-10"
"Mada-BLKU-0002301","Mada","2026-03-11","AlQurashi-KSA","83015","68005","10650.0","SAR","AL Jazeerah PRNCSLRD","2026-03-11"
"Mada-BLKU-0002302","Mada","2026-03-12","AlQurashi-KSA","83015","68005","16674.0","SAR","AL Jazeerah PRNCSLRD","2026-03-12"
"Mada-BLKU-0002303","Mada","2026-03-13","AlQurashi-KSA","83015","68005","10982.0","SAR","AL Jazeerah PRNCSLRD","2026-03-13"
"Mada-BLKU-0002304","Mada","2026-03-14","AlQurashi-KSA","83015","68005","20491.0","SAR","AL Jazeerah PRNCSLRD","2026-03-14"
"Mada-BLKU-0002305","Mada","2026-03-15","AlQurashi-KSA","83015","68005","17370.0","SAR","AL Jazeerah PRNCSLRD","2026-03-15"
"Mada-BLKU-0002307","Mada","2026-03-16","AlQurashi-KSA","83015","68005","20787.0","SAR","AL Jazeerah PRNCSLRD","2026-03-16"
"Mada-BLKU-0002308","Mada","2026-03-17","AlQurashi-KSA","83015","68005","24285.0","SAR","AL Jazeerah PRNCSLRD","2026-03-17"
"Mada-BLKU-0002309","Mada","2026-03-18","AlQurashi-KSA","83015","68005","22451.0","SAR","AL Jazeerah PRNCSLRD","2026-03-18"
"Mada-BLKU-0002311","Mada","2026-03-19","AlQurashi-KSA","83015","68005","33649.0","SAR","AL Jazeerah PRNCSLRD","2026-03-19"
"Mada-BLKU-0002312","Mada","2026-03-20","AlQurashi-KSA","83015","68005","21709.0","SAR","AL Jazeerah PRNCSLRD","2026-03-20"
"Mada-BLKU-0002313","Mada","2026-03-21","AlQurashi-KSA","83015","68005","9238.0","SAR","AL Jazeerah PRNCSLRD","2026-03-21"
"Mada-BLKU-0002314","Mada","2026-03-22","AlQurashi-KSA","83015","68005","9253.0","SAR","AL Jazeerah PRNCSLRD","2026-03-22"
"Mada-BLKU-0002315","Mada","2026-03-23","AlQurashi-KSA","83015","68005","10023.0","SAR","AL Jazeerah PRNCSLRD","2026-03-23"
"Mada-BLKU-0002316","Mada","2026-03-24","AlQurashi-KSA","83015","68005","5398.0","SAR","AL Jazeerah PRNCSLRD","2026-03-24"
"Mada-BLKU-0002317","Mada","2026-03-25","AlQurashi-KSA","83015","68005","8741.0","SAR","AL Jazeerah PRNCSLRD","2026-03-25"
"Mada-BLKU-0002318","Mada","2026-03-26","AlQurashi-KSA","83015","68005","7562.0","SAR","AL Jazeerah PRNCSLRD","2026-03-26"
"Mada-BLKU-0002319","Mada","2026-03-27","AlQurashi-KSA","83015","68005","9515.0","SAR","AL Jazeerah PRNCSLRD","2026-03-27"
"Mada-BLKU-0002320","Mada","2026-03-28","AlQurashi-KSA","83015","68005","3688.0","SAR","AL Jazeerah PRNCSLRD","2026-03-28"
"Mada-BLKU-0002322","Mada","2026-03-29","AlQurashi-KSA","83015","68005","4397.0","SAR","AL Jazeerah PRNCSLRD","2026-03-29"
"Mada-BLKU-0002325","Mada","2026-03-30","AlQurashi-KSA","83015","68005","5572.0","SAR","AL Jazeerah PRNCSLRD","2026-03-30"
"Mada-BLKU-0002327","Mada","2026-03-31","AlQurashi-KSA","83015","68005","4888.0","SAR","AL Jazeerah PRNCSLRD","2026-03-31"
