"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Mada-BLKU-0004506","Mada","2026-03-05","AlQurashi-KSA","144013","127008","4812.0","SAR","015795017321-QATIFCC","2026-03-05"
"Mada-BLKU-0004507","Mada","2026-03-06","AlQurashi-KSA","144013","127008","7507.0","SAR","015795017321-QATIFCC","2026-03-06"
"Mada-BLKU-0004508","Mada","2026-03-07","AlQurashi-KSA","144013","127008","7997.0","SAR","015795017321-QATIFCC","2026-03-07"
"Mada-BLKU-0004510","Mada","2026-03-08","AlQurashi-KSA","144013","127008","5201.0","SAR","015795017321-QATIFCC","2026-03-08"
"Mada-BLKU-0004511","Mada","2026-03-09","AlQurashi-KSA","144013","127008","2262.0","SAR","015795017321-QATIFCC","2026-03-09"
"Mada-BLKU-0004512","Mada","2026-03-10","AlQurashi-KSA","144013","127008","2753.0","SAR","015795017321-QATIFCC","2026-03-10"
"Mada-BLKU-0004513","Mada","2026-03-11","AlQurashi-KSA","144013","127008","5417.0","SAR","015795017321-QATIFCC","2026-03-11"
"Mada-BLKU-0004514","Mada","2026-03-12","AlQurashi-KSA","144013","127008","5856.0","SAR","015795017321-QATIFCC","2026-03-12"
"Mada-BLKU-0004515","Mada","2026-03-13","AlQurashi-KSA","144013","127008","8110.0","SAR","015795017321-QATIFCC","2026-03-13"
"Mada-BLKU-0004516","Mada","2026-03-14","AlQurashi-KSA","144013","127008","13722.0","SAR","015795017321-QATIFCC","2026-03-14"
"Mada-BLKU-0004517","Mada","2026-03-15","AlQurashi-KSA","144013","127008","14071.0","SAR","015795017321-QATIFCC","2026-03-15"
"Mada-BLKU-0004518","Mada","2026-03-16","AlQurashi-KSA","144013","127008","18120.0","SAR","015795017321-QATIFCC","2026-03-16"
"Mada-BLKU-0004519","Mada","2026-03-17","AlQurashi-KSA","144013","127008","23414.0","SAR","015795017321-QATIFCC","2026-03-17"
"Mada-BLKU-0004520","Mada","2026-03-18","AlQurashi-KSA","144013","127008","25899.0","SAR","015795017321-QATIFCC","2026-03-18"
"Mada-BLKU-0004521","Mada","2026-03-19","AlQurashi-KSA","144013","127008","25358.0","SAR","015795017321-QATIFCC","2026-03-19"
"Mada-BLKU-0004522","Mada","2026-03-20","AlQurashi-KSA","144013","127008","19821.0","SAR","015795017321-QATIFCC","2026-03-20"
"Mada-BLKU-0004523","Mada","2026-03-21","AlQurashi-KSA","144013","127008","3664.0","SAR","015795017321-QATIFCC","2026-03-21"
"Mada-BLKU-0004524","Mada","2026-03-22","AlQurashi-KSA","144013","127008","4272.0","SAR","015795017321-QATIFCC","2026-03-22"
"Mada-BLKU-0004525","Mada","2026-03-23","AlQurashi-KSA","144013","127008","2931.0","SAR","015795017321-QATIFCC","2026-03-23"
"Mada-BLKU-0004526","Mada","2026-03-24","AlQurashi-KSA","144013","127008","3575.0","SAR","015795017321-QATIFCC","2026-03-24"
"Mada-BLKU-0004527","Mada","2026-03-25","AlQurashi-KSA","144013","127008","2218.0","SAR","015795017321-QATIFCC","2026-03-25"
"Mada-BLKU-0004528","Mada","2026-03-26","AlQurashi-KSA","144013","127008","3774.0","SAR","015795017321-QATIFCC","2026-03-26"
"Mada-BLKU-0004529","Mada","2026-03-27","AlQurashi-KSA","144013","127008","5840.0","SAR","015795017321-QATIFCC","2026-03-27"
"Mada-BLKU-0004530","Mada","2026-03-28","AlQurashi-KSA","144013","127008","4565.0","SAR","015795017321-QATIFCC","2026-03-28"
"Mada-BLKU-0004531","Mada","2026-03-29","AlQurashi-KSA","144013","127008","1904.0","SAR","015795017321-QATIFCC","2026-03-29"
"Mada-BLKU-0004532","Mada","2026-03-30","AlQurashi-KSA","144013","127008","2217.0","SAR","015795017321-QATIFCC","2026-03-30"
"Mada-BLKU-0004533","Mada","2026-03-31","AlQurashi-KSA","144013","127008","3176.0","SAR","015795017321-QATIFCC","2026-03-31"
