"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Master-BLKU-0004507","Master","2026-03-06","AlQurashi-KSA","144013","127008","199.0","SAR","015795017321-QATIFCC","2026-03-06"
"Master-BLKU-0004508","Master","2026-03-07","AlQurashi-KSA","144013","127008","519.0","SAR","015795017321-QATIFCC","2026-03-07"
"Master-BLKU-0004511","Master","2026-03-09","AlQurashi-KSA","144013","127008","178.0","SAR","015795017321-QATIFCC","2026-03-09"
"Master-BLKU-0004513","Master","2026-03-11","AlQurashi-KSA","144013","127008","222.0","SAR","015795017321-QATIFCC","2026-03-11"
"Master-BLKU-0004515","Master","2026-03-13","AlQurashi-KSA","144013","127008","598.0","SAR","015795017321-QATIFCC","2026-03-13"
"Master-BLKU-0004516","Master","2026-03-14","AlQurashi-KSA","144013","127008","1346.0","SAR","015795017321-QATIFCC","2026-03-14"
"Master-BLKU-0004517","Master","2026-03-15","AlQurashi-KSA","144013","127008","1524.0","SAR","015795017321-QATIFCC","2026-03-15"
"Master-BLKU-0004518","Master","2026-03-16","AlQurashi-KSA","144013","127008","1395.0","SAR","015795017321-QATIFCC","2026-03-16"
"Master-BLKU-0004519","Master","2026-03-17","AlQurashi-KSA","144013","127008","498.0","SAR","015795017321-QATIFCC","2026-03-17"
"Master-BLKU-0004520","Master","2026-03-18","AlQurashi-KSA","144013","127008","768.0","SAR","015795017321-QATIFCC","2026-03-18"
"Master-BLKU-0004521","Master","2026-03-19","AlQurashi-KSA","144013","127008","1326.0","SAR","015795017321-QATIFCC","2026-03-19"
"Master-BLKU-0004522","Master","2026-03-20","AlQurashi-KSA","144013","127008","3514.0","SAR","015795017321-QATIFCC","2026-03-20"
"Master-BLKU-0004523","Master","2026-03-21","AlQurashi-KSA","144013","127008","1118.0","SAR","015795017321-QATIFCC","2026-03-21"
"Master-BLKU-0004524","Master","2026-03-22","AlQurashi-KSA","144013","127008","556.0","SAR","015795017321-QATIFCC","2026-03-22"
"Master-BLKU-0004525","Master","2026-03-23","AlQurashi-KSA","144013","127008","446.0","SAR","015795017321-QATIFCC","2026-03-23"
"Master-BLKU-0004527","Master","2026-03-25","AlQurashi-KSA","144013","127008","85.0","SAR","015795017321-QATIFCC","2026-03-25"
"Master-BLKU-0004528","Master","2026-03-26","AlQurashi-KSA","144013","127008","689.0","SAR","015795017321-QATIFCC","2026-03-26"
"Master-BLKU-0004530","Master","2026-03-28","AlQurashi-KSA","144013","127008","995.0","SAR","015795017321-QATIFCC","2026-03-28"
"Master-BLKU-0004533","Master","2026-03-31","AlQurashi-KSA","144013","127008","348.0","SAR","015795017321-QATIFCC","2026-03-31"
