"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Cash-PAYMENT-NAKHDMM/71084 REFUND","Cash","2026-03-08","AlQurashi-KSA","68021","49013","-230.0","SAR","CashNAKHDMM","2026-03-08"
"Cash-BLKU-0004506","Cash","2026-03-05","AlQurashi-KSA","144013","127008","1499.0","SAR","Cash QATIFCC","2026-03-05"
"Cash-BLKU-0004507","Cash","2026-03-06","AlQurashi-KSA","144013","127008","2492.0","SAR","Cash QATIFCC","2026-03-06"
"Cash-BLKU-0004508","Cash","2026-03-07","AlQurashi-KSA","144013","127008","2705.0","SAR","Cash QATIFCC","2026-03-07"
"Cash-BLKU-0004510","Cash","2026-03-08","AlQurashi-KSA","144013","127008","1096.0","SAR","Cash QATIFCC","2026-03-08"
"Cash-BLKU-0004511","Cash","2026-03-09","AlQurashi-KSA","144013","127008","1481.0","SAR","Cash QATIFCC","2026-03-09"
"Cash-BLKU-0004512","Cash","2026-03-10","AlQurashi-KSA","144013","127008","597.0","SAR","Cash QATIFCC","2026-03-10"
"Cash-BLKU-0004513","Cash","2026-03-11","AlQurashi-KSA","144013","127008","996.0","SAR","Cash QATIFCC","2026-03-11"
"Cash-BLKU-0004514","Cash","2026-03-12","AlQurashi-KSA","144013","127008","1871.0","SAR","Cash QATIFCC","2026-03-12"
"Cash-BLKU-0004515","Cash","2026-03-13","AlQurashi-KSA","144013","127008","3776.0","SAR","Cash QATIFCC","2026-03-13"
"Cash-BLKU-0004516","Cash","2026-03-14","AlQurashi-KSA","144013","127008","8935.0","SAR","Cash QATIFCC","2026-03-14"
"Cash-BLKU-0004517","Cash","2026-03-15","AlQurashi-KSA","144013","127008","5713.0","SAR","Cash QATIFCC","2026-03-15"
"Cash-BLKU-0004518","Cash","2026-03-16","AlQurashi-KSA","144013","127008","7399.0","SAR","Cash QATIFCC","2026-03-16"
"Cash-BLKU-0004519","Cash","2026-03-17","AlQurashi-KSA","144013","127008","6909.0","SAR","Cash QATIFCC","2026-03-17"
"Cash-BLKU-0004520","Cash","2026-03-18","AlQurashi-KSA","144013","127008","8941.0","SAR","Cash QATIFCC","2026-03-18"
"Cash-BLKU-0004521","Cash","2026-03-19","AlQurashi-KSA","144013","127008","5486.0","SAR","Cash QATIFCC","2026-03-19"
"Cash-BLKU-0004522","Cash","2026-03-20","AlQurashi-KSA","144013","127008","3581.0","SAR","Cash QATIFCC","2026-03-20"
"Cash-BLKU-0004523","Cash","2026-03-21","AlQurashi-KSA","144013","127008","1259.0","SAR","Cash QATIFCC","2026-03-21"
"Cash-BLKU-0004524","Cash","2026-03-22","AlQurashi-KSA","144013","127008","1281.0","SAR","Cash QATIFCC","2026-03-22"
"Cash-BLKU-0004525","Cash","2026-03-23","AlQurashi-KSA","144013","127008","1519.0","SAR","Cash QATIFCC","2026-03-23"
"Cash-BLKU-0004526","Cash","2026-03-24","AlQurashi-KSA","144013","127008","2339.0","SAR","Cash QATIFCC","2026-03-24"
"Cash-BLKU-0004527","Cash","2026-03-25","AlQurashi-KSA","144013","127008","1738.0","SAR","Cash QATIFCC","2026-03-25"
"Cash-BLKU-0004528","Cash","2026-03-26","AlQurashi-KSA","144013","127008","1452.0","SAR","Cash QATIFCC","2026-03-26"
"Cash-BLKU-0004529","Cash","2026-03-27","AlQurashi-KSA","144013","127008","858.0","SAR","Cash QATIFCC","2026-03-27"
"Cash-BLKU-0004530","Cash","2026-03-28","AlQurashi-KSA","144013","127008","2320.0","SAR","Cash QATIFCC","2026-03-28"
"Cash-BLKU-0004531","Cash","2026-03-29","AlQurashi-KSA","144013","127008","797.0","SAR","Cash QATIFCC","2026-03-29"
"Cash-BLKU-0004532","Cash","2026-03-30","AlQurashi-KSA","144013","127008","1175.0","SAR","Cash QATIFCC","2026-03-30"
"Cash-BLKU-0004533","Cash","2026-03-31","AlQurashi-KSA","144013","127008","586.0","SAR","Cash QATIFCC","2026-03-31"
"Cash-BLKU-0004537","Cash","2026-03-08","AlQurashi-KSA","139012","122003","-191.32","SAR","Cash QATIFCFRNT","2026-03-08"
"Cash-BLKU-0004551","Cash","2026-03-21","AlQurashi-KSA","139012","122003","-173.1","SAR","Cash QATIFCFRNT","2026-03-21"
