"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Master-BLKU-0002335","Master","2026-03-05","AlQurashi-KSA","87020","73014","299.0","SAR","157-95017321-QUNKYLPLZA","2026-03-05"
"Master-BLKU-0002337","Master","2026-03-07","AlQurashi-KSA","87020","73014","249.0","SAR","157-95017321-QUNKYLPLZA","2026-03-07"
"Master-BLKU-0002338","Master","2026-03-08","AlQurashi-KSA","87020","73014","299.0","SAR","157-95017321-QUNKYLPLZA","2026-03-08"
"Master-BLKU-0002339","Master","2026-03-09","AlQurashi-KSA","87020","73014","199.0","SAR","157-95017321-QUNKYLPLZA","2026-03-09"
"Master-BLKU-0002340","Master","2026-03-10","AlQurashi-KSA","87020","73014","299.0","SAR","157-95017321-QUNKYLPLZA","2026-03-10"
"Master-BLKU-0002341","Master","2026-03-11","AlQurashi-KSA","87020","73014","199.0","SAR","157-95017321-QUNKYLPLZA","2026-03-11"
"Master-BLKU-0002343","Master","2026-03-13","AlQurashi-KSA","87020","73014","116.0","SAR","157-95017321-QUNKYLPLZA","2026-03-13"
"Master-BLKU-0002344","Master","2026-03-14","AlQurashi-KSA","87020","73014","513.0","SAR","157-95017321-QUNKYLPLZA","2026-03-14"
"Master-BLKU-0002345","Master","2026-03-15","AlQurashi-KSA","87020","73014","199.0","SAR","157-95017321-QUNKYLPLZA","2026-03-15"
"Master-BLKU-0002346","Master","2026-03-16","AlQurashi-KSA","87020","73014","628.0","SAR","157-95017321-QUNKYLPLZA","2026-03-16"
"Master-BLKU-0002347","Master","2026-03-17","AlQurashi-KSA","87020","73014","85.0","SAR","157-95017321-QUNKYLPLZA","2026-03-17"
"Master-BLKU-0002348","Master","2026-03-18","AlQurashi-KSA","87020","73014","1041.0","SAR","157-95017321-QUNKYLPLZA","2026-03-18"
"Master-BLKU-0002349","Master","2026-03-19","AlQurashi-KSA","87020","73014","597.0","SAR","157-95017321-QUNKYLPLZA","2026-03-19"
"Master-BLKU-0002350","Master","2026-03-20","AlQurashi-KSA","87020","73014","728.0","SAR","157-95017321-QUNKYLPLZA","2026-03-20"
"Master-BLKU-0002353","Master","2026-03-23","AlQurashi-KSA","87020","73014","224.0","SAR","157-95017321-QUNKYLPLZA","2026-03-23"
