"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Visa-BLKU-0002335","Visa","2026-03-05","AlQurashi-KSA","87020","73014","568.0","SAR","157-95017321-QUNKYLPLZA","2026-03-05"
"Visa-BLKU-0002336","Visa","2026-03-06","AlQurashi-KSA","87020","73014","797.0","SAR","157-95017321-QUNKYLPLZA","2026-03-06"
"Visa-BLKU-0002337","Visa","2026-03-07","AlQurashi-KSA","87020","73014","887.0","SAR","157-95017321-QUNKYLPLZA","2026-03-07"
"Visa-BLKU-0002338","Visa","2026-03-08","AlQurashi-KSA","87020","73014","1312.0","SAR","157-95017321-QUNKYLPLZA","2026-03-08"
"Visa-BLKU-0002339","Visa","2026-03-09","AlQurashi-KSA","87020","73014","538.0","SAR","157-95017321-QUNKYLPLZA","2026-03-09"
"Visa-BLKU-0002340","Visa","2026-03-10","AlQurashi-KSA","87020","73014","1035.0","SAR","157-95017321-QUNKYLPLZA","2026-03-10"
"Visa-BLKU-0002341","Visa","2026-03-11","AlQurashi-KSA","87020","73014","735.0","SAR","157-95017321-QUNKYLPLZA","2026-03-11"
"Visa-BLKU-0002342","Visa","2026-03-12","AlQurashi-KSA","87020","73014","1107.0","SAR","157-95017321-QUNKYLPLZA","2026-03-12"
"Visa-BLKU-0002343","Visa","2026-03-13","AlQurashi-KSA","87020","73014","573.0","SAR","157-95017321-QUNKYLPLZA","2026-03-13"
"Visa-BLKU-0002344","Visa","2026-03-14","AlQurashi-KSA","87020","73014","1397.0","SAR","157-95017321-QUNKYLPLZA","2026-03-14"
"Visa-BLKU-0002345","Visa","2026-03-15","AlQurashi-KSA","87020","73014","929.0","SAR","157-95017321-QUNKYLPLZA","2026-03-15"
"Visa-BLKU-0002346","Visa","2026-03-16","AlQurashi-KSA","87020","73014","1082.0","SAR","157-95017321-QUNKYLPLZA","2026-03-16"
"Visa-BLKU-0002347","Visa","2026-03-17","AlQurashi-KSA","87020","73014","1933.0","SAR","157-95017321-QUNKYLPLZA","2026-03-17"
"Visa-BLKU-0002348","Visa","2026-03-18","AlQurashi-KSA","87020","73014","1389.0","SAR","157-95017321-QUNKYLPLZA","2026-03-18"
"Visa-BLKU-0002349","Visa","2026-03-19","AlQurashi-KSA","87020","73014","1954.0","SAR","157-95017321-QUNKYLPLZA","2026-03-19"
"Visa-BLKU-0002350","Visa","2026-03-20","AlQurashi-KSA","87020","73014","1111.0","SAR","157-95017321-QUNKYLPLZA","2026-03-20"
"Visa-BLKU-0002351","Visa","2026-03-21","AlQurashi-KSA","87020","73014","571.0","SAR","157-95017321-QUNKYLPLZA","2026-03-21"
"Visa-BLKU-0002352","Visa","2026-03-22","AlQurashi-KSA","87020","73014","29.0","SAR","157-95017321-QUNKYLPLZA","2026-03-22"
"Visa-BLKU-0002353","Visa","2026-03-23","AlQurashi-KSA","87020","73014","498.0","SAR","157-95017321-QUNKYLPLZA","2026-03-23"
"Visa-BLKU-0002354","Visa","2026-03-24","AlQurashi-KSA","87020","73014","975.0","SAR","157-95017321-QUNKYLPLZA","2026-03-24"
"Visa-BLKU-0002356","Visa","2026-03-26","AlQurashi-KSA","87020","73014","58.0","SAR","157-95017321-QUNKYLPLZA","2026-03-26"
"Visa-BLKU-0002357","Visa","2026-03-27","AlQurashi-KSA","87020","73014","1344.0","SAR","157-95017321-QUNKYLPLZA","2026-03-27"
"Visa-BLKU-0002358","Visa","2026-03-28","AlQurashi-KSA","87020","73014","409.0","SAR","157-95017321-QUNKYLPLZA","2026-03-28"
"Visa-BLKU-0002359","Visa","2026-03-29","AlQurashi-KSA","87020","73014","298.0","SAR","157-95017321-QUNKYLPLZA","2026-03-29"
"Visa-BLKU-0002360","Visa","2026-03-30","AlQurashi-KSA","87020","73014","6598.0","SAR","157-95017321-QUNKYLPLZA","2026-03-30"
"Visa-BLKU-0002361","Visa","2026-03-31","AlQurashi-KSA","87020","73014","29.0","SAR","157-95017321-QUNKYLPLZA","2026-03-31"
