"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Master-BLKU-0002463","Master","2026-03-05","AlQurashi-KSA","68013","49005","250.0","SAR","015795017321051","2026-03-05"
"Master-BLKU-0002466","Master","2026-03-07","AlQurashi-KSA","68013","49005","521.0","SAR","015795017321051","2026-03-07"
"Master-BLKU-0002467","Master","2026-03-08","AlQurashi-KSA","68013","49005","146.0","SAR","015795017321051","2026-03-08"
"Master-BLKU-0002469","Master","2026-03-10","AlQurashi-KSA","68013","49005","299.0","SAR","015795017321051","2026-03-10"
"Master-BLKU-0002470","Master","2026-03-11","AlQurashi-KSA","68013","49005","222.0","SAR","015795017321051","2026-03-11"
"Master-BLKU-0002472","Master","2026-03-13","AlQurashi-KSA","68013","49005","357.0","SAR","015795017321051","2026-03-13"
"Master-BLKU-0002473","Master","2026-03-14","AlQurashi-KSA","68013","49005","525.0","SAR","015795017321051","2026-03-14"
"Master-BLKU-0002476","Master","2026-03-16","AlQurashi-KSA","68013","49005","1284.0","SAR","015795017321051","2026-03-16"
"Master-BLKU-0002479","Master","2026-03-18","AlQurashi-KSA","68013","49005","58.0","SAR","015795017321051","2026-03-18"
"Master-BLKU-0002481","Master","2026-03-19","AlQurashi-KSA","68013","49005","564.0","SAR","015795017321051","2026-03-19"
"Master-BLKU-0002482","Master","2026-03-20","AlQurashi-KSA","68013","49005","58.0","SAR","015795017321051","2026-03-20"
