"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"AMEX-BLKU-0002478","AMEX","2026-03-17","AlQurashi-KSA","68013","49005","0.0","SAR","015795017321051","2026-03-17"
"Cash-PAYMENT-ASEERGUNAIM/6107 REFUND","Cash","2026-03-17","AlQurashi-KSA","116015","100008","-399.0","SAR","Cash ASEERGUNAIM","2026-03-17"
"Cash-PAYMENT-KADI/56476 REFUND","Cash","2026-03-06","AlQurashi-KSA","4009","3009","-399.0","SAR","Cash KADI MALL","2026-03-06"
"Cash-BLKU-0002463","Cash","2026-03-05","AlQurashi-KSA","68013","49005","1042.0","SAR","CashRASHIDJZN","2026-03-05"
"Cash-BLKU-0002465","Cash","2026-03-06","AlQurashi-KSA","68013","49005","4500.0","SAR","CashRASHIDJZN","2026-03-06"
"Cash-BLKU-0002466","Cash","2026-03-07","AlQurashi-KSA","68013","49005","1423.0","SAR","CashRASHIDJZN","2026-03-07"
"Cash-BLKU-0002467","Cash","2026-03-08","AlQurashi-KSA","68013","49005","2165.0","SAR","CashRASHIDJZN","2026-03-08"
"Cash-BLKU-0002468","Cash","2026-03-09","AlQurashi-KSA","68013","49005","746.0","SAR","CashRASHIDJZN","2026-03-09"
"Cash-BLKU-0002469","Cash","2026-03-10","AlQurashi-KSA","68013","49005","2800.0","SAR","CashRASHIDJZN","2026-03-10"
"Cash-BLKU-0002470","Cash","2026-03-11","AlQurashi-KSA","68013","49005","1609.0","SAR","CashRASHIDJZN","2026-03-11"
"Cash-BLKU-0002471","Cash","2026-03-12","AlQurashi-KSA","68013","49005","6921.0","SAR","CashRASHIDJZN","2026-03-12"
"Cash-BLKU-0002472","Cash","2026-03-13","AlQurashi-KSA","68013","49005","3509.0","SAR","CashRASHIDJZN","2026-03-13"
"Cash-BLKU-0002473","Cash","2026-03-14","AlQurashi-KSA","68013","49005","2679.0","SAR","CashRASHIDJZN","2026-03-14"
"Cash-BLKU-0002474","Cash","2026-03-15","AlQurashi-KSA","68013","49005","4970.0","SAR","CashRASHIDJZN","2026-03-15"
"Cash-BLKU-0002476","Cash","2026-03-16","AlQurashi-KSA","68013","49005","3758.0","SAR","CashRASHIDJZN","2026-03-16"
"Cash-BLKU-0002478","Cash","2026-03-17","AlQurashi-KSA","68013","49005","4708.0","SAR","CashRASHIDJZN","2026-03-17"
"Cash-BLKU-0002479","Cash","2026-03-18","AlQurashi-KSA","68013","49005","5774.0","SAR","CashRASHIDJZN","2026-03-18"
"Cash-BLKU-0002481","Cash","2026-03-19","AlQurashi-KSA","68013","49005","5149.0","SAR","CashRASHIDJZN","2026-03-19"
"Cash-BLKU-0002482","Cash","2026-03-20","AlQurashi-KSA","68013","49005","1835.0","SAR","CashRASHIDJZN","2026-03-20"
"Cash-BLKU-0002483","Cash","2026-03-21","AlQurashi-KSA","68013","49005","377.0","SAR","CashRASHIDJZN","2026-03-21"
"Cash-BLKU-0002484","Cash","2026-03-22","AlQurashi-KSA","68013","49005","861.0","SAR","CashRASHIDJZN","2026-03-22"
"Cash-BLKU-0002485","Cash","2026-03-23","AlQurashi-KSA","68013","49005","148.0","SAR","CashRASHIDJZN","2026-03-23"
"Cash-BLKU-0002486","Cash","2026-03-24","AlQurashi-KSA","68013","49005","350.0","SAR","CashRASHIDJZN","2026-03-24"
"Cash-BLKU-0002487","Cash","2026-03-25","AlQurashi-KSA","68013","49005","1075.0","SAR","CashRASHIDJZN","2026-03-25"
"Cash-BLKU-0002488","Cash","2026-03-26","AlQurashi-KSA","68013","49005","2170.0","SAR","CashRASHIDJZN","2026-03-26"
"Cash-BLKU-0002489","Cash","2026-03-27","AlQurashi-KSA","68013","49005","309.0","SAR","CashRASHIDJZN","2026-03-27"
"Cash-BLKU-0002490","Cash","2026-03-28","AlQurashi-KSA","68013","49005","1161.0","SAR","CashRASHIDJZN","2026-03-28"
"Cash-BLKU-0002491","Cash","2026-03-29","AlQurashi-KSA","68013","49005","248.0","SAR","CashRASHIDJZN","2026-03-29"
