"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Mada-BLKU-0004567","Mada","2026-03-05","AlQurashi-KSA","141028","124079","8791.0","SAR","0157-95017321-RASSBULVRD","2026-03-05"
"Mada-BLKU-0004568","Mada","2026-03-06","AlQurashi-KSA","141028","124079","6356.0","SAR","0157-95017321-RASSBULVRD","2026-03-06"
"Mada-BLKU-0004569","Mada","2026-03-07","AlQurashi-KSA","141028","124079","9332.0","SAR","0157-95017321-RASSBULVRD","2026-03-07"
"Mada-BLKU-0004570","Mada","2026-03-08","AlQurashi-KSA","141028","124079","6992.0","SAR","0157-95017321-RASSBULVRD","2026-03-08"
"Mada-BLKU-0004571","Mada","2026-03-09","AlQurashi-KSA","141028","124079","3979.0","SAR","0157-95017321-RASSBULVRD","2026-03-09"
"Mada-BLKU-0004572","Mada","2026-03-10","AlQurashi-KSA","141028","124079","6178.0","SAR","0157-95017321-RASSBULVRD","2026-03-10"
"Mada-BLKU-0004573","Mada","2026-03-11","AlQurashi-KSA","141028","124079","5396.0","SAR","0157-95017321-RASSBULVRD","2026-03-11"
"Mada-BLKU-0004574","Mada","2026-03-12","AlQurashi-KSA","141028","124079","7167.0","SAR","0157-95017321-RASSBULVRD","2026-03-12"
"Mada-BLKU-0004575","Mada","2026-03-13","AlQurashi-KSA","141028","124079","8152.0","SAR","0157-95017321-RASSBULVRD","2026-03-13"
"Mada-BLKU-0004576","Mada","2026-03-14","AlQurashi-KSA","141028","124079","12497.0","SAR","0157-95017321-RASSBULVRD","2026-03-14"
"Mada-BLKU-0004577","Mada","2026-03-15","AlQurashi-KSA","141028","124079","8430.0","SAR","0157-95017321-RASSBULVRD","2026-03-15"
"Mada-BLKU-0004578","Mada","2026-03-16","AlQurashi-KSA","141028","124079","17308.0","SAR","0157-95017321-RASSBULVRD","2026-03-16"
"Mada-BLKU-0004579","Mada","2026-03-17","AlQurashi-KSA","141028","124079","16270.0","SAR","0157-95017321-RASSBULVRD","2026-03-17"
"Mada-BLKU-0004580","Mada","2026-03-18","AlQurashi-KSA","141028","124079","15151.0","SAR","0157-95017321-RASSBULVRD","2026-03-18"
"Mada-BLKU-0004581","Mada","2026-03-19","AlQurashi-KSA","141028","124079","19058.0","SAR","0157-95017321-RASSBULVRD","2026-03-19"
"Mada-BLKU-0004582","Mada","2026-03-20","AlQurashi-KSA","141028","124079","4373.0","SAR","0157-95017321-RASSBULVRD","2026-03-20"
"Mada-BLKU-0004583","Mada","2026-03-21","AlQurashi-KSA","141028","124079","1167.0","SAR","0157-95017321-RASSBULVRD","2026-03-21"
"Mada-BLKU-0004584","Mada","2026-03-22","AlQurashi-KSA","141028","124079","3483.0","SAR","0157-95017321-RASSBULVRD","2026-03-22"
"Mada-BLKU-0004585","Mada","2026-03-23","AlQurashi-KSA","141028","124079","2438.0","SAR","0157-95017321-RASSBULVRD","2026-03-23"
"Mada-BLKU-0004586","Mada","2026-03-24","AlQurashi-KSA","141028","124079","2219.0","SAR","0157-95017321-RASSBULVRD","2026-03-24"
"Mada-BLKU-0004587","Mada","2026-03-25","AlQurashi-KSA","141028","124079","1453.0","SAR","0157-95017321-RASSBULVRD","2026-03-25"
"Mada-BLKU-0004588","Mada","2026-03-26","AlQurashi-KSA","141028","124079","3191.0","SAR","0157-95017321-RASSBULVRD","2026-03-26"
"Mada-BLKU-0004589","Mada","2026-03-27","AlQurashi-KSA","141028","124079","3157.0","SAR","0157-95017321-RASSBULVRD","2026-03-27"
"Mada-BLKU-0004590","Mada","2026-03-28","AlQurashi-KSA","141028","124079","1266.0","SAR","0157-95017321-RASSBULVRD","2026-03-28"
"Mada-BLKU-0004591","Mada","2026-03-29","AlQurashi-KSA","141028","124079","972.0","SAR","0157-95017321-RASSBULVRD","2026-03-29"
"Mada-BLKU-0004592","Mada","2026-03-30","AlQurashi-KSA","141028","124079","1928.0","SAR","0157-95017321-RASSBULVRD","2026-03-30"
"Mada-BLKU-0004593","Mada","2026-03-31","AlQurashi-KSA","141028","124079","953.0","SAR","0157-95017321-RASSBULVRD","2026-03-31"
