"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Master-BLKU-0004568","Master","2026-03-06","AlQurashi-KSA","141028","124079","499.0","SAR","0157-95017321-RASSBULVRD","2026-03-06"
"Master-BLKU-0004572","Master","2026-03-10","AlQurashi-KSA","141028","124079","226.0","SAR","0157-95017321-RASSBULVRD","2026-03-10"
"Master-BLKU-0004574","Master","2026-03-12","AlQurashi-KSA","141028","124079","349.0","SAR","0157-95017321-RASSBULVRD","2026-03-12"
"Master-BLKU-0004578","Master","2026-03-16","AlQurashi-KSA","141028","124079","847.0","SAR","0157-95017321-RASSBULVRD","2026-03-16"
"Master-BLKU-0004579","Master","2026-03-17","AlQurashi-KSA","141028","124079","304.0","SAR","0157-95017321-RASSBULVRD","2026-03-17"
"Master-BLKU-0004580","Master","2026-03-18","AlQurashi-KSA","141028","124079","783.0","SAR","0157-95017321-RASSBULVRD","2026-03-18"
"Master-BLKU-0004581","Master","2026-03-19","AlQurashi-KSA","141028","124079","404.0","SAR","0157-95017321-RASSBULVRD","2026-03-19"
"Master-BLKU-0004582","Master","2026-03-20","AlQurashi-KSA","141028","124079","1007.0","SAR","0157-95017321-RASSBULVRD","2026-03-20"
"Master-BLKU-0004584","Master","2026-03-22","AlQurashi-KSA","141028","124079","249.0","SAR","0157-95017321-RASSBULVRD","2026-03-22"
"Master-BLKU-0004587","Master","2026-03-25","AlQurashi-KSA","141028","124079","283.0","SAR","0157-95017321-RASSBULVRD","2026-03-25"
"Master-BLKU-0004589","Master","2026-03-27","AlQurashi-KSA","141028","124079","70.0","SAR","0157-95017321-RASSBULVRD","2026-03-27"
"Master-BLKU-0004590","Master","2026-03-28","AlQurashi-KSA","141028","124079","180.0","SAR","0157-95017321-RASSBULVRD","2026-03-28"
"Master-BLKU-0004591","Master","2026-03-29","AlQurashi-KSA","141028","124079","149.0","SAR","0157-95017321-RASSBULVRD","2026-03-29"
