"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Visa-BLKU-0004567","Visa","2026-03-05","AlQurashi-KSA","87035","73029","3095.0","SAR","157-95017321-RYDALYAPLZ","2026-03-05"
"Visa-BLKU-0004568","Visa","2026-03-06","AlQurashi-KSA","87035","73029","6850.0","SAR","157-95017321-RYDALYAPLZ","2026-03-06"
"Visa-BLKU-0004569","Visa","2026-03-07","AlQurashi-KSA","87035","73029","4597.0","SAR","157-95017321-RYDALYAPLZ","2026-03-07"
"Visa-BLKU-0004570","Visa","2026-03-08","AlQurashi-KSA","87035","73029","1478.0","SAR","157-95017321-RYDALYAPLZ","2026-03-08"
"Visa-BLKU-0004571","Visa","2026-03-09","AlQurashi-KSA","87035","73029","3504.0","SAR","157-95017321-RYDALYAPLZ","2026-03-09"
"Visa-BLKU-0004572","Visa","2026-03-10","AlQurashi-KSA","87035","73029","2328.0","SAR","157-95017321-RYDALYAPLZ","2026-03-10"
"Visa-BLKU-0004573","Visa","2026-03-11","AlQurashi-KSA","87035","73029","4378.0","SAR","157-95017321-RYDALYAPLZ","2026-03-11"
"Visa-BLKU-0004574","Visa","2026-03-12","AlQurashi-KSA","87035","73029","1398.0","SAR","157-95017321-RYDALYAPLZ","2026-03-12"
"Visa-BLKU-0004575","Visa","2026-03-13","AlQurashi-KSA","87035","73029","2789.0","SAR","157-95017321-RYDALYAPLZ","2026-03-13"
"Visa-BLKU-0004576","Visa","2026-03-14","AlQurashi-KSA","87035","73029","4829.0","SAR","157-95017321-RYDALYAPLZ","2026-03-14"
"Visa-BLKU-0004577","Visa","2026-03-15","AlQurashi-KSA","87035","73029","4827.0","SAR","157-95017321-RYDALYAPLZ","2026-03-15"
"Visa-BLKU-0004578","Visa","2026-03-16","AlQurashi-KSA","87035","73029","5641.0","SAR","157-95017321-RYDALYAPLZ","2026-03-16"
"Visa-BLKU-0004579","Visa","2026-03-17","AlQurashi-KSA","87035","73029","7523.0","SAR","157-95017321-RYDALYAPLZ","2026-03-17"
"Visa-BLKU-0004580","Visa","2026-03-18","AlQurashi-KSA","87035","73029","6205.0","SAR","157-95017321-RYDALYAPLZ","2026-03-18"
"Visa-BLKU-0004581","Visa","2026-03-19","AlQurashi-KSA","87035","73029","7486.0","SAR","157-95017321-RYDALYAPLZ","2026-03-19"
"Visa-BLKU-0004583","Visa","2026-03-20","AlQurashi-KSA","87035","73029","2833.0","SAR","157-95017321-RYDALYAPLZ","2026-03-20"
"Visa-BLKU-0004584","Visa","2026-03-21","AlQurashi-KSA","87035","73029","939.0","SAR","157-95017321-RYDALYAPLZ","2026-03-21"
"Visa-BLKU-0004585","Visa","2026-03-22","AlQurashi-KSA","87035","73029","1415.0","SAR","157-95017321-RYDALYAPLZ","2026-03-22"
"Visa-BLKU-0004586","Visa","2026-03-23","AlQurashi-KSA","87035","73029","641.0","SAR","157-95017321-RYDALYAPLZ","2026-03-23"
"Visa-BLKU-0004587","Visa","2026-03-24","AlQurashi-KSA","87035","73029","1793.0","SAR","157-95017321-RYDALYAPLZ","2026-03-24"
"Visa-BLKU-0004588","Visa","2026-03-25","AlQurashi-KSA","87035","73029","1970.0","SAR","157-95017321-RYDALYAPLZ","2026-03-25"
"Visa-BLKU-0004589","Visa","2026-03-26","AlQurashi-KSA","87035","73029","1321.0","SAR","157-95017321-RYDALYAPLZ","2026-03-26"
"Visa-BLKU-0004590","Visa","2026-03-27","AlQurashi-KSA","87035","73029","412.0","SAR","157-95017321-RYDALYAPLZ","2026-03-27"
"Visa-BLKU-0004591","Visa","2026-03-28","AlQurashi-KSA","87035","73029","2410.0","SAR","157-95017321-RYDALYAPLZ","2026-03-28"
"Visa-BLKU-0004592","Visa","2026-03-29","AlQurashi-KSA","87035","73029","299.0","SAR","157-95017321-RYDALYAPLZ","2026-03-29"
"Visa-BLKU-0004593","Visa","2026-03-30","AlQurashi-KSA","87035","73029","398.0","SAR","157-95017321-RYDALYAPLZ","2026-03-30"
"Visa-BLKU-0004594","Visa","2026-03-31","AlQurashi-KSA","87035","73029","232.0","SAR","157-95017321-RYDALYAPLZ","2026-03-31"
