"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Cash-BLKU-0004567","Cash","2026-03-05","AlQurashi-KSA","87035","73029","327.0","SAR","Cash RYDALYAPLZ","2026-03-05"
"Cash-BLKU-0004568","Cash","2026-03-06","AlQurashi-KSA","87035","73029","1155.0","SAR","Cash RYDALYAPLZ","2026-03-06"
"Cash-BLKU-0004569","Cash","2026-03-07","AlQurashi-KSA","87035","73029","-233.0","SAR","Cash RYDALYAPLZ","2026-03-07"
"Cash-BLKU-0004570","Cash","2026-03-08","AlQurashi-KSA","87035","73029","1047.0","SAR","Cash RYDALYAPLZ","2026-03-08"
"Cash-BLKU-0004571","Cash","2026-03-09","AlQurashi-KSA","87035","73029","997.0","SAR","Cash RYDALYAPLZ","2026-03-09"
"Cash-BLKU-0004572","Cash","2026-03-10","AlQurashi-KSA","87035","73029","987.0","SAR","Cash RYDALYAPLZ","2026-03-10"
"Cash-BLKU-0004573","Cash","2026-03-11","AlQurashi-KSA","87035","73029","365.0","SAR","Cash RYDALYAPLZ","2026-03-11"
"Cash-BLKU-0004574","Cash","2026-03-12","AlQurashi-KSA","87035","73029","1363.0","SAR","Cash RYDALYAPLZ","2026-03-12"
"Cash-BLKU-0004575","Cash","2026-03-13","AlQurashi-KSA","87035","73029","1692.0","SAR","Cash RYDALYAPLZ","2026-03-13"
"Cash-BLKU-0004576","Cash","2026-03-14","AlQurashi-KSA","87035","73029","1229.0","SAR","Cash RYDALYAPLZ","2026-03-14"
"Cash-BLKU-0004577","Cash","2026-03-15","AlQurashi-KSA","87035","73029","-211.0","SAR","Cash RYDALYAPLZ","2026-03-15"
"Cash-BLKU-0004578","Cash","2026-03-16","AlQurashi-KSA","87035","73029","1374.0","SAR","Cash RYDALYAPLZ","2026-03-16"
"Cash-BLKU-0004579","Cash","2026-03-17","AlQurashi-KSA","87035","73029","1614.0","SAR","Cash RYDALYAPLZ","2026-03-17"
"Cash-BLKU-0004580","Cash","2026-03-18","AlQurashi-KSA","87035","73029","1137.0","SAR","Cash RYDALYAPLZ","2026-03-18"
"Cash-BLKU-0004581","Cash","2026-03-19","AlQurashi-KSA","87035","73029","528.0","SAR","Cash RYDALYAPLZ","2026-03-19"
"Cash-BLKU-0004583","Cash","2026-03-20","AlQurashi-KSA","87035","73029","-354.0","SAR","Cash RYDALYAPLZ","2026-03-20"
"Cash-BLKU-0004584","Cash","2026-03-21","AlQurashi-KSA","87035","73029","36.0","SAR","Cash RYDALYAPLZ","2026-03-21"
"Cash-BLKU-0004585","Cash","2026-03-22","AlQurashi-KSA","87035","73029","128.0","SAR","Cash RYDALYAPLZ","2026-03-22"
"Cash-BLKU-0004586","Cash","2026-03-23","AlQurashi-KSA","87035","73029","29.0","SAR","Cash RYDALYAPLZ","2026-03-23"
"Cash-BLKU-0004587","Cash","2026-03-24","AlQurashi-KSA","87035","73029","838.0","SAR","Cash RYDALYAPLZ","2026-03-24"
"Cash-BLKU-0004588","Cash","2026-03-25","AlQurashi-KSA","87035","73029","1213.0","SAR","Cash RYDALYAPLZ","2026-03-25"
"Cash-BLKU-0004589","Cash","2026-03-26","AlQurashi-KSA","87035","73029","7698.0","SAR","Cash RYDALYAPLZ","2026-03-26"
"Cash-BLKU-0004590","Cash","2026-03-27","AlQurashi-KSA","87035","73029","429.0","SAR","Cash RYDALYAPLZ","2026-03-27"
"Cash-BLKU-0004591","Cash","2026-03-28","AlQurashi-KSA","87035","73029","1436.0","SAR","Cash RYDALYAPLZ","2026-03-28"
"Cash-BLKU-0004592","Cash","2026-03-29","AlQurashi-KSA","87035","73029","-651.0","SAR","Cash RYDALYAPLZ","2026-03-29"
"Cash-BLKU-0004593","Cash","2026-03-30","AlQurashi-KSA","87035","73029","215.0","SAR","Cash RYDALYAPLZ","2026-03-30"
"Cash-BLKU-0004594","Cash","2026-03-31","AlQurashi-KSA","87035","73029","160.0","SAR","Cash RYDALYAPLZ","2026-03-31"
"Cash-PAYMENT-THEGATERYD/11941 REFUND","Cash","2026-03-19","AlQurashi-KSA","88021","74011","-299.0","SAR","Cash THEGATERYD","2026-03-19"
